Player,Pos,Age,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,PassOff,BlockedPass,MP,Min,Starts,Compl,Subs,unSub,PPM,onG,onGA,On-Off,onxG,onxGA,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,PrgC,PrgP,PrgR,Sh,SoT,ShotDist,FKS,G-xG,PenToDef,ToDef3rd,ToMid3rd,ToAtt3rd,PenToAtt,ToLive,Att.2,Succ,Tkld,Carries,TotDist,PrgDist,Pfin,CPA,Mis,Dis,Rec,TotCmp,TotAtt,TotDistPass,PrgDistPass,ShrCmp,ShrAtt,MedCmp,MedAtt,LongCmp,LongAtt,xA,KP,Cfin,PPA,CrsPA,2CrdY,Fls,Fld,Off,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,SCA,SCAPassLive,SCAPassDead,SCATO,SCASh,SCAFld,SCADef,GCA,GCAPassLive,GCAPassDead,GCATO,GCASh,GCAFld,GCADef,TklDef3rd,TklMid3rd,TklAtt3rd,ChalTkl,ChalAtt,ChalLost,Blocks,BlSh,Pass,Clr,Err,GA,SoTA,Saves,W,D,L,CS,PKattA,PKA,PKsv,PKm,FKGA,CKGA,PSxG,PSxG/SoT,PSxG+/-,LPCmp,LPAtt,GKPAtt,Thr,PAvgLen,GKAtt,GKAvgLen,Opp,Stp,#OPA,AvgDist,Value
Jack Stephens,DF,26,17.1,1067,1008,57,21,0,9,2,36,0,0,0,0,860,2,11,18,"1,537",17,15,1,20,1,18,39,-1.23,17.9,28.6,0,0,0,0,0,0,2,0,0.8,0.8,0.3,17,65,3,6,2,9.2,0,-0.8,114,538,645,69,11,1244,5,2,3,646,3572,2166,10,0,12,5,801,860,1067,15605,6205,351,403,415,477,78,149,0.3,6,67,9,0,0,8,9,0,28,19,0,0,0,101,20,18,17,16,0,0,0,0,1,0,0,0,0,0,0,0,19,15,0,17,38,21,25,14,11,64,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
Moussa Djenepo,MF,22,13.8,407,386,19,3,0,1,9,14,0,0,0,0,290,2,20,27,"1,240",15,4,12,7,0.96,12,27,-0.84,14.9,18.5,1,0,1,1,0,0,5,0,0.8,0.8,0.4,28,32,78,14,2,20.2,0,0.2,16,132,307,214,38,647,52,27,25,350,1804,846,18,15,49,17,392,290,407,4030,1102,163,193,94,124,12,26,0.6,6,13,11,1,0,29,39,3,10,27,1,1,0,68,11,31,31,19,0,6,1,4,1,4,2,0,1,0,1,0,27,17,8,28,63,35,24,2,22,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
Ibrahima Diallo,MF,21,11.3,600,586,11,9,0,2,7,2,0,0,0,0,503,3,4,22,"1,020",10,8,12,6,1.14,10,22,-0.72,11.7,18.5,0,0,0,0,0,0,3,0,0.5,0.5,0.6,11,46,13,7,1,22.4,0,-0.5,26,164,468,102,9,722,17,10,7,410,1972,897,15,0,20,15,496,503,600,7940,2034,253,286,193,217,32,60,0.4,9,46,5,1,0,22,11,0,10,16,0,1,0,71,10,17,19,15,0,2,1,0,1,1,1,0,0,0,0,0,11,17,1,9,16,7,10,1,9,12,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
Takumi Minamino,MF,25,7.9,261,257,1,0,0,1,9,0,0,0,0,0,183,3,13,10,711,9,2,1,5,1.1,13,14,0.54,9.9,9.1,2,0,2,2,0,0,1,0,1.5,1.5,0.5,19,15,42,13,4,18.3,0,0.5,13,57,185,116,17,351,13,4,9,201,1199,592,16,6,16,6,237,183,261,2416,504,110,132,47,67,10,22,0.2,5,9,5,0,0,7,11,1,4,3,0,0,0,41,6,7,15,11,0,0,2,2,0,1,1,0,0,0,0,0,2,5,0,2,19,17,13,1,12,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
Mohammed Salisu,DF,21,9.4,383,357,26,4,0,0,1,22,0,0,0,0,304,0,10,12,844,8,7,4,11,0.92,10,19,-0.54,11,14.2,0,0,0,0,0,0,1,0,0.3,0.3,0.4,8,13,8,4,1,12.7,0,-0.3,55,207,274,41,7,521,12,9,3,265,1346,536,3,0,12,7,272,304,383,4301,1511,181,203,96,122,11,25,0,2,21,0,0,0,10,4,0,17,21,0,0,0,49,21,20,5,4,0,0,1,0,0,0,0,0,0,0,0,0,20,16,2,25,34,9,22,5,17,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
Fraser Forster,GK,32,8,273,170,101,37,0,0,0,0,0,0,0,0,154,2,1,8,720,8,8,0,30,1.5,10,11,0.54,9.5,11.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,239,296,6,0,0,302,0,0,0,123,708,447,0,0,0,0,116,154,273,3864,2963,40,40,52,54,49,162,0,0,0,0,0,0,1,3,0,0,0,0,1,0,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,1,0,0,0,9,0,11,31,19,4,0,4,2,3,2,1,0,0,1,9.8,0.23,-1.2,30,134,207,28,35.3,64,44.2,142,6,14,15.6,3
Nathan Tella,FW,21,8.3,142,141,1,0,0,0,7,0,0,0,0,0,99,0,10,18,745,7,0,11,10,0.83,9,11,0.4,10.6,10.1,1,1,2,1,0,0,2,0,1.6,1.6,0.8,19,9,36,17,8,19.2,0,-0.6,0,29,111,128,21,262,25,11,14,170,1328,565,18,8,35,23,180,99,142,1373,226,63,76,22,31,8,12,0.5,6,4,7,1,0,16,24,5,3,5,1,0,0,32,1,22,21,11,0,3,1,6,0,2,1,0,0,0,1,0,1,4,3,6,15,9,13,0,13,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
William Smallbone,MF,20,1.9,78,78,0,0,0,1,5,0,0,0,0,0,61,0,1,3,172,2,0,1,5,0,1,5,-1.62,1.9,2.5,0,0,0,0,0,0,0,0,0.1,0.1,0,5,7,10,1,1,19.6,0,-0.1,1,12,54,30,1,95,0,0,0,58,281,146,6,1,2,2,62,61,78,920,189,35,35,21,28,4,10,0,0,5,1,0,0,3,2,0,2,3,0,0,0,12,2,4,4,3,0,0,1,0,0,0,0,0,0,0,0,0,2,4,0,1,3,2,5,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Shane Long,FW,33,2.3,57,56,0,0,0,0,0,0,0,0,0,0,32,1,5,11,210,1,0,10,7,1.18,2,6,-1.24,1.9,5.6,0,0,0,0,0,0,0,0,0.1,0.1,0,1,3,10,2,1,21.3,0,-0.1,1,8,41,38,5,86,5,2,3,41,180,35,4,0,5,7,64,32,57,346,115,26,35,5,8,0,0,0,0,2,0,0,0,7,6,3,3,1,0,0,0,7,12,10,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2
Yan Valery,DF,21,1.1,64,48,16,1,0,0,4,15,0,0,0,0,54,0,2,3,103,1,1,2,6,1,1,4,-2.13,1,2.8,0,0,0,0,0,0,0,0,0.2,0.2,0.1,6,3,9,2,0,25,0,-0.2,5,34,36,26,1,95,4,0,4,54,389,149,3,1,6,5,48,54,64,831,266,27,28,24,28,1,3,0.1,1,1,3,2,0,1,1,0,2,3,0,0,0,7,2,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,1,5,4,2,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
Dan Nlundulu,FW,21,1.2,29,29,0,0,0,0,0,0,0,0,0,0,21,0,1,13,111,0,0,13,16,0.92,0,1,-0.27,1.2,2.8,0,0,0,0,0,0,0,0,0.1,0.1,0,1,4,13,1,0,12.4,0,-0.1,1,4,26,19,6,49,2,2,0,21,93,29,1,0,6,2,34,21,29,302,44,14,20,6,6,1,1,0,1,1,1,0,0,6,0,1,0,0,0,0,0,2,5,7,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5
Michael Obafemi,FW,20,0.7,13,13,0,0,0,0,1,0,0,0,0,0,12,0,0,4,61,0,0,4,10,1.5,0,2,-2.44,0.5,0.6,0,0,0,0,0,0,0,0,0,0,0.1,1,1,5,0,0,0,0,0,1,2,14,5,2,21,1,0,1,10,39,18,0,0,1,2,12,12,13,126,22,7,8,2,2,1,1,0,1,1,0,0,0,1,3,0,0,0,0,0,0,4,0,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
