Player,Pos,Age,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,PassOff,BlockedPass,MP,Min,Starts,Compl,Subs,unSub,PPM,onG,onGA,On-Off,onxG,onxGA,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,PrgC,PrgP,PrgR,Sh,SoT,ShotDist,FKS,G-xG,PenToDef,ToDef3rd,ToMid3rd,ToAtt3rd,PenToAtt,ToLive,Att.2,Succ,Tkld,Carries,TotDist,PrgDist,Pfin,CPA,Mis,Dis,Rec,TotCmp,TotAtt,TotDistPass,PrgDistPass,ShrCmp,ShrAtt,MedCmp,MedAtt,LongCmp,LongAtt,xA,KP,Cfin,PPA,CrsPA,2CrdY,Fls,Fld,Off,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,SCA,SCAPassLive,SCAPassDead,SCATO,SCASh,SCAFld,SCADef,GCA,GCAPassLive,GCAPassDead,GCATO,GCASh,GCAFld,GCADef,TklDef3rd,TklMid3rd,TklAtt3rd,ChalTkl,ChalAtt,ChalLost,Blocks,BlSh,Pass,Clr,Err,GA,SoTA,Saves,W,D,L,CS,PKattA,PKA,PKsv,PKm,FKGA,CKGA,PSxG,PSxG/SoT,PSxG+/-,LPCmp,LPAtt,GKPAtt,Thr,PAvgLen,GKAtt,GKAvgLen,Opp,Stp,#OPA,AvgDist,Value
Keinan Davis,FW,22,3.1,77,76,1,0,0,1,4,0,0,0,0,0,55,0,5,15,277,1,1,14,18,0.93,5,1,1.16,5.1,2.2,1,1,2,1,0,0,0,0,1.5,1.5,0.6,7,6,37,9,2,10.6,0,-0.5,3,8,46,67,29,118,12,9,3,73,401,182,6,4,10,4,97,55,77,689,133,38,41,11,20,2,5,0.4,6,2,3,0,0,4,5,0,0,1,0,0,0,10,18,16,14,7,0,4,2,1,0,2,1,0,1,0,0,0,1,0,1,0,1,1,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
Wesley Moraes,FW,23,0.2,4,4,0,0,0,0,0,0,0,0,0,0,4,0,0,3,18,0,0,3,4,0.33,1,1,-0.24,1.3,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,12.6,0,0,0,0,0,8,1,8,0,0,0,4,11,6,0,0,1,0,4,4,4,33,0,4,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
Ollie Watkins,FW,25,32.8,699,671,25,2,4,2,15,7,0,0,0,0,484,3,16,35,2952,33,28,2,0,1.2,46,48,-0.06,37.9,44.5,11,2,13,10,1,1,7,0,11.6,11,3.4,74,60,226,76,31,13.6,0,-0.6,30,61,423,575,173,1045,68,37,31,630,3174,1581,32,49,86,53,820,484,699,1163,315,403,115,10,24,-1.4,34,2.6,34,29,17,0,0,33,39,16,12,13,1,0,0,66,65,95,82,56,0,10,8,6,2,9,4,0,2,2,1,0,2,7,8,2,15,13,25,3,22,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35
Danny Ings,FW,29,21.1,378,354,21,1,3,6,13,1,0,0,0,0,251,3,17,30,1898,22,7,8,3,1.23,29,26,0.44,26.3,24.3,7,6,13,6,1,1,4,0,7.1,6.3,1.6,24,39,117,48,17,13.6,0,-0.1,21,63,246,314,112,616,31,10,21,321,1568,625,15,8,50,21,394,251,378,781,147,189,60,13,28,4.4,15,0.9,15,19,13,0,0,16,12,11,6,16,0,0,0,47,27,40,32,25,0,2,4,1,0,9,9,0,0,0,0,0,2,16,5,13,37,24,31,2,29,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
Leon Bailey,FW,23,8.5,226,209,16,1,1,3,33,4,11,10,1,0,150,1,8,18,761,7,3,11,2,0.89,12,13,-0.08,10.4,6.3,1,2,3,1,0,0,3,0,1.5,1.5,0.8,34,24,61,21,8,19.4,4,-0.5,3,29,119,206,35,348,29,13,16,232,1679,693,14,10,33,24,244,150,226,518,76,95,47,15,36,1.2,7,1.1,7,6,9,1,0,12,11,4,1,11,0,0,0,38,10,16,20,15,0,1,2,2,0,1,1,0,0,0,0,0,6,8,3,6,13,7,10,1,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25
Cameron Archer,FW,20,0.3,4,4,0,0,0,0,0,0,0,0,0,0,4,0,0,3,27,0,0,3,9,1,1,0,3.41,0.2,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,3,7,1,11,1,0,1,7,44,10,1,0,1,2,7,4,4,29,3,3,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
Keinan Davis,FW,23,0.1,3,3,0,0,0,0,0,0,0,0,0,0,3,0,0,1,12,0,0,1,5,0,0,0,0.05,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,2,0,5,0,0,0,7,13,6,0,0,2,1,7,3,3,24,1,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5
Ollie Watkins,FW,26,34.7,566,554,9,0,0,2,9,3,0,0,0,0,391,3,13,37,3127,36,26,1,0,1.57,47,40,0.82,44.8,47.1,15,6,21,14,1,2,4,0,16.5,14.9,3.8,50,39,196,84,45,12.6,0,-1.5,47,86,365,488,164,925,65,18,36,475,2519,1164,24,32,82,39,684,391,566,4682,840,261,344,84,122,12,15,2.7,31,23,16,2,0,26,39,18,10,13,1,0,0,59,70,100,79,51,0,6,11,11,0,14,6,0,2,5,1,0,3,13,3,10,27,17,21,4,17,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40
Leon Bailey,FW,24,21.9,547,507,40,4,4,5,96,10,18,13,0,0,337,0,31,33,1967,26,4,7,0,1.61,27,32,-0.85,30.7,35.5,4,4,8,4,0,0,4,0,5.3,5.3,4.8,85,28,182,51,14,18.1,3,-1.3,16,91,283,456,89,813,111,40,55,520,4022,1703,33,38,48,53,561,337,547,5379,1285,190,248,97,154,35,75,4.8,30,19,21,15,0,29,22,9,6,6,0,1,0,72,24,46,62,40,2,10,7,3,0,8,5,0,0,3,0,0,6,7,1,5,20,15,13,0,13,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28
Danny Ings,FW,30,9.2,162,152,10,0,4,0,4,0,0,0,0,0,114,0,6,18,824,8,3,10,1,1.33,9,13,-0.75,13.6,12.6,6,0,6,4,2,2,3,0,5.3,3.8,1.2,15,12,46,25,12,15.5,0,0.7,12,26,106,139,49,265,16,10,6,163,718,260,6,9,20,17,186,114,162,1371,289,76,97,27,34,3,12,0.6,9,7,4,0,0,8,5,9,1,5,0,0,0,19,16,12,16,12,0,2,2,0,0,1,0,0,1,0,0,0,1,6,3,1,6,5,12,1,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
