link,Player_id,Name,nationality,position,team,age,games,games_starts,minutes,minutes_90s,goals,assists,pens_made,pens_att,cards_yellow,cards_red,xg,npxg,xg_assist,progressive_carries,progressive_passes,progressive_passes_received,shots,shots_on_target,average_shot_distance,xg_net,sca,sca_passes_live,sca_passes_dead,sca_take_ons,sca_shots,sca_fouled,sca_defense,gca,gca_passes_live,gca_passes_dead,gca_take_ons,gca_shots,gca_fouled,gca_defense,passes_completed,passes,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_completed_medium,passes_medium,passes_completed_long,passes_long,pass_xa,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_switches,crosses,throw_ins,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_completed,passes_offsides,passes_blocked,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,take_ons,take_ons_won,take_ons_tackled,carries,carries_distance,carries_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,passes_received,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenge_tackles,challenges,challenges_lost,blocked_shots,blocked_passes,interceptions,clearances,errors,games_complete,games_subs,unused_subs,points_per_game,on_goals_for,on_goals_against,plus_minus_wowy,on_xg_for,on_xg_against,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,gk_goals_against,gk_shots_on_target_against,gk_saves,gk_wins,gk_ties,gk_losses,gk_clean_sheets,gk_pens_att,gk_pens_allowed,gk_pens_saved,gk_pens_missed,gk_free_kick_goals_against,gk_corner_kick_goals_against,gk_psxg,gk_psnpxg_per_shot_on_target_against,gk_psxg_net,gk_passes_completed_launched,gk_passes_launched,gk_passes,gk_passes_throws,gk_passes_length_avg,gk_goal_kicks,gk_goal_kick_length_avg,gk_crosses,gk_crosses_stopped,gk_def_actions_outside_pen_area,gk_avg_distance_def_actions
https://fbref.com/en/players/cd1acf9d/Trent-Alexander-Arnold,120200011,Trent Alexander-Arnold,ENG,DF,Liverpool,20,38,35,3175,35.3,4,13,0,0,5,0,2.8,2.8,10.9,98,247,226,44,13,22.6,1.2,155,93,51,3,6,1,1,24,15,7,0,2,0,0,2278,3230,43250,16071,993,1095,912,1250,315,700,9.7,87,190,88,31,2573,645,87,5,103,382,396,162,45,76,2,2278,12,69,99,825,1590,1193,54,3582,51,21,30,2136,9096,5332,113,16,47,12,2281,55,34,35,17,3,36,78,42,9,18,45,84,3,31,3,0,2.61,80,32,-0.11,65.7,36.7,0,22,9,3,0,0,0,221,15,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
https://fbref.com/en/players/7a2e46a8/Alisson,120200012,Alisson,BRA,GK,Liverpool,26,29,29,2543,28.3,0,1,0,0,0,1,0.0,0.0,0.3,0,1,0,0,0,0.0,0.0,5,5,0,0,0,0,0,2,2,0,0,0,0,0,820,947,19608,12630,204,204,414,424,199,314,0.0,1,7,0,0,723,222,55,0,3,0,0,0,0,0,0,820,2,0,792,983,10,0,0,992,0,0,0,600,2483,1531,1,1,0,0,495,0,0,0,0,0,0,2,2,0,0,1,13,3,27,0,0,2.48,61,23,-0.09,50.0,27.3,0,1,1,0,0,0,0,63,6,0,23.0,80.0,58.0,23.0,3.0,3.0,13.0,1.0,1.0,0.0,0.0,0.0,1.0,19.7,0.24,-2.3,85.0,189.0,778.0,140.0,27.4,167.0,30.9,299.0,10.0,63.0,19.2
https://fbref.com/en/players/cea4ee8f/Dele-Alli,120200013,Dele Alli,ENG,MF,Tottenham,23,25,21,1847,20.5,8,4,1,1,2,0,8.1,7.3,3.5,56,69,152,41,18,14.9,-0.1,58,42,1,7,3,3,2,11,5,0,4,2,0,0,632,841,8846,2173,345,414,212,252,28,56,2.9,23,43,22,0,760,75,14,4,3,7,18,4,0,0,0,632,6,34,36,156,558,427,76,1127,66,29,36,707,3569,1684,37,14,50,41,760,34,16,11,20,3,13,37,24,3,32,17,17,2,12,4,3,1.4,32,25,-0.06,29.5,31.2,0,12,33,6,0,0,0,103,19,37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
https://fbref.com/en/players/862a1c15/Miguel-Almiron,120200014,Miguel Almir?n,PAR,MF,Newcastle Utd,25,36,35,3021,33.6,4,2,0,0,5,0,6.7,6.7,3.0,120,77,160,56,17,16.2,-2.7,83,56,0,10,6,7,4,3,2,0,0,0,1,0,681,884,9262,2156,396,457,192,248,37,65,1.9,31,40,21,5,868,12,1,2,4,41,10,0,0,0,0,681,4,35,34,260,538,537,81,1291,93,46,47,929,7715,3823,82,19,80,35,881,60,39,32,20,8,19,52,33,1,24,31,25,0,21,1,1,1.22,35,48,1.19,31.7,57.5,0,30,59,24,0,0,0,189,9,28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
https://fbref.com/en/players/f4290206/Marcos-Alonso,120200015,Marcos Alonso,ESP,DF,Chelsea,28,18,15,1430,15.9,4,2,0,0,4,0,2.6,2.6,2.6,62,69,155,30,8,16.5,1.4,49,37,5,1,3,3,0,6,4,0,0,0,2,0,916,1136,13962,4089,496,565,347,413,47,96,2.4,25,39,29,14,966,168,7,1,3,66,160,1,1,0,0,916,2,24,27,335,536,477,59,1341,19,12,7,787,4088,2269,42,6,33,10,833,28,16,20,6,2,14,33,19,2,16,20,32,0,12,3,9,2.22,39,18,1.59,31.8,15.7,0,16,15,2,1,0,0,96,42,29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
https://fbref.com/en/players/ad1f61f3/Steven-Alzate,120200016,Steven Alzate,COL,MF,Brighton,20,19,12,1188,13.2,0,0,0,0,1,0,1.2,1.2,0.7,34,66,92,13,3,18.3,-1.2,38,29,0,6,2,1,0,2,1,0,0,0,1,0,556,661,8283,2031,316,354,210,241,20,28,0.9,14,28,17,3,605,55,6,1,2,8,49,0,0,0,0,556,1,15,32,190,397,251,36,831,47,35,12,456,2796,1437,34,11,25,28,545,33,19,20,11,2,17,27,10,3,15,14,13,0,10,7,3,1.11,19,18,0.72,18.6,18.6,0,17,18,3,0,0,0,75,9,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
https://fbref.com/en/players/9260926b/Ibrahim-Amadou,120200017,Ibrahim Amadou,FRA,DF,Norwich City,26,11,8,759,8.4,0,0,0,0,1,0,0.8,0.8,0.0,4,13,1,6,1,17.6,-0.8,2,2,0,0,0,0,0,0,0,0,0,0,0,0,324,374,5896,1826,127,143,156,174,36,47,0.0,1,10,1,0,364,9,6,0,0,1,3,0,0,0,0,324,1,3,100,331,138,13,4,480,2,2,0,290,1128,545,0,0,1,3,303,18,11,9,8,1,3,11,8,5,3,16,55,1,7,3,9,0.73,8,20,-0.17,9.1,18.6,0,8,2,0,0,1,0,39,16,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
https://fbref.com/en/players/9f1893b9/Felipe-Anderson,120200018,Felipe Anderson,BRA,MF,West Ham,26,25,20,1497,16.6,1,4,0,0,1,0,2.5,2.5,3.1,106,100,132,23,8,17.1,-1.5,67,50,2,5,5,4,1,11,9,0,2,0,0,0,727,945,11062,3031,440,527,207,257,58,89,2.8,25,56,34,4,913,29,8,5,11,34,13,5,2,2,0,727,3,30,19,143,564,486,56,1168,92,63,29,764,5752,3044,72,21,48,30,884,46,32,20,21,5,11,47,36,1,18,22,11,0,6,5,4,0.88,21,27,-0.03,19.8,27.8,0,17,24,2,0,0,0,112,6,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
https://fbref.com/en/players/dc008610/Florin-Andone,120200019,Florin Andone,ROU,FW,Brighton,26,3,1,73,0.8,1,0,0,0,0,1,0.4,0.4,0.1,2,0,4,1,1,7.8,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,12,71,22,7,8,0,2,0,0,0.0,1,0,0,0,11,1,0,0,0,0,0,1,0,0,0,7,0,1,2,7,9,18,3,34,7,2,5,19,178,93,3,1,5,1,17,1,1,0,1,0,1,1,0,1,0,0,1,0,0,2,0,1.33,2,0,2.92,1.3,0.7,0,2,3,0,0,0,0,6,4,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
https://fbref.com/en/players/30941e96/Angelino,120200020,Angeli?o,ESP,DF,Manchester City,22,6,4,423,4.7,0,0,0,0,1,0,0.2,0.2,1.5,21,41,70,5,0,19.8,-0.2,15,15,0,0,0,0,0,0,0,0,0,0,0,0,333,429,5053,1272,178,201,131,169,16,36,1.1,9,30,16,9,377,50,4,0,1,43,46,0,0,0,0,333,2,8,14,89,186,208,11,478,5,4,1,333,1405,797,28,1,6,3,338,5,2,3,1,1,5,7,2,0,1,9,15,0,4,2,9,2.0,11,7,-1.04,11.4,4.9,0,2,2,0,0,0,0,29,6,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
