Patrick van Aanholt,25,0,0,1.24,21,38,-0.41,28.3,42.3
Max Aarons,36,0,0,0.50,23,71,-0.83,34.6,62.1
Tammy Abraham,9,9,0,1.82,45,34,+0.15,46.3,27.5
Che Adams,0,18,6,1.47,17,17,+0.35,20.0,17.7
Adri?n,9,2,27,3.00,24,10,+0.10,18.9,10.5
Sergio Ag?ero,8,6,2,2.08,44,18,-0.26,39.5,16.2
Albian Ajeti,0,9,19,0.22,2,3,-0.32,2.7,1.4
Nathan Ak?,27,0,1,0.93,30,46,+0.31,32.7,44.9
Marc Albrighton,2,11,16,1.45,16,11,-0.22,15.3,12.0
Toby Alderweireld,32,0,5,1.64,53,39,+0.43,40.7,45.3
Trent Alexander-Arnold,31,3,0,2.61,80,32,-0.11,65.7,36.7
Alisson,27,0,0,2.48,61,23,-0.09,50.0,27.3
Dele Alli,12,4,3,1.40,32,25,-0.06,29.5,31.2
Miguel Almir?n,21,1,1,1.22,35,48,+1.19,31.7,57.5
Marcos Alonso,12,3,9,2.22,39,18,+1.59,31.8,15.7
Steven Alzate,10,7,3,1.11,19,18,+0.72,18.6,18.6
Ibrahim Amadou,7,3,9,0.73,8,20,-0.17,9.1,18.6
Felipe Anderson,6,5,4,0.88,21,27,-0.03,19.8,27.8
Florin Andone,0,2,0,1.33,2,0,+2.92,1.3,0.7
Angeli?o,4,2,9,2.00,11,7,-1.04,11.4,4.9
Faustino Anjorin,0,1,0,3.00,0,0,-0.40,0.1,0.1
Michail Antonio,12,5,0,1.08,31,30,+0.81,27.5,29.9
Stuart Armstrong,7,11,2,1.50,32,25,+1.21,27.8,28.0
Kepa Arrizabalaga,33,0,5,1.76,61,47,+0.22,62.6,34.8
Christian Atsu,3,13,9,1.11,4,15,-1.02,4.6,15.4
Pierre-Emerick Aubameyang,31,1,0,1.50,51,44,-0.12,43.4,49.9
Serge Aurier,23,2,2,1.64,51,32,+1.26,38.6,39.4
Jordan Ayew,23,0,1,1.16,28,45,+0.18,32.5,51.1
C?sar Azpilicueta,35,0,2,1.75,67,53,-0.08,63.1,37.3
Eric Bailly,1,3,10,2.50,5,1,+1.68,2.0,2.2
Leighton Baines,2,4,19,1.38,7,8,+0.11,8.5,6.3
Fabi?n Balbuena,13,4,21,1.18,12,24,-0.88,14.9,23.5
George Baldock,38,0,0,1.42,39,39,0,43.0,51.0
Phil Bardsley,21,0,10,1.67,26,19,+1.16,28.5,25.6
