Patrick van Aanholt,0,9,8,2,0,0,1,176,16,16
Max Aarons,0,29,49,3,1,0,0,178,22,49
Tammy Abraham,0,17,24,23,1,0,1,49,89,113
Che Adams,0,17,16,10,1,0,0,51,41,75
Adri?n,0,0,1,0,0,0,0,5,4,0
Sergio Ag?ero,0,9,9,6,2,0,0,37,3,12
Albian Ajeti,0,6,0,2,0,0,0,2,1,10
Nathan Ak?,0,9,13,3,0,0,0,140,60,61
Marc Albrighton,0,7,11,1,0,1,0,67,3,7
Toby Alderweireld,0,18,4,1,0,0,1,154,73,73
Trent Alexander-Arnold,0,22,9,3,0,0,0,221,15,30
Alisson,0,1,1,0,0,0,0,63,6,0
Dele Alli,0,12,33,6,0,0,0,103,19,37
Miguel Almir?n,0,30,59,24,0,0,0,189,9,28
Marcos Alonso,0,16,15,2,1,0,0,96,42,29
Steven Alzate,0,17,18,3,0,0,0,75,9,16
Ibrahim Amadou,0,8,2,0,0,1,0,39,16,12
Felipe Anderson,0,17,24,2,0,0,0,112,6,19
Florin Andone,0,2,3,0,0,0,0,6,4,1
Angeli?o,0,2,2,0,0,0,0,29,6,7
Faustino Anjorin,0,0,1,0,0,0,0,1,0,0
Michail Antonio,0,41,35,11,0,0,0,62,88,108
Stuart Armstrong,0,25,20,4,0,0,0,106,13,29
Kepa Arrizabalaga,0,0,5,0,0,0,0,35,5,0
Christian Atsu,0,11,10,4,0,0,0,42,6,14
Pierre-Emerick Aubameyang,0,14,20,20,0,0,0,92,33,58
Serge Aurier,1,41,22,6,0,2,1,165,70,64
Jordan Ayew,0,59,105,9,0,0,0,147,77,169
C?sar Azpilicueta,0,40,15,3,0,0,0,172,92,62
Eric Bailly,0,2,0,0,0,1,0,9,8,0
Leighton Baines,0,1,4,0,0,0,0,17,5,7
Fabi?n Balbuena,0,6,2,0,0,0,0,65,53,36
George Baldock,0,47,44,11,1,0,0,167,38,57
Phil Bardsley,0,35,13,0,0,0,0,80,36,24
Ross Barkley,0,9,15,0,0,0,0,69,12,13
Ashley Barnes,0,35,40,13,1,0,0,37,58,85
Harvey Barnes,0,20,29,4,1,0,0,91,28,38
Chris Basham,0,26,31,5,0,1,0,188,107,62
Borja Bast?n,0,0,0,0,0,0,0,1,0,2
Michy Batshuayi,0,4,4,7,0,0,0,11,6,13
Jan Bednarek,0,33,12,0,0,1,1,161,125,46
H?ctor Beller?n,0,15,3,1,0,0,0,54,13,16
Ryan Bennett,0,4,1,0,0,0,0,32,20,13
Ryan Bennett1,0,3,0,0,0,0,0,22,8,11
Nabil Bentaleb,0,19,5,0,0,0,0,46,14,13
Christian Benteke,0,25,20,12,0,0,0,24,143,110
J?hann Berg Gu?mundsson,0,9,4,1,0,0,0,31,7,14
Sander Berge,0,18,5,1,0,0,0,56,35,16
Steven Bergwijn,0,7,10,0,1,0,0,39,7,8
Bernard,0,19,10,0,0,0,0,81,1,13
Bernardo,0,3,3,4,0,0,0,49,31,8
Ryan Bertrand,0,27,33,1,0,0,0,118,58,56
Muhamed Be?i?,0,6,2,0,0,0,0,17,5,3
Philip Billing,0,38,23,2,0,0,0,162,111,76
Yves Bissouma,0,31,15,0,0,0,0,105,16,15
Willy Boly,1,24,8,1,0,0,0,117,86,29
Ga?tan Bong,0,0,1,0,0,0,0,3,0,3
Sofiane Boufal,0,25,20,2,0,1,0,45,7,11
Jarrod Bowen,0,4,20,1,0,0,0,55,5,19
Robbie Brady,0,8,4,1,0,0,0,36,12,8
Jarrad Branthwaite,0,4,3,0,0,0,0,18,8,15
Claudio Bravo,0,0,0,0,0,0,0,2,1,0
Armando Broja,0,0,1,0,0,0,0,0,0,1
David Brooks,0,4,6,0,0,0,0,13,0,7
Josh Brownhill,0,6,9,0,0,0,0,43,18,18
Emi Buend?a,0,36,54,2,0,0,0,187,29,50
Dan Burn,0,32,15,3,0,0,0,156,138,52
Sam Byram,0,16,8,1,0,0,0,73,43,39
Willy Caballero,0,0,0,0,0,0,0,0,2,0
Gary Cahill,0,14,12,0,0,0,0,98,84,50
Dominic Calvert-Lewin,0,57,44,13,0,0,0,55,177,206
V?ctor Camarasa,0,0,0,0,0,0,0,0,0,0
Jo?o Cancelo,0,17,8,0,0,0,0,99,19,22
Todd Cantwell,0,33,67,3,0,1,0,148,15,38
?tienne Capoue,0,57,39,0,0,1,0,219,49,19
Andy Carroll,0,17,14,6,0,0,0,15,89,46
Jonny Castro,0,34,28,2,1,0,0,158,35,50
Craig Cathcart,0,13,2,0,0,0,0,128,67,52
Dani Ceballos,0,19,35,0,0,0,0,153,9,24
Nathaniel Chalobah,0,7,8,0,0,0,0,64,19,14
Calum Chambers,0,18,4,0,0,1,0,69,36,30
Ben Chilwell,0,29,30,1,0,0,0,161,55,38
Tahith Chong,0,2,1,0,0,0,0,2,0,2
Hamza Choudhury,1,12,7,0,0,0,0,51,12,10
Andreas Christensen,0,17,10,0,0,0,0,107,68,49
Ciaran Clark,0,9,7,0,0,0,0,46,29,37
Leon Clarke,0,0,0,0,0,0,0,0,2,3
Tom Cleverley,0,16,10,0,0,0,0,51,9,12
Conor Coady,0,17,7,0,0,1,0,244,33,24
S?amus Coleman,1,19,19,1,0,0,0,118,29,20
Aaron Connolly,0,16,38,14,2,0,0,31,18,40
Lewis Cook,0,23,11,0,0,0,0,109,12,14
Steve Cook,0,16,15,1,0,2,0,112,113,65
Jack Cork,0,33,25,1,0,0,0,171,54,69
Aaron Cresswell,0,16,17,2,0,0,0,172,45,39
Patrick Cutrone,0,5,9,4,0,0,0,14,8,20
Diogo Dalot,0,1,0,0,0,0,0,5,3,0
Charlie Daniels,0,0,0,0,0,0,0,11,2,0
Arnaut Danjuma,0,0,5,6,0,0,0,29,2,11
Scott Dann,0,5,0,0,0,0,0,73,39,31
Kevin Danso,1,4,2,0,0,0,0,13,7,12
Ben Davies,0,27,8,1,0,0,0,61,45,21
Tom Davies,0,30,40,1,0,0,0,138,35,36
Keinan Davis,0,12,11,3,0,0,0,15,27,46
Craig Dawson,0,31,12,0,0,1,0,123,100,42
Kevin De Bruyne,0,26,28,3,0,0,0,136,17,16
Troy Deeney,0,37,36,12,1,0,0,62,195,275
Fabian Delph,1,18,7,0,0,0,0,94,15,9
