FName,LName,TMID
Michael,Obafemi,444208
Ch?,Adams,346779
Josh,Sims,286919
Shane,Long,37304
Nathan,Tella,340322
Theo,Walcott,33713
Moussa,Djenepo,485424
Jake,Hesketh,315185
Caleb,Watts,610665
Will,Ferry,504856
Danny,Ings,134294
Kgaogelo,Chauke,703577
Alexandre,Jankewitz,507472
Ryan,Finnigan,807318
Will,Smallbone,444211
Dan,N'Lundulu,346482
Oriol,Romeu,66100
Mario,Lemina,170934
Kayne,Ramsay,530879
Nathan,Redmond,129078
Ibrahima,Diallo,413032
James,Ward-Prowse,181579
Sam,McQueen,226968
Yan,Valery,406008
Kyle,Walker-Peters,341051
Stuart,Armstrong,130765
Ryan,Bertrand,40611
Takumi,Minamino,165793
Jake,Vokins,421424
Jack,Stephens,163744
Jannik,Vestergaard,99331
Jan,Bednarek,243028
Harry,Lewis,341043
Mohammed,Salisu,563963
Fraser,Forster,52570
Angus,Gunn,201574
Allan,Tchaptchet,465294
Alex,McCarthy,95976
Viktor,Gy?keres,325443
Florin,Andone,177065
Ellis,Simms,511550
Tyreece,John-Jules,503768
Liam,Delap,610849
Odion,Ighalo,62121
,Gabriel Jesus,363205
Dwight,Gayle,196522
Islam,Slimani,174915
Jamie,Vardy,197838
Andy,Carroll,48066
Cengiz,?nder,341647
Tawanda,Maswanhise,670987
Demarai,Gray,292417
Kelechi,Iheanacho,295330
Ayoze,P?rez,246968
Connor,Wickham,95435
Callum,Wilson,123682
Sergio,Ag?ero,26399
Ethan,Fitzhugh,610653
Khanya,Leshabela,461882
Marc,Albrighton,61560
Matty,James,73522
Kiernan,Dewsbury-Hall,475188
Dennis,Praet,129588
Harvey,Barnes,398065
Youri,Tielemans,249565
Thanawat,Suengchitthawon,427691
Nampalys,Mendy,111051
Vontae,Daley-Campbell,530732
James,Maddison,294057
James,Justin,413220
Timothy,Castagne,262226
Ricardo,Pereira,215876
Christian,Fuchs,6636
Luke,Thomas,505194
Hamza,Choudhury,341501
Sam,Hughes,395797
Wes,Morgan,10003
Josh,Knight,425026
Daniel,Amartey,214056
Sidnei,Tavares,511813
Shane,Flynn,583258
Caglar,S?y?nc?,320141
Wilfred,Ndidi,274839
Eldin,Jakupovic,2857
Danny,Ward,203026
Jonny,Evans,42412
Christian,Benteke,50201
Michy,Batshuayi,179184
Jakub,Stolarczyk,486144
Jean-Philippe,Mateta,420002
Jesurun,Rak-Sakyi,586834
Wilfried,Zaha,145988
Max,Meyer,146164
Kasper,Schmeichel,16911
Andros,Townsend,61842
James,McCarthy,45333
Eberechi,Eze,479999
Ben,Nelson,714458
Jairo,Riedewald,241481
Jordan,Ayew,108354
Luka,Milivojevic,74300
Martin,Kelly,78959
Joel,Ward,92572
Reece,Hannam,503241
Tyrick,Mitchell,730893
Nathaniel,Clyne,85177
James,McArthur,41416
Sam,Woods,611650
Nya,Kirby,406633
Gary,Cahill,27511
Scott,Dann,62688
Jaroslaw,Jach,327755
James,Tomkins,61592
Wesley,Fofana,475411
Ryan,Inniss,183284
Patrick,van Aanholt,52119
Jeffrey,Schlupp,157506
Jack,Butland,128899
Nathan,Ferguson,507254
,Roberto Firmino,131789
