Patrick van Aanholt,89,529,848,515,41,1869,38,16,22,830,4462,2433,41,10,31,15,994
Max Aarons,159,763,868,536,43,2144,99,48,51,1259,7858,4066,61,21,54,31,1253
Tammy Abraham,30,60,337,334,146,722,35,16,19,333,1698,749,17,10,74,42,479
Che Adams,11,29,181,214,60,418,25,18,7,232,1282,464,16,10,40,21,298
Adri?n,298,331,0,0,0,331,0,0,0,193,925,528,1,1,0,0,152
Sergio Ag?ero,4,17,178,356,131,541,40,24,16,405,2057,816,26,23,34,30,436
Albian Ajeti,0,1,8,19,7,28,2,0,2,17,61,8,0,1,4,2,22
Nathan Ak?,238,888,604,77,36,1557,3,3,0,958,4935,3112,5,0,9,5,922
Marc Albrighton,12,102,245,284,20,618,33,14,19,393,1968,822,19,4,12,9,423
Toby Alderweireld,344,1183,1068,101,22,2349,1,0,1,1460,5973,2949,18,1,9,5,1566
Trent Alexander-Arnold,99,825,1590,1193,54,3582,51,21,30,2136,9096,5332,113,16,47,12,2281
Alisson,792,983,10,0,0,992,0,0,0,600,2483,1531,1,1,0,0,495
Dele Alli,36,156,558,427,76,1127,66,29,36,707,3569,1684,37,14,50,41,760
Miguel Almir?n,34,260,538,537,81,1291,93,46,47,929,7715,3823,82,19,80,35,881
Marcos Alonso,27,335,536,477,59,1341,19,12,7,787,4088,2269,42,6,33,10,833
Steven Alzate,32,190,397,251,36,831,47,35,12,456,2796,1437,34,11,25,28,545
Ibrahim Amadou,100,331,138,13,4,480,2,2,0,290,1128,545,0,0,1,3,303
Felipe Anderson,19,143,564,486,56,1168,92,63,29,764,5752,3044,72,21,48,30,884
Florin Andone,2,7,9,18,3,34,7,2,5,19,178,93,3,1,5,1,17
Angeli?o,14,89,186,208,11,478,5,4,1,333,1405,797,28,1,6,3,338
Faustino Anjorin,0,0,5,7,3,12,2,1,1,8,57,25,0,1,1,1,8
Michail Antonio,11,39,263,532,117,817,103,65,37,494,3148,1490,42,26,73,45,599
Stuart Armstrong,49,149,419,335,42,889,53,30,23,470,3237,1472,34,8,55,25,544
Kepa Arrizabalaga,970,1132,6,0,0,1138,0,0,0,672,3073,1902,0,0,1,0,644
Christian Atsu,11,75,124,144,12,333,36,16,20,217,1717,957,23,6,20,17,209
