Adri?n,10,27,17,9,0,0,2,0,0,0,0
Alisson,23,80,58,23,3,3,13,1,1,0,0
Kepa Arrizabalaga,47,99,54,18,4,11,8,2,2,0,0
Claudio Bravo,7,15,8,2,0,1,1,0,0,0,0
Willy Caballero,7,16,10,2,2,1,1,0,0,0,0
Martin D?bravka,58,195,139,11,11,16,11,2,2,0,0
Ederson,28,95,68,24,3,8,16,3,3,0,0
?ukasz Fabia?ski,34,104,71,8,7,10,5,4,3,1,0
Ralf F?hrmann,1,2,1,0,0,1,0,0,1,0,0
Ben Foster,64,178,116,8,10,20,9,9,8,1,0
Paulo Gazzaniga,26,82,56,5,5,7,2,4,3,1,0
David de Gea,36,131,96,18,12,8,13,3,3,0,0
Vicente Guaita,42,149,109,11,9,15,10,1,0,0,1
Angus Gunn,25,55,30,2,2,6,2,2,2,0,0
Tom Heaton,35,102,68,6,3,11,4,3,3,0,0
Dean Henderson,33,128,94,14,11,11,13,3,1,1,1
Wayne Hennessey,8,23,15,0,1,2,0,0,0,0,0
Tim Krul,68,195,128,5,6,25,5,5,3,2,0
Bernd Leno,39,151,111,9,13,8,7,7,6,1,0
Hugo Lloris,21,99,78,11,6,4,6,3,2,1,0
David Martin,6,21,15,2,0,2,2,0,0,0,0
Emiliano Mart?nez,9,42,33,5,1,2,3,1,1,0,0
Alex McCarthy,35,113,78,13,5,10,7,2,1,1,0
Michael McGovern,6,13,6,0,0,1,0,1,0,1,0
Simon Moore,6,11,5,0,1,1,0,0,0,0,0
?rjan Nyland,12,27,15,0,2,3,1,0,0,0,0
Rui Patr?cio,40,129,88,15,14,9,13,3,1,2,0
Jordan Pickford,56,147,94,13,10,15,9,4,3,0,1
Nick Pope,50,167,117,15,9,14,15,5,4,1,0
Aaron Ramsdale,62,187,124,9,7,21,5,6,5,1,0
Darren Randolph,5,11,6,0,1,1,0,1,1,0,0
Pepe Reina,20,53,32,3,3,6,2,3,2,1,0
Roberto,17,51,35,0,1,6,0,1,1,0,0
Mathew Ryan,54,168,116,9,14,15,9,2,2,0,0
Kasper Schmeichel,41,135,94,18,8,12,13,10,8,2,0
Jed Steer,0,0,0,0,0,1,0,0,0,0,0
Mark Travers,3,5,2,0,0,1,0,0,0,0,0
