Ben Johnson,9000000
Angelo Ogbonna,1200000
Craig Dawson,3000000
Declan Rice,80000000
Lukasz Fabianski,1000000
Alphonse Areola,8000000
Tomas Soucek,45000000
Kurt Zouma,28000000
Roberto Firmino,32000000
Richarlison,48000000
Harry Kane,90000000
Lucas Moura,20000000
Dejan Kulusevski,40000000
Heung-min Son,75000000
Ryan Sessegnon,18000000
Yves Bissouma,35000000
Pierre-Emile H?jbjerg,40000000
Oliver Skipp,18000000
Emerson Royal,25000000
Matt Doherty,12000000
Rodrigo Bentancur,28000000
Japhet Tanganga,12000000
Davinson S?nchez,28000000
Eric Dier,28000000
Cristian Romero,48000000
Fraser Forster,2000000
Hugo Lloris,7000000
Brandon Austin,300000
Ben Davies,20000000
Mohamed Salah,90000000
Luis D?az,65000000
Diogo Jota,60000000
James Milner,2000000
Alex Oxlade-Chamberlain,16000000
Jordan Henderson,15000000
Naby Ke?ta,25000000
Curtis Jones,28000000
Thiago,20000000
Trent Alexander-Arnold,80000000
Konstantinos Tsimikas,15000000
Andrew Robertson,65000000
Joe Gomez,18000000
Joel Matip,18000000
Adri?n,1000000
Ibrahima Konat?,40000000
Alisson,50000000
Eddie Nketiah,16000000
Caoimh?n Kelleher,8000000
Virgil van Dijk,55000000
Bukayo Saka,65000000
Gabriel Martinelli,40000000
Emile Smith Rowe,40000000
Martin ?degaard,45000000
Gabriel Jesus,50000000
Albert Sambi Lokonga,14000000
Harvey Elliott,22000000
Granit Xhaka,20000000
Thomas Partey,38000000
Takehiro Tomiyasu,25000000
Ben White,40000000
Kieran Tierney,32000000
Mohamed Elneny,11000000
Rob Holding,10000000
Gabriel Magalh?es,38000000
Karl Hein,800000
Aaron Ramsdale,28000000
Armando Broja,22000000
Christian Pulisic,42000000
Raheem Sterling,70000000
Mason Mount,75000000
Hakim Ziyech,28000000
Carney Chukwuemeka,6000000
Conor Gallagher,25000000
Mateo Kovacic,42000000
Fabinho,60000000
Jorginho,40000000
Reece James,60000000
Marc Cucurella,28000000
Kai Havertz,70000000
Ben Chilwell,38000000
Thiago Silva,2500000
Trevoh Chalobah,20000000
Edouard Mendy,32000000
Kepa Arrizabalaga,10000000
C?sar Azpilicueta,9000000
Marcus Bettinelli,2000000
Ch? Adams,18000000
Theo Walcott,1800000
Samuel Edozie,800000
Oleksandr Zinchenko,25000000
Mohamed Elyounoussi,12000000
N'Golo Kant?,40000000
Stuart Armstrong,6000000
Rom?o Lavia,2000000
Ibrahima Diallo,10000000
Adam Armstrong,15000000
Tino Livramento,25000000
Moussa Djenepo,10000000
James Ward-Prowse,32000000
Lyanco,5000000
Mohammed Salisu,18000000
Willy Caballero,250000
Gavin Bazunu,5000000
Ruben Loftus-Cheek,20000000
Romain Perraud,8000000
Alex McCarthy,3000000
Kyle Walker-Peters,22000000
Jordan Ayew,6000000
Odsonne Edouard,17000000
Michael Olise,22000000
Wilfried Zaha,38000000
Eberechi Eze,22000000
Jeffrey Schlupp,8000000
Will Hughes,6000000
James McArthur,1200000
Luka Milivojevic,4000000
Joel Ward,2000000
Nathaniel Clyne,2000000
Tyrick Mitchell,25000000
James Tomkins,1500000
Joachim Andersen,25000000
Marc Gu?hi,32000000
Nathan Ferguson,2500000
Vicente Guaita,1500000
Jean-Philippe Mateta,10000000
Jairo Riedewald,5000000
Riyad Mahrez,35000000
Jack Grealish,70000000
Phil Foden,90000000
Cole Palmer,6000000
Kevin De Bruyne,85000000
Ilkay G?ndogan,25000000
Kalvin Phillips,50000000
Rodri,80000000
Jo?o Cancelo,65000000
Kyle Walker,18000000
John Stones,28000000
Nathan Ak?,25000000
Bernardo Silva,80000000
Scott Carson,300000
