Alisson,0,3,24.4,0.25,+1.4,114,258,1216,211,26.3,172,33.4,340,22,89,18.7
Alphonse Areola,0,0,1.2,0.39,+0.2,9,28,26,3,46.3,14,48.5,15,1,0,5.5
Kepa Arrizabalaga,0,1,3.2,0.25,+1.2,8,29,117,29,26.4,21,27.6,44,2,8,18.8
Daniel Bachmann,1,3,23.2,0.30,-2.8,71,207,275,47,40.9,87,47.8,187,7,12,16.1
Asmir Begovi?,0,3,4.2,0.18,-2.8,20,62,54,5,48.9,31,51.3,50,3,2,10.7
Jack Butland,1,1,9.7,0.31,-1.3,25,93,221,40,29.8,66,36.3,139,11,7,11.2
Willy Caballero,0,1,3.3,0.31,-1.7,17,36,47,0,38.4,13,56.5,33,1,4,14.0
Karl Darlow,0,1,9.5,0.21,-4.5,72,163,187,28,44.5,62,56.7,106,5,4,10.5
Martin D?bravka,0,7,34.0,0.32,0.0,207,497,605,88,37.0,236,60.5,360,22,14,11.9
Ederson,0,1,25.7,0.30,-0.3,87,182,988,165,25.7,138,26.8,300,21,55,19.0
?ukasz Fabia?ski,2,8,46.8,0.26,-1.2,193,525,736,164,38.2,277,44.4,595,28,12,10.4
?lvaro Fern?ndez,0,5,19.9,0.28,-2.1,64,216,433,60,33.9,83,36.9,194,9,18,16.8
Fraser Forster,0,5,32.4,0.31,-0.6,105,330,461,71,39.6,140,49.5,285,19,24,12.3
Ben Foster,0,3,37.1,0.29,-10.9,196,622,657,76,44.7,223,60.6,455,20,37,15.9
David de Gea,0,4,55.1,0.29,+1.1,103,315,623,134,30.9,299,35.9,525,8,25,14.0
Vicente Guaita,1,10,28.8,0.23,-4.2,105,282,778,182,28.3,201,31.5,386,17,36,16.3
Angus Gunn,0,2,19.3,0.30,-2.7,45,129,219,47,34.5,86,34.5,175,3,14,17.3
Wayne Hennessey,0,1,3.2,0.26,-1.8,27,63,57,7,50.8,21,63.6,37,0,4,17.0
Caoimh?n Kelleher,0,0,2.2,0.28,+0.2,2,10,78,13,22.7,13,23.0,20,0,3,17.1
Kristoffer Klaesson,0,0,0.6,0.14,+0.6,1,3,8,2,30.4,3,28.7,7,0,2,23.7
Tim Krul,1,7,48.3,0.27,-11.7,134,399,847,168,34.3,224,40.1,442,14,19,12.6
Bernd Leno,0,0,9.4,0.50,+0.4,17,53,77,13,33.8,37,50.4,73,6,1,7.3
Hugo Lloris,1,5,37.6,0.26,-1.4,115,279,676,161,31.0,278,26.5,567,33,45,14.2
Jonas L?ssl,0,0,3.2,0.46,-1.8,9,25,48,6,35.7,13,31.7,30,1,5,22.7
Emiliano Mart?nez,2,5,42.1,0.27,-3.9,146,406,824,162,33.6,275,34.1,474,34,33,15.4
Alex McCarthy,0,6,21.5,0.31,-5.5,74,246,383,78,34.7,125,50.6,255,22,5,9.6
Edouard Mendy,0,1,28.4,0.22,-1.6,83,193,779,154,25.3,177,24.9,375,28,46,14.9
Illan Meslier,3,10,61.8,0.26,-16.2,108,410,1101,274,29.3,288,33.3,438,23,45,14.2
Robin Olsen,0,0,2.2,0.44,-0.8,8,25,26,7,38.3,20,48.6,28,5,0,5.8
Jordan Pickford,2,10,51.7,0.31,-2.3,272,782,873,119,46.4,267,60.5,518,23,35,14.9
Nick Pope,1,6,44.3,0.25,-1.7,319,807,793,147,46.2,283,61.2,605,46,80,17.4
Aaron Ramsdale,0,3,38.2,0.26,+0.2,134,480,993,162,33.2,181,55.1,414,26,60,16.4
David Raya,1,3,26.2,0.22,-0.8,225,527,876,118,36.2,202,49.9,402,27,35,15.8
John Ruddy,0,1,2.9,0.42,-0.1,1,11,19,4,36.1,14,28.5,13,1,1,14.2
Jos? S?,1,1,46.3,0.24,+7.3,121,412,844,216,34.7,261,36.9,549,43,40,13.3
Robert S?nchez,1,5,40.9,0.28,-1.1,158,561,1285,186,33.0,234,48.9,517,60,36,12.9
Kasper Schmeichel,1,14,55.5,0.26,-1.5,194,486,999,166,34.1,291,37.5,533,15,38,14.8
Jason Steele,0,1,1.6,0.33,-0.4,2,6,32,2,23.9,6,40.0,16,0,0,9.3
Jed Steer,0,0,2.2,0.55,-0.8,3,11,32,7,30.4,6,31.2,11,1,1,16.3
Zack Steffen,0,0,0.1,0.07,+0.1,1,6,32,6,23.4,7,19.3,10,0,3,16.6
Danny Ward,0,1,1.4,0.28,+0.4,2,5,26,8,25.8,7,19.3,18,1,1,10.7
Freddie Woodman,0,0,8.8,0.29,-3.2,23,66,79,11,38.1,39,47.9,55,3,0,7.8
