link,Player_id,Name,nationality,position,team,age,games,games_starts,minutes,minutes_90s,goals,assists,pens_made,pens_att,cards_yellow,cards_red,xg,npxg,xg_assist,progressive_carries,progressive_passes,progressive_passes_received,shots,shots_on_target,average_shot_distance,xg_net,sca,sca_passes_live,sca_passes_dead,sca_take_ons,sca_shots,sca_fouled,sca_defense,gca,gca_passes_live,gca_passes_dead,gca_take_ons,gca_shots,gca_fouled,gca_defense,passes_completed,passes,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_completed_medium,passes_medium,passes_completed_long,passes_long,pass_xa,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_switches,crosses,throw_ins,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_completed,passes_offsides,passes_blocked,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,take_ons,take_ons_won,take_ons_tackled,carries,carries_distance,carries_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,passes_received,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenge_tackles,challenges,challenges_lost,blocked_shots,blocked_passes,interceptions,clearances,errors,games_complete,games_subs,unused_subs,points_per_game,on_goals_for,on_goals_against,plus_minus_wowy,on_xg_for,on_xg_against,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,gk_goals_against,gk_shots_on_target_against,gk_saves,gk_wins,gk_ties,gk_losses,gk_clean_sheets,gk_pens_att,gk_pens_allowed,gk_pens_saved,gk_pens_missed,gk_free_kick_goals_against,gk_corner_kick_goals_against,gk_psxg,gk_psnpxg_per_shot_on_target_against,gk_psxg_net,gk_passes_completed_launched,gk_passes_launched,gk_passes,gk_passes_throws,gk_passes_length_avg,gk_goal_kicks,gk_goal_kick_length_avg,gk_crosses,gk_crosses_stopped,gk_def_actions_outside_pen_area,gk_avg_distance_def_actions
https://fbref.com/en/players/774cf58b/Max-Aarons,120220001,Max Aarons,ENG,DF,Norwich City,21,34,32,2881,32.0,0,2,0,0,8,0,0.8,0.8,1.7,78,117,85,13,2,19.9,-0.8,46,34,3,2,3,3,1,3,3,0,0,0,0,0,1107,1469,16588,6133,645,713,383,511,57,160,1.7,20,50,37,9,1130,332,17,5,4,50,315,0,0,0,0,1107,7,40,160,721,703,440,23,1841,68,34,34,953,6454,3377,47,12,38,23,1030,64,44,49,15,0,37,55,18,19,20,28,96,1,29,2,2,0.53,18,69,0.08,25.5,60.0,0,27,52,1,0,2,1,154,13,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
https://fbref.com/en/players/f2bf1b0f/Che-Adams,120220002,Che Adams,SCO,FW,Southampton,25,30,23,2039,22.7,7,3,0,0,0,0,7.1,7.1,3.0,19,33,153,49,24,13.3,-0.1,51,32,0,2,4,11,2,5,3,0,1,0,0,1,304,472,4188,1017,188,256,73,106,18,34,1.7,26,24,10,0,468,2,0,4,5,8,1,0,0,0,0,304,2,22,22,81,293,344,94,712,35,20,15,394,1804,651,13,13,59,34,537,13,6,5,5,3,2,16,14,2,16,8,18,0,13,7,4,1.03,25,40,-0.08,28.5,36.1,0,29,40,7,0,0,0,70,61,91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
https://fbref.com/en/players/9b398aea/Rayan-Ait-Nouri,120220003,Rayan A?t-Nouri,ALG,DF,Wolves,20,23,20,1828,20.3,1,2,0,0,4,0,0.6,0.6,1.6,60,49,127,13,4,17.6,0.4,45,30,8,4,0,2,1,6,4,1,0,0,1,0,763,1025,12151,4064,418,472,273,361,54,141,1.1,17,28,14,10,811,211,10,1,7,96,172,29,11,16,0,763,3,19,49,459,458,392,39,1293,81,42,39,659,3744,1969,38,19,44,27,736,64,36,46,15,3,22,44,22,2,22,22,39,1,17,3,12,1.13,25,26,0.18,18.6,33.6,0,14,20,3,1,0,0,128,17,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
https://fbref.com/en/players/a8c0acb7/Kristoffer-Ajer,120220004,Kristoffer Ajer,NOR,DF,Brentford,23,24,23,1995,22.2,1,3,0,0,5,0,0.8,0.8,1.7,30,82,29,7,1,8.8,0.2,33,22,6,2,1,1,1,7,3,1,2,0,1,0,627,892,10133,4740,303,372,255,342,47,105,1.8,8,41,13,2,734,154,6,2,3,17,148,0,0,0,0,627,4,28,108,442,484,181,31,1101,18,13,5,488,2991,1717,25,2,25,7,530,29,18,21,6,2,13,21,8,11,8,26,74,0,17,1,3,1.29,28,31,0.18,27.7,29.8,0,12,16,0,0,0,0,109,49,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
https://fbref.com/en/players/eaeca114/Nathan-Ake,120220005,Nathan Ak?,NED,DF,Manchester City,26,14,10,923,10.3,2,0,0,0,0,0,0.7,0.7,0.6,12,57,8,5,2,7.3,1.3,5,5,0,0,0,0,0,0,0,0,0,0,0,0,796,878,13200,4534,373,399,384,416,29,42,0.5,2,63,3,0,836,41,15,1,2,1,26,0,0,0,0,796,1,5,56,332,525,103,10,956,2,0,2,677,3333,2158,12,0,4,3,741,16,9,7,8,1,6,8,2,5,2,8,23,0,8,4,22,2.64,19,3,-0.49,20.3,5.3,0,9,2,0,0,0,0,43,37,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
https://fbref.com/en/players/b827d5b3/Marc-Albrighton,120220006,Marc Albrighton,ENG,FW,Leicester City,31,17,11,1132,12.6,1,2,0,0,3,0,0.5,0.5,2.0,21,26,56,4,1,16.3,0.5,19,12,4,0,0,3,0,2,2,0,0,0,0,0,347,558,5152,2040,220,258,86,145,26,94,1.0,11,23,8,6,452,101,15,2,3,78,48,37,27,6,0,347,5,27,35,166,302,243,12,705,40,15,25,357,1616,691,14,2,21,8,397,31,19,16,9,6,10,47,37,3,12,14,20,0,11,6,17,1.35,17,24,-0.95,13.3,24.6,0,6,13,2,0,0,0,65,4,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
https://fbref.com/en/players/77e84962/Thiago-Alcantara,120220007,Thiago Alc?ntara,ESP,MF,Liverpool,30,25,17,1534,17.0,1,4,0,0,2,0,1.9,1.9,2.3,24,214,45,25,6,19.3,-0.9,67,57,0,1,7,1,1,6,6,0,0,0,0,0,1340,1508,24737,7150,573,624,594,640,150,190,1.7,29,211,26,1,1488,18,10,4,17,4,4,1,0,1,0,1340,2,13,32,247,1106,362,20,1700,32,20,12,1039,5003,2393,43,1,16,13,1279,48,29,14,24,10,10,42,32,2,20,26,13,2,5,8,1,2.64,43,7,0.59,42.7,10.9,0,19,13,0,0,0,0,126,31,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
https://fbref.com/en/players/cd1acf9d/Trent-Alexander-Arnold,120220008,Trent Alexander-Arnold,ENG,DF,Liverpool,22,32,32,2853,31.7,2,12,0,0,2,0,2.4,2.4,12.0,53,267,201,51,15,24.0,-0.4,160,96,53,3,7,1,0,18,13,4,0,1,0,0,2039,2757,40112,15683,841,964,811,1048,344,636,13.0,90,245,85,25,2204,548,93,17,69,273,324,131,29,89,0,2039,5,34,71,602,1386,1070,83,3036,39,19,20,1504,5687,2824,55,14,41,19,1897,40,23,19,13,8,27,60,33,4,18,43,40,0,30,0,2,2.38,80,22,0.24,74.1,30.0,0,12,7,11,0,0,0,235,15,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
https://fbref.com/en/players/7a2e46a8/Alisson,120220009,Alisson,BRA,GK,Liverpool,28,36,36,3240,36.0,0,1,0,0,0,0,0.0,0.0,0.2,0,1,0,0,0,0.0,0.0,2,2,0,0,0,0,0,1,1,0,0,0,0,0,1214,1388,28439,18286,275,276,686,699,249,409,0.0,1,16,1,0,1154,234,62,0,3,0,0,0,0,0,0,1214,0,0,1042,1452,17,0,0,1469,1,1,0,873,3573,2223,0,0,1,0,836,3,1,3,0,0,3,5,2,0,1,0,28,1,36,0,0,2.44,87,24,-0.75,84.1,32.1,0,0,2,0,0,0,1,80,15,1,24.0,99.0,76.0,27.0,7.0,2.0,20.0,0.0,0.0,0.0,0.0,0.0,3.0,24.4,0.25,1.4,114.0,258.0,1216.0,211.0,26.3,172.0,33.4,340.0,22.0,89.0,18.7
https://fbref.com/en/players/cc700722/Allan,120220010,Allan,BRA,MF,Everton,30,28,25,2183,24.3,0,2,0,0,7,1,0.2,0.2,0.8,26,130,18,7,3,24.5,-0.2,38,35,0,1,0,1,1,7,5,0,1,0,1,0,778,982,12868,4192,356,405,337,402,57,102,1.0,15,103,20,3,912,66,19,1,2,10,10,0,0,0,0,778,4,26,77,324,763,191,7,1259,31,21,10,650,3118,1603,24,4,38,24,672,74,44,28,39,7,34,105,71,9,31,23,39,1,17,3,5,1.14,26,38,0.31,27.5,32.8,0,30,22,0,1,0,0,191,11,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
