Alisson,24,99,76,27,7,2,20,0,0,0,0
Alphonse Areola,1,3,2,0,0,1,0,0,0,0,0
Kepa Arrizabalaga,2,13,11,2,1,1,2,0,0,0,0
Daniel Bachmann,28,72,46,1,0,11,0,3,3,0,0
Asmir Begovi?,8,18,11,1,0,2,1,1,1,0,0
Jack Butland,13,28,16,2,4,2,1,1,0,1,0
Willy Caballero,5,11,6,0,1,1,0,0,0,0,0
Karl Darlow,15,37,23,0,5,3,0,2,2,0,0
Martin D?bravka,35,106,72,13,4,9,8,1,1,0,0
Ederson,26,83,57,28,6,3,20,1,1,0,0
?ukasz Fabia?ski,50,162,111,16,8,13,8,6,2,3,1
?lvaro Fern?ndez,24,69,47,3,2,7,1,1,1,0,0
Fraser Forster,35,101,68,6,5,8,3,2,2,0,0
Ben Foster,49,116,67,5,5,16,4,4,3,1,0
David de Gea,57,180,124,16,10,12,8,5,3,2,0
Vicente Guaita,33,116,83,9,11,10,11,3,3,0,0
Angus Gunn,22,57,34,1,2,6,1,4,2,1,1
Wayne Hennessey,6,13,8,0,0,2,0,0,0,0,0
Caoimh?n Kelleher,2,8,6,1,1,0,1,0,0,0,0
Kristoffer Klaesson,0,4,4,0,0,0,0,0,0,0,0
Tim Krul,62,165,105,4,5,20,5,8,7,0,1
Bernd Leno,9,19,10,1,0,3,1,0,0,0,0
Hugo Lloris,40,137,98,22,5,11,16,2,2,0,0
Jonas L?ssl,5,7,2,0,0,2,0,0,0,0,0
Emiliano Mart?nez,48,140,93,13,6,17,11,6,4,1,1
Alex McCarthy,27,71,44,3,7,7,5,0,0,0,0
Edouard Mendy,31,102,72,19,10,5,14,6,6,0,0
Illan Meslier,79,220,142,9,11,18,5,5,5,0,0
Robin Olsen,3,5,2,0,0,1,0,0,0,0,0
Jordan Pickford,58,170,116,10,6,19,7,1,1,0,0
Nick Pope,47,165,119,7,14,15,9,5,5,0,0
Aaron Ramsdale,39,128,90,21,3,10,12,6,5,0,1
David Raya,27,103,76,10,5,9,8,4,4,0,0
John Ruddy,3,7,4,0,1,0,0,0,0,0,0
Jos? S?,40,160,121,15,5,17,11,10,9,0,1
Robert S?nchez,42,141,99,12,15,10,11,4,3,0,1
Kasper Schmeichel,58,187,128,13,10,14,7,9,7,2,0
Jason Steele,2,5,3,0,0,1,0,0,0,0,0
Jed Steer,3,4,1,0,0,1,0,0,0,0,0
Zack Steffen,0,2,2,1,0,0,1,0,0,0,0
Danny Ward,1,5,4,1,0,0,0,0,0,0,0
Freddie Woodman,12,22,9,0,1,3,0,3,2,1,0
