FName,LName,TMID
Halil,Dervisoglu,465606
Salom?n,Rond?n,80197
Mateo,Joseph,834742
Ellis,Simms,511550
Thomas,Cannon,669366
Dominic,Calvert-Lewin,306024
Neal,Maupay,217115
Stanley,Mills,801005
Andros,Townsend,61842
Demarai,Gray,292417
Dwight,McNeil,584769
Anthony,Gordon,503733
Sean,McAllister,720720
Alex,Iwobi,242631
Isaac,Price,612749
Lewis,Warrington,652979
Tom,Davies,314210
Abdoulaye,Doucour?,127187
Idrissa,Gueye,126665
Andr?,Gomes,221025
James,Garner,505219
,Allan,126422
Kyle,John,504507
Seamus,Coleman,68390
Nathan,Patterson,424015
Ish?,Samuels-Smith,922698
Vitaliy,Mykolenko,404842
R?ben,Vinagre,357158
Yerry,Mina,289446
Michael,Keane,118534
Mason,Holgate,348623
Ben,Godfrey,343475
James,Tarkowski,173504
Andy,Lonergan,14044
Eldin,Jakupovic,2857
Asmir,Begovic,33873
Jordan,Pickford,130164
Conor,Coady,128901
Reece,Welch,655986
Ivan,Toney,251664
Kevin,Schade,473050
Sergi,Can?s,251845
Bryan,Mbeumo,413039
Alex,Gilbert,542884
Tariqe,Fosu,249873
Keane,Lewis-Potter,644401
Mikkel,Damsgaard,540941
Yoane,Wissa,388165
Yegor,Yarmolyuk,717411
Saman,Ghoddos,204294
Shandon,Baptiste,533916
Ryan,Trevitt,874538
Frank,Onyeka,421637
Mathias,Jensen,319859
Josh,Dasilva,340321
Fin,Stevens,587019
Christian,N?rgaard,148367
Vitaly,Janelt,270171
Mads,Roerslev,391005
Rico,Henry,339556
Aaron,Hickey,591949
Charlie,Goode,376856
Ben,Mee,74810
,Zanka,52059
Pontus,Jansson,125314
Mads,Bech S?rensen,372240
Ethan,Pinnock,442248
Kristoffer,Ajer,328658
Ellery,Balcombe,456292
Thomas,Strakosha,222209
David,Raya,262749
Amadou,Onana,485706
Sonny,Perkins,670877
Tyler,Roberts,296986
,Rodrigo,131505
Joe,Gelhardt,503980
Patrick,Bamford,183334
Georginio,Rutter,538977
Daniel,James,319301
Crysencio,Summerville,474701
Ian,Poveda,392763
Amari,Miller,733308
Wilfried,Gnonto,627626
Luis,Sinisterra,512385
Jack,Harrison,417346
Archie,Gray,922693
Sam,Greenwood,532178
Joe,Snowdon,745692
Tristan,Crama,732529
Alfie,McCalmont,471368
Adam,Forshaw,121257
Michael,Olakigbe,734425
Jamie,Shackleton,534700
Darko,Gyabi,663264
Marc,Roca,336869
Mateusz,Klich,92738
Luke,Ayling,67420
Tyler,Adams,332705
Cody,Drameh,531957
Junior,Firpo,374139
Pascal,Struijk,410708
James,Debayo,906891
Kris,Moore,746067
Jeremiah,Chilokoa-Mullen,719681
Diogo,Monteiro,670713
Leo Fuhr,Hjelde,661208
Liam,Cooper,75067
Charlie,Cresswell,597659
Maximilian,W?ber,263361
Robin,Koch,328784
Dani,van den Heuvel,559320
Joel,Robles,101118
Kristoffer,Klaesson,418561
Charlie,Allen,624264
Illan,Meslier,542586
Matthew,Cox,741236
Stuart,Dallas,158764
Rasmus,Kristensen,369684
Brenden,Aaronson,393323
Keinan,Davis,412660
Divin,Mubama,670848
Callum,Wilson,123682
Diego,Costa,44779
Charlie,McNeill,614262
Aaron,Connolly,434207
Nathan,Fraser,863741
Anthony,Martial,182877
George,Hirst,420808
,Cristiano Ronaldo,8198
Mason,Greenwood,532826
Shola,Shoretire,640026
Facundo,Pellistri,676318
Amad,Diallo,536835
,Antony,602105
Anthony,Elanga,583189
Jadon,Sancho,401173
,Hannibal,607224
Bruno,Fernandes,240306
Alejandro,Garnacho,811779
Zidane,Iqbal,686845
,Fred,191614
Marcel,Sabitzer,106987
Marcus,Rashford,258923
Scott,McTominay,315969
,Casemiro,16306
Marc,Jurado,709960
Aaron,Wan-Bissaka,477758
Diogo,Dalot,357147
?lvaro,Fernandez,811778
Brandon,Williams,507700
Tyrell,Malacia,339340
Luke,Shaw,183288
Rhys,Bennett,794816
Tyler,Fredricson,911424
Phil,Jones,117996
Teden,Mengi,548470
Axel,Tuanzebe,342046
Victor,Lindel?f,184573
Rapha?l,Varane,164770
Harry,Maguire,177907
Christian,Eriksen,69633
Radek,Vitek,622236
Nathan,Bishop,495033
Jack,Butland,128899
Matej,Kovar,550829
Lisandro,Mart?nez,480762
Jamie,Vardy,197838
David,de Gea,59377
Kelechi,Iheanacho,295330
,Tet?,371256
Ayoze,P?rez,246968
Will,Alves,867711
Tom,Heaton,34130
Kasey,McAteer,621193
James,Maddison,294057
Marc,Albrighton,61560
,Wanya Mar?al,670988
Dennis,Praet,129588
Kiernan,Dewsbury-Hall,475188
Youri,Tielemans,249565
Lewis,Brunt,533657
Sammy,Braybrooke,840640
Nampalys,Mendy,111051
Hamza,Choudhury,341501
Wilfred,Ndidi,274839
Kobbie,Mainoo,820374
Joe,Wormleighton,814524
Ricardo,Pereira,215876
James,Justin,413220
Timothy,Castagne,262226
Ryan,Bertrand,40611
Victor,Kristiansen,564529
Jonny,Evans,42412
Daniel,Amartey,214056
Harry,Souttar,298091
Caglar,S?y?nc?,320141
Wout,Faes,292808
Luke,Thomas,505194
Alex,Smithies,33754
Patson,Daka,365172
Donny,van de Beek,288255
Hee-chan,Hwang,292246
Ra?l,Jim?nez,206040
Boubakary,Soumar?,344605
Sasa,Kalajdzic,369567
Jannik,Vestergaard,99331
Harvey,Barnes,398065
Pedro,Neto,487465
,Chiquinho,695454
Pablo,Sarabia,74230
Chem,Campbell,614603
Connor,Ronan,337787
Jo?o,Moutinho,29364
Wesley,Fofana,475411
Jo?o,Gomes,735570
Harvey,Griffiths,670558
Joe,Hodge,503975
Boubacar,Traor?,649020
Danny,Ward,203026
Daniel,Iversen,260841
Ki-Jana,Hoever,485583
Luke,Cundle,532541
R?ben,Neves,225161
Hugo,Bueno,698678
Jonny,Otto,175446
Rayan,A?t-Nouri,578391
Yerson,Mosquera,716276
,Toti,606718
Nathan,Collins,469050
Max,Kilman,525247
Jackson,Smith,511964
Louie,Moulden,444641
Matija,Sarkic,293257
Dexter,Lembikisa,712099
Matheus,Cunha,517894
Alexander,Isak,349066
Jacob,Murphy,199527
Mario,Lemina,170934
Ryan,Fraser,146795
Daniel,Bentley,136401
N?lson,Semedo,231572
Allan,Saint-Maximin,272642
Elliot,Anderson,567576
Matt,Ritchie,92469
Matty,Longstaff,484387
Lewis,Miley,922769
Sean,Longstaff,346707
Joe,Willock,340329
Isaac,Hayden,206225
Daniel,Podence,256977
Javier,Manquillo,162029
Emil,Krafth,184528
Kieran,Trippier,95810
Paul,Dummett,170321
Jamal,Lewis,346018
Dan,Burn,134270
Matt,Targett,250478
Kell,Watts,484389
Miguel,Almir?n,272999
Federico,Fern?ndez,85475
Ciaran,Clark,98240
Jeff,Hendrick,148262
Sven,Botman,361093
Mark,Gillespie,142389
Jamaal,Lascelles,183318
Karl,Darlow,99397
Loris,Karius,85864
Martin,D?bravka,74960
Deniz,Undav,339314
Danny,Welbeck,67063
Nick,Pope,192080
Evan,Ferguson,648046
Solly,March,209212
Kaoru,Mitoma,504849
Leandro,Trossard,144028
,Joelinton,333241
Adama,Traor?,204103
Adam,Lallana,43530
Jeremy,Sarmiento,568005
Facundo,Buonanotte,983989
Alexis,Mac Allister,534033
Enock,Mwepu,490307
Jack,Hinchy,854689
Andy,Moran,724537
Taylor,Richards,484551
Steven,Alzate,476237
Yasin,Ayari,667287
Pascal,Gro?,82873
Jakub,Moder,384461
Jack,Spong,530916
Billy,Gilmour,423744
Cameron,Peupion,703626
Jo?l,Veltman,111195
Tariq,Lamptey,504148
Imari,Samuels,565846
James,Furlong,580030
Haydon,Roberts,533523
Pervis,Estupi??n,349599
Odel,Offiah,567597
Antef,Tsoungui,503858
Ed,Turns,580809
Jan Paul,van Hecke,576314
Lewis,Dunk,148153
Adam,Webster,212847
Bruno,Guimar?es,520624
Jos?,S?,249994
Jason,Steele,73564
Robert,S?nchez,403151
Jhon,Dur?n,649317
Cameron,Archer,533662
Ollie,Watkins,324358
Fabian,Sch?r,135343
Emiliano,Buend?a,321247
Jaden,Philogene,665390
Levi,Colwill,614258
Leon,Bailey,387626
Philippe,Coutinho,80444
Tim,Iroegbunam,696589
Mois?s,Caicedo,687626
Kadan,Young,887433
John,McGinn,193116
,Douglas Luiz,447661
Lamare,Bogarde,645686
Marvelous,Nakamba,324882
Leander,Dendoncker,168157
Boubacar,Kamara,394327
Matty,Cash,425334
Ashley,Young,14086
Julio,Enciso,660867
Travis,Patterson,874902
Sebastian,Revan,667925
Lucas,Digne,126664
?lex,Moreno,193098
Sil,Swinkels,646710
Tom,McGill,406556
Josh,Feeney,875929
Calum,Chambers,215118
,Diego Carlos,329145
Jan,Bednarek,243028
Jack,Hinshelwood,867688
Tyrone,Mings,253677
James,Wright,712181
Filip,Marschall,610863
Oliwier,Zych,555074
Tommi,O'Reilly,818237
Jed,Steer,110867
Robin,Olsen,75458
