Max Aarons,0,12,26,2,0,1,0,75,5,11
Joshua Acheampong,0,0,0,0,0,0,0,1,0,1
Tyler Adams,0,0,3,0,0,0,0,7,2,3
Tosin Adarabioyo,0,10,5,0,0,0,0,43,56,28
Elijah Adebayo,0,27,16,13,0,0,0,34,43,43
Simon Adingra,0,29,19,17,1,0,0,118,8,12
Nayef Aguerd,1,10,6,0,0,1,0,102,48,32
Brandon Aguilera,0,3,0,0,0,0,0,0,0,0
Naouirou Ahamada,1,9,6,1,0,0,0,30,3,3
Anel Ahmedhod?i?,1,34,13,2,0,0,0,107,51,37
Ola Aina,0,18,25,2,0,1,0,97,16,12
Rayan A?t-Nouri,0,25,53,8,1,1,0,136,21,25
Kristoffer Ajer,0,25,10,1,0,0,0,60,63,23
Manuel Akanji,1,17,19,0,0,0,0,142,27,27
Nathan Ak?,0,10,18,0,0,0,0,119,46,28
Thiago Alc?ntara,0,0,0,0,0,0,0,0,0,0
Trent Alexander-Arnold,0,9,9,2,0,0,0,176,8,6
Alisson,0,1,5,0,0,0,0,36,6,2
Miguel Almir?n,0,16,22,10,0,0,0,97,6,7
Edson ?lvarez,0,33,15,1,0,1,0,164,30,34
Juli?n ?lvarez,0,23,13,2,2,0,0,98,4,24
Zeki Amdouni,0,22,39,2,1,0,0,79,15,56
Sofyan Amrabat,0,24,10,0,0,0,0,60,5,6
Joachim Andersen,0,43,23,1,0,0,0,193,89,46
Elliot Anderson,0,21,19,1,0,0,0,60,19,12
Jaidon Anthony,0,4,2,2,0,0,0,11,1,3
Michail Antonio,0,25,28,9,0,0,0,55,33,53
Antony,0,19,32,2,1,1,0,96,2,21
Oliver Arblaster,0,10,12,0,0,0,1,52,9,15
Cameron Archer,0,14,20,13,0,0,0,62,7,42
Cameron Archer1,0,1,0,0,0,0,0,1,0,0
Alphonse Areola,0,2,3,0,0,2,1,15,10,1
Lorenz Assignon,1,33,16,1,0,2,0,67,13,17
Serge Aurier,0,8,9,0,0,0,0,50,30,20
Taiwo Awoniyi,0,9,16,13,0,0,0,33,21,48
Jordan Ayew,1,46,94,7,0,0,0,155,33,61
Beno?t Badiashile,0,17,6,1,0,1,1,82,28,22
Leon Bailey,0,26,26,11,0,0,0,107,14,24
Stefan Bajcetic,0,1,2,0,0,0,0,2,0,0
George Baldock,0,19,14,1,1,0,0,44,13,13
Carlos Baleba,0,40,27,0,0,0,0,95,24,9
Fod? Ballo-Tour?,0,4,2,0,0,0,0,6,0,2
Shandon Baptiste,0,3,0,0,0,0,0,17,3,6
Valent?n Barco,0,7,7,0,0,0,0,16,1,7
Ross Barkley,0,25,40,0,0,0,0,201,42,34
Harvey Barnes,0,5,21,2,0,0,0,43,4,8
Chris Basham,0,3,3,2,0,0,0,16,7,8
Calvin Bassey,1,15,11,2,0,1,0,171,30,25
Owen Beck,0,0,0,0,0,0,0,0,0,0
Donny van de Beek,0,0,0,0,0,0,0,0,0,0
Amari'i Bell,0,22,16,0,0,0,0,98,20,22
Jean-Ricner Bellegarde,0,10,24,2,0,0,0,41,8,26
Anis Ben Slimane,0,7,6,2,0,0,1,35,7,18
Sa?d Benrahma,0,5,6,1,0,0,0,43,1,5
Rodrigo Bentancur,0,20,17,0,0,0,0,54,14,22
Daniel Bentley,0,0,0,0,0,0,0,6,2,0
J?hann Berg Gu?mundsson,0,9,20,2,0,0,0,56,14,21
Sander Berge,1,40,19,2,0,0,0,202,64,48
Luke Berry,0,6,7,0,0,0,0,8,7,7
Beto,0,21,19,10,0,0,0,36,47,56
Jordan Beyer,0,11,6,0,0,0,0,57,28,26
Philip Billing,0,19,12,0,0,0,0,76,36,24
Yves Bissouma,1,35,31,0,0,0,0,128,14,15
Benicio Boaitey,0,2,0,1,0,0,0,2,0,0
