Alisson,30,109,80,16,8,4,8,1,1,0,0
Alphonse Areola,53,188,136,11,9,11,4,7,5,2,0
Daniel Bentley,7,15,8,1,0,2,1,0,0,0,0
Martin D?bravka,42,130,87,9,4,9,5,5,4,1,0
Ederson,27,82,56,24,6,3,10,3,3,0,0
?ukasz Fabia?ski,21,53,33,3,1,3,1,3,3,0,0
Mark Flekken,63,176,113,10,9,18,7,2,2,0,0
Wes Foderingham,79,204,130,3,4,22,1,6,5,0,1
Ivo Grbi?,25,59,36,0,3,6,0,1,0,0,1
Dean Henderson,30,86,57,8,4,6,4,1,1,0,0
Sam Johnstone,27,67,41,5,6,9,6,2,2,0,0
Thomas Kaminski,85,221,140,6,8,24,2,4,4,0,0
Loris Karius,4,7,4,0,0,1,0,0,0,0,0
Caoimh?n Kelleher,11,38,28,8,2,0,2,0,0,0,0
Bernd Leno,61,190,133,13,8,17,10,8,8,0,0
Emiliano Mart?nez,48,139,95,19,8,7,8,1,1,0,0
Remi Matthews,1,1,0,0,0,0,0,0,0,0,0
Arijanet Muric,16,78,62,2,4,4,0,2,1,1,0
Neto,55,165,110,10,9,13,7,6,5,1,0
Robin Olsen,13,34,20,1,0,3,0,1,0,1,0
Andr? Onana,58,203,146,18,6,14,9,7,7,0,0
Stefan Ortega,7,27,20,4,1,0,3,0,0,0,0
?or?e Petrovi?,38,108,73,13,5,4,5,2,1,0,1
Jordan Pickford,51,165,117,13,9,16,13,8,8,0,0
Nick Pope,16,58,42,9,2,4,5,0,0,0,0
Ionu? Radu,7,11,4,1,0,1,0,0,0,0,0
Aaron Ramsdale,5,14,9,5,1,0,2,0,0,0,0
David Raya,24,69,45,23,4,5,16,3,2,1,0
Jos? S?,58,188,131,12,7,16,4,8,8,0,0
Robert S?nchez,25,78,52,5,4,7,3,3,2,1,0
Matz Sels,27,61,36,4,4,8,1,1,1,0,0
James Shea,0,2,2,0,0,0,0,0,0,0,0
Jason Steele,34,74,42,5,4,8,2,3,3,0,0
Thomas Strakosha,2,8,6,0,0,1,0,0,0,0,0
James Trafford,62,166,106,3,5,20,2,5,5,0,0
Mark Travers,5,18,13,2,0,2,2,1,1,0,0
Matt Turner,28,80,52,4,5,8,2,2,2,0,0
Bart Verbruggen,28,91,63,7,8,6,4,3,3,0,0
Guglielmo Vicario,61,167,109,20,6,12,7,7,7,0,0
Odisseas Vlachodimos,12,22,10,1,0,4,1,1,1,0,0
