Louie Moulden,175000,
Eric da Silva Moreira,1000000,
Carlos Miguel,4000000,
Andr?,25000000,
Gustavo Nunes,10000000,
Luis Guilherme,24000000,
Pedro Lima,2500000,
Lucas Bergstr?m,700000,
Lucas Bergvall,10000000,
Ram?n Sosa,13000000,
Kosta Nedeljkovic,8000000,
J?rgen Strand Larsen,25000000,
Gon?alo Guedes,15000000,
Jorge Cuenca,6000000,
Yerson Mosquera,6000000,
Juli?n Araujo,8000000,
Kepa Arrizabalaga,12000000,
Marc Guiu,7500000,
Savinho,50000000,
Mikel Merino,50000000,
Kieran Tierney,12000000,
?lkay G?ndo?an,15000000,
Jo?o F?lix,30000000,
Filip J?rgensen,20000000,
Guido Rodr?guez,20000000,
Chadi Riad,15000000,
Evanilson,35000000,
Jota Silva,12000000,
Morato,15000000,
Rodrigo Gomes,12000000,
Riccardo Calafiori,30000000,
Nikola Milenkovi?,15000000,
Jesper Lindstr?m,22000000,
Dean Huijsen,10000000,
Federico Chiesa,35000000,
Djed Spence,8000000,
Joshua Zirkzee,50000000,
Daichi Kamada,18000000,
Igor Thiago,25000000,
Bastien Meupiyou,800000,
Iliman Ndiaye,15000000,
Orel Mangala,20000000,
Jake O'Brien,12000000,
Manuel Ugarte,45000000,
Leny Yoro,50000000,
Carlos Soler,20000000,
Jean-Clair Todibo,35000000,
Isma?la Sarr,18000000,
Ferdi Kad?o?lu,21000000,
Carlos Forbs,8000000,
Carlos Vin?cius,4000000,
Renato Veiga,3000000,
Garang Kuol,600000,
Yankuba Minteh,16000000,
Mats Wieffer,30000000,
Will Dennis,350000,
Matt O'Riley,20000000,
Sasa Kalajdzic,5000000,
Jadon Sancho,30000000,
Ian Maatsen,40000000,
Noussair Mazraoui,30000000,
Matthijs de Ligt,65000000,
Sepp van den Berg,12000000,
Niclas F?llkrug,15000000,
Maxence Lacroix,20000000,
Brajan Gruda,20000000,
Cristian Romero,60000000,
Lisandro Mart?nez,45000000,
Daniel Mu?oz,18000000,
Rodri,120000000,
Marc Cucurella,25000000,
Cody Gakpo,50000000,
Kobbie Mainoo,50000000,
Enes ?nal,18000000,
Antoine Semenyo,10000000,
Chermiti,9000000,
Matheus Cunha,45000000,
Pablo Sarabia,10000000,
Hee-chan Hwang,25000000,
Sa?a Luki?,10000000,
Ra?l Jim?nez,5000000,
Rodrigo Muniz,20000000,
Enso Gonz?lez,4000000,
Reiss Nelson,15000000,
Harry Wilson,17000000,
Adama Traor?,9000000,
Chris Wood,7000000,
Taiwo Awoniyi,28000000,
Anthony Elanga,22000000,
Callum Hudson-Odoi,18000000,
Ibrahim Sangar?,30000000,
Morgan Gibbs-White,40000000,
Ryan Yates,12000000,
James Ward-Prowse,30000000,
Nicol?s Dom?nguez,17000000,
Elliot Anderson,15000000,
Danilo,28000000,
Neco Williams,17000000,
Harry Toffolo,5000000,
Ola Aina,12000000,
?lex Moreno,13000000,
Andrew Omobamidele,11000000,
Murillo,35000000,
Matz Sels,7000000,
Andreas Pereira,20000000,
Willy Boly,2500000,
Alex Iwobi,25000000,
Emile Smith Rowe,22000000,
Tom Cairney,2000000,
Harrison Reed,15000000,
Kenny Tete,15000000,
Sander Berge,20000000,
Ryan Sessegnon,10000000,
Antonee Robinson,25000000,
Timothy Castagne,17000000,
Issa Diop,20000000,
Joachim Andersen,35000000,
Steven Benda,1000000,
Bernd Leno,13000000,
Calvin Bassey,16000000,
Tommy Doyle,10000000,
Jean-Ricner Bellegarde,15000000,
Jo?o Gomes,35000000,
Mario Lemina,10000000,
Boubacar Traor?,6000000,
Matt Doherty,3000000,
Rayan A?t-Nouri,35000000,
N?lson Semedo,12000000,
Craig Dawson,2000000,
Santiago Bueno,8000000,
Daniel Bentley,2000000,
Toti,20000000,
Tom King,200000,
Sam Johnstone,10000000,
Armando Broja,22000000,
Jos? S?,14000000,
Beto,20000000,
Dwight McNeil,22000000,
Dominic Calvert-Lewin,22000000,
Idrissa Gueye,3000000,
Jack Harrison,18000000,
Tim Iroegbunam,4000000,
Abdoulaye Doucour?,10000000,
S?amus Coleman,500000,
Nathan Patterson,15000000,
James Garner,22000000,
Michael Keane,6000000,
Ashley Young,500000,
Jarrad Branthwaite,42000000,
James Tarkowski,13000000,
Vitaliy Mykolenko,28000000,
Dango Ouattara,20000000,
Jo?o Virg?nia,800000,
Jordan Pickford,22000000,
Justin Kluivert,14000000,
Luis Sinisterra,17000000,
Ryan Christie,12000000,
Philip Billing,22000000,
Lewis Cook,12000000,
Alex Scott,20000000,
Tyler Adams,15000000,
Adam Smith,1000000,
Marcus Tavernier,20000000,
Milos Kerkez,20000000,
James Hill,2000000,
Marcos Senesi,22000000,
Max Aarons,16000000,
Ilya Zabarnyi,32000000,
Mark Travers,3500000,
Danny Welbeck,5000000,
Jean-Philippe Mateta,20000000,
Eddie Nketiah,30000000,
Danny Ings,8000000,
Diogo Jota,50000000,
Leon Bailey,42000000,
Pedro Neto,55000000,
Erling Haaland,180000000,
Oscar Bobb,25000000,
Phil Foden,150000000,
Jack Grealish,60000000,
Gabriel Jesus,65000000,
Kai Havertz,70000000,
Michail Antonio,4000000,
Leandro Trossard,35000000,
Bukayo Saka,140000000,
Raheem Sterling,35000000,
Gabriel Martinelli,70000000,
Martin ?degaard,110000000,
Declan Rice,120000000,
Jorginho,12000000,
Thomas Partey,18000000,
Ben White,55000000,
Takehiro Tomiyasu,35000000,
Oleksandr Zinchenko,38000000,
Jurrien Timber,38000000,
Jakub Kiwior,30000000,
Gabriel Magalh?es,70000000,
William Saliba,80000000,
Neto,2500000,
David Raya,35000000,
J?r?my Doku,65000000,
Kevin De Bruyne,50000000,
Bernardo Silva,70000000,
Mateo Kovacic,30000000,
James McAtee,12000000,
Kyle Walker,13000000,
Rico Lewis,38000000,
Manuel Akanji,45000000,
Josko Gvardiol,75000000,
Nathan Ak?,40000000,
John Stones,38000000,
R?ben Dias,80000000,
Scott Carson,200000,
Stefan Ortega,9000000,
Ederson,35000000,
Matheus Nunes,50000000,
Nicolas Jackson,35000000,
Christopher Nkunku,65000000,
Noni Madueke,28000000,
Mykhaylo Mudryk,35000000,
Cole Palmer,80000000,
Cesare Casadei,10000000,
Carney Chukwuemeka,15000000,
Rom?o Lavia,35000000,
Malo Gusto,35000000,
Mois?s Caicedo,75000000,
Enzo Fern?ndez,75000000,
Reece James,40000000,
Ben Chilwell,28000000,
Tosin Adarabioyo,20000000,
Beno?t Badiashile,30000000,
Axel Disasi,40000000,
Wesley Fofana,25000000,
Levi Colwill,50000000,
Robert S?nchez,20000000,
Marcus Bettinelli,1000000,
Jhon Dur?n,20000000,
Emiliano Buend?a,22000000,
Ollie Watkins,65000000,
Morgan Rogers,15000000,
Ross Barkley,8000000,
Youri Tielemans,25000000,
Boubacar Kamara,38000000,
Jacob Ramsey,35000000,
John McGinn,30000000,
Matty Cash,28000000,
Amadou Onana,50000000,
Kortney Hause,2000000,
Tyrone Mings,13000000,
Diego Carlos,16000000,
Joe Gauci,1500000,
Pau Torres,45000000,
Robin Olsen,1500000,
Emiliano Mart?nez,28000000,
Darwin N??ez,70000000,
Ezri Konsa,35000000,
Mohamed Salah,55000000,
Lucas Digne,12000000,
Luis D?az,75000000,
Alexis Mac Allister,75000000,
Curtis Jones,35000000,
Ryan Gravenberch,35000000,
Harvey Elliott,35000000,
Dominik Szoboszlai,75000000,
Trent Alexander-Arnold,70000000,
Conor Bradley,15000000,
Wataru Endo,13000000,
Andrew Robertson,30000000,
Konstantinos Tsimikas,22000000,
Virgil van Dijk,30000000,
Jarell Quansah,22000000,
Caoimh?n Kelleher,20000000,
Joe Gomez,28000000,
Ibrahima Konat?,45000000,
Richarlison,38000000,
Dominic Solanke,40000000,
Brennan Johnson,48000000,
Wilson Odobert,10000000,
Timo Werner,17000000,
Alisson,28000000,
Heung-min Son,45000000,
Dejan Kulusevski,55000000,
James Maddison,70000000,
Pape Matar Sarr,45000000,
Rodrigo Bentancur,35000000,
Sergio Reguil?n,12000000,
