Max Aarons,29,19,20,7,2,20,34,14,5,4,8,27,0
Joshua Acheampong,0,0,0,0,0,0,0,0,3,0,0,0,0
Tyler Adams,4,3,1,3,0,2,3,1,0,2,4,2,0
Tosin Adarabioyo,21,11,16,5,0,12,21,9,11,5,25,80,0
Elijah Adebayo,4,1,1,0,3,1,12,11,2,11,6,25,0
Simon Adingra,45,20,23,11,11,19,42,23,1,30,19,22,0
Nayef Aguerd,26,14,19,7,0,16,22,6,24,9,17,85,2
Brandon Aguilera,0,0,0,0,0,0,0,0,0,0,0,0,0
Naouirou Ahamada,13,9,5,6,2,8,17,9,0,3,2,4,0
Anel Ahmedhod?i?,64,36,48,14,2,30,49,19,26,17,35,137,2
Ola Aina,47,31,31,12,4,29,41,12,3,16,18,51,1
Rayan A?t-Nouri,71,44,41,23,7,28,49,21,6,26,15,38,0
Kristoffer Ajer,38,21,25,9,4,23,36,13,11,15,25,79,1
Manuel Akanji,42,28,16,18,8,22,39,17,12,16,23,70,3
Nathan Ak?,26,16,15,8,3,13,20,7,2,15,14,54,0
Thiago Alc?ntara,0,0,0,0,0,0,0,0,0,0,0,0,0
Trent Alexander-Arnold,39,26,26,11,2,27,87,60,2,20,31,48,5
Alisson,0,0,0,0,0,0,1,1,0,0,0,11,4
Miguel Almir?n,36,24,13,15,8,11,29,18,2,27,10,13,0
Edson ?lvarez,80,39,47,26,7,31,66,35,20,39,42,81,0
Juli?n ?lvarez,24,13,5,8,11,8,32,24,0,30,2,14,1
Zeki Amdouni,27,18,1,15,11,7,25,18,10,13,9,10,0
Sofyan Amrabat,27,16,17,8,2,17,31,14,7,13,8,19,2
Joachim Andersen,56,35,33,21,2,29,39,10,18,15,41,207,1
Elliot Anderson,24,18,12,9,3,15,29,14,4,19,8,23,0
Jaidon Anthony,3,1,1,0,2,1,7,6,0,3,1,3,0
Michail Antonio,15,8,5,6,4,3,11,8,3,13,4,4,0
Antony,40,21,15,19,6,20,40,20,1,28,12,9,0
