FName,LName,TMID
Joel,Ward,92572
,Carlos Vin?cius,525287
Ademola,Ola-Adebomi,814820
Jordan,Ayew,108354
Jay,Stansfield,696346
Roshaun,Mathurin,706822
Luke,Plange,586986
Franco,Umeh-Chibueze,943560
Odsonne,Edouard,344152
Jean-Philippe,Mateta,420002
Malcolm,Ebiowei,512354
Michael,Olise,566723
Jadan,Raymond,655815
Jesurun,Rak-Sakyi,586834
Jeffrey,Schlupp,157506
John-Kymani,Gordon,659331
Eberechi,Eze,479999
Jack,Wells-Morrison,814811
Kaden,Rodney,860078
David,Ozoh,865993
Will,Hughes,207014
,Matheus Fran?a,743597
Jefferson,Lerma,262980
Jairo,Riedewald,241481
Naouirou,Ahamada,538971
Adam,Wharton,744149
Cheick,Doucour?,543387
Nathaniel,Clyne,85177
Daniel,Mu?oz,493003
Tyrick,Mitchell,730893
Rob,Holding,253341
Chris,Richards,578539
Nathan,Ferguson,507254
Tayo,Adaramola,724529
Se?n,Grehan,875235
Joachim,Andersen,260827
Sam,Johnstone,110864
Marc,Gu?hi,392757
Dean,Henderson,258919
Remi,Matthews,196722
Ra?l,Jim?nez,206040
Harry,Wilson,279455
,Rodrigo Muniz,735571
James,Tomkins,61592
Aleksandar,Mitrovi?,51152
Joe,Whitworth,670840
Bobby,De Cordova-Reid,186186
Adama,Traor?,204103
,Willian,52769
Luke,Harris,817612
Armando,Broja,571743
Alex,Iwobi,242631
Joshua,King,1011131
Andreas,Pereira,203394
Kristian,Sekularac,539810
Harrison,Reed,226973
Matt,Dibley-Dias,817611
Tom,Cairney,123275
Sa?a,Luki?,245056
Tyrese,Francois,528888
Jo?o,Palhinha,257455
Devan,Tanton,745452
Kenny,Tete,206746
Antonee,Robinson,349701
Fod?,Ballo-Tour?,296422
Kevin,Mbabu,183321
Luc,De Fougerolles,921995
Bernd,Leno,72476
Steven,Benda,381469
Calvin,Bassey,461883
Timothy,Castagne,262226
Issa,Diop,272622
Tim,Ream,145466
Marek,Rod?k,186901
Tosin,Adarabioyo,258878
Fletcher,Holman,1080392
Daniel,Adu-Adjei,963878
Neal,Maupay,217115
,Chermiti,670688
Michael,Ndiweni,698151
Mason,Burstow,874080
Ronnie,Stutter,825024
Joe,Hugill,726859
Jhon,Dur?n,649317
Ethan,Wheatley,888639
Ollie,Watkins,324358
Mark,O'Mahony,943549
,Tom Cannon,669366
Michail,Antonio,104124
Jamal,Lowe,239949
Divin,Mubama,670848
Danny,Ings,134294
Callum,Marshall,953135
Ivan,Toney,251664
Pablo,Fornals,357885
Kamarai,Swyer,693066
Jarrod,Bowen,314875
Sa?d,Benrahma,290532
Dan,Chesters,561452
,Lucas Paquet?,444523
George,Earthy,697280
Lewis,Orford,845809
Flynn,Downes,506189
James,Ward-Prowse,181579
Kalvin,Phillips,351749
Conor,Coventry,419025
Oliver,Scarles,922563
Tomas,Soucek,283628
Maxwel,Cornet,234781
Edson,?lvarez,401356
Ben,Johnson,468002
Aaron,Cresswell,92571
Levi,Laing,586982
Angelo,Ogbonna,48002
Kaelan,Casey,845321
Konstantinos,Mavropanos,415912
Kurt,Zouma,157509
Mohammed,Kudus,543499
Vladim?r,Coufal,157672
Thilo,Kehrer,228948
Joseph,Anang,576099
Alphonse,Areola,120629
Nayef,Aguerd,361914
,Emerson,181778
Dane,Scarlett,670883
,Richarlison,378710
Alejo,Veliz,888493
Mikey,Moore,1011147
Dejan,Kulusevski,431755
Lukasz,Fabianski,29692
Yago,Santiago,706947
Bryan,Gil,537382
Timo,Werner,170527
Ivan,Perisic,42460
Jacob,Knightbridge,670878
Heung-min,Son,91845
Manor,Solomon,396638
Tyrese,Hall,965971
James,Maddison,294057
Giovani,Lo Celso,348795
Jamie,Donley,796305
Yves,Bissouma,410425
Pape Matar,Sarr,568693
Destiny,Udogie,556385
,Emerson Royal,476344
Rodrigo,Bentancur,354362
Pierre-Emile,H?jbjerg,167799
Oliver,Skipp,406638
Alfie,Dorrington,796300
Ryan,Sessegnon,392775
Eric,Dier,175722
Japhet,Tanganga,346478
Pedro,Porro,553875
Ben,Davies,192765
Davinson,S?nchez,341429
Joe,Rodon,297212
Ashley,Phillips,859951
Radu,Dr?gu?in,568559
Cristian,Romero,355915
Micky,van de Ven,557459
Fraser,Forster,52570
Alfie,Whiteman,282823
Guglielmo,Vicario,286047
Brandon,Austin,428016
Hugo,Lloris,17965
Emiliano,Buend?a,321247
Bertrand,Traor?,131996
Moussa,Diaby,395516
Philippe,Coutinho,80444
Tommi,O'Reilly,818237
Jaden,Philogene,665390
Leon,Bailey,387626
Kadan,Young,887433
Morgan,Rogers,503743
Omari,Kellyman,926135
Nicol?,Zaniolo,392085
Tim,Iroegbunam,696589
Matty,Cash,425334
Youri,Tielemans,249565
,Douglas Luiz,447661
Jacob,Ramsey,503749
Travis,Patterson,874902
Kaine,Kesler-Hayden,626888
Sebastian,Revan,667925
Boubacar,Kamara,394327
Lucas,Digne,126664
Leander,Dendoncker,168157
John,McGinn,193116
Lino,Sousa,743414
?lex,Moreno,193098
Josh,Feeney,875929
,Diego Carlos,329145
Kortney,Hause,233124
Ezri,Konsa,413403
Pau,Torres,399776
Finley,Munroe,845723
Calum,Chambers,215118
Tyrone,Mings,253677
Cl?ment,Lenglet,182904
James,Wright,712181
Lander,Emery,1237073
Filip,Marschall,610863
Viljami,Sinisalo,484838
Sam,Proctor,1004709
Joe,Gauci,591844
Anthony,Martial,182877
Rasmus,H?jlund,610442
Emiliano,Mart?nez,111873
Jadon,Sancho,401173
Omari,Forson,670845
,Antony,602105
Amad,Diallo,536835
Oliwier,Zych,555074
Marcus,Rashford,258923
Alejandro,Garnacho,811779
Facundo,Pellistri,676318
Shola,Shoretire,640026
Daniel,Gore,747153
Bruno,Fernandes,240306
Donny,van de Beek,288255
Mason,Mount,346483
Scott,McTominay,315969
Robin,Olsen,75458
Aaron,Wan-Bissaka,477758
Toby,Collyer,654253
Kobbie,Mainoo,820374
,Casemiro,16306
,Hannibal,607224
Habeeb,Ogunneye,864788
Sofyan,Amrabat,287579
Diogo,Dalot,357147
Tyrell,Malacia,339340
Christian,Eriksen,69633
Louis,Jackson,858191
Harry,Amass,1011738
?lvaro,Carreras,811778
Luke,Shaw,183288
Harry,Maguire,177907
Victor,Lindel?f,184573
Rapha?l,Varane,164770
Willy,Kambwala,780630
Brandon,Williams,507700
Dermot,Mee,620362
Jonny,Evans,42412
Lisandro,Mart?nez,480762
Altay,Bay?nd?r,336077
Tom,Heaton,34130
Radek,V?tek,622236
Alexander,Isak,349066
Ben,Parkinson,922764
Jacob,Murphy,199527
Rhys,Bennett,794816
Ryan,Fraser,146795
Andr?,Onana,234509
Callum,Wilson,123682
Miguel,Almir?n,272999
Harvey,Barnes,398065
Amadou,Diallo,533086
Joe,White,614811
Anthony,Gordon,503733
Matt,Ritchie,92469
Sean,Longstaff,346707
Elliot,Anderson,567576
,Joelinton,333241
Isaac,Hayden,206225
Joe,Willock,340329
Lewis,Miley,922769
Sandro,Tonali,397033
Travis,Hernes,1053908
James,Huntley,712115
Harrison,Ashby,559130
Bruno,Guimar?es,520624
Javier,Manquillo,162029
Tino,Livramento,503981
Alex,Murphy,900601
Emil,Krafth,184528
Dan,Burn,134270
Matt,Targett,250478
Kieran,Trippier,95810
Kell,Watts,484389
Jamal,Lewis,346018
Lewis,Hall,670858
Lucas,De Bolle,626291
Fabian,Sch?r,135343
Adam,Harrison,1019169
Jamaal,Lascelles,183318
Jeff,Hendrick,148262
Aidan,Harris,1019170
,Deivid Washington,1082850
Martin,D?bravka,74960
Paul,Dummett,170321
Sven,Botman,361093
Nick,Pope,192080
Nicolas,Jackson,776890
Noni,Madueke,503987
Diego,Moreira,655006
Tyrique,George,936874
Mykhaylo,Mudryk,537860
Raheem,Sterling,134425
Mark,Gillespie,142389
Christopher,Nkunku,344381
Kiano,Dyer,954125
Jimi,Tauriainen,681615
Cole,Palmer,568177
Cesare,Casadei,622380
Alex,Matos,670850
Michael,Golding,936842
Lesley,Ugochukwu,711999
Carney,Chukwuemeka,659459
Enzo,Fern?ndez,648195
Loris,Karius,85864
Conor,Gallagher,488362
Josh,Acheampong,1004708
Ollie,Harrison,1071819
Leo,Castledine,796303
Rom?o,Lavia,628451
Malo,Gusto,620322
Zak,Sturge,801472
Ben,Chilwell,316125
Reece,James,472423
Ish?,Samuels-Smith,922698
Harrison,Murray-Campbell,985691
Marc,Cucurella,284857
,Thiago Silva,29241
Malang,Sarr,344596
Dylan,Williams,732117
Ian,Maatsen,485585
Alfie,Gilchrist,790992
Mois?s,Caicedo,687626
Trevoh,Chalobah,346314
Beno?t,Badiashile,463603
Axel,Disasi,386047
Max,Merrick,827435
Wesley,Fofana,475411
Ted,Curd,857792
Teddy,Sharman-Lowe,731466
Lucas,Bergstr?m,490606
Josh,Brooking,566832
Marcus,Bettinelli,116648
Eddie,Beach,732120
Robert,S?nchez,403151
Levi,Colwill,614258
Bashir,Humphreys,612517
Billy,Gee,796299
Djordje,Petrovic,465555
,Beto,595809
Dominic,Calvert-Lewin,306024
Arnaut,Danjuma,355861
Dwight,McNeil,584769
Jack,Harrison,417346
Tyler,Onyango,663225
Jenson,Metcalfe,855890
Lewis,Warrington,652979
Andr?,Gomes,221025
Idrissa,Gueye,126665
Lewis,Dobbin,627248
Nathan,Patterson,424015
MacKenzie,Hunt,574420
Abdoulaye,Doucour?,127187
Amadou,Onana,485706
Dele,Alli,207929
Ashley,Young,14086
Vitaliy,Mykolenko,404842
James,Garner,505219
S?amus,Coleman,68390
Ben,Godfrey,343475
Michael,Keane,118534
Elijah,Campbell,747598
Jordan,Pickford,130164
James,Tarkowski,173504
Jarrad,Branthwaite,661053
Jo?o,Virg?nia,329813
Mikkel,Damsgaard,540941
Andy,Lonergan,14044
Bryan,Mbeumo,413039
Billy,Crellin,536794
Michael,Olakigbe,734425
Keane,Lewis-Potter,644401
Yegor,Yarmolyuk,717411
Yoane,Wissa,388165
Ethan,Brierley,718250
Kevin,Schade,473050
Ryan,Trevitt,874538
Paris,Maghoma,470596
Josh,Dasilva,340321
Mathias,Jensen,319859
Shandon,Baptiste,533916
Frank,Onyeka,421637
