Harry Maguire,20000000,
Victor Lindel?f,18000000,
Rapha?l Varane,35000000,
Brandon Williams,7000000,
Jonny Evans,2000000,
Lisandro Mart?nez,50000000,
Tom Heaton,500000,
Alexander Isak,70000000,
Jacob Murphy,15000000,
Ryan Fraser,6000000,
Callum Wilson,16000000,
Miguel Almir?n,32000000,
Harvey Barnes,35000000,
Matt Ritchie,1000000,
Sean Longstaff,25000000,
Elliot Anderson,8000000,
Joelinton,42000000,
Joe Willock,38000000,
Harrison Ashby,1000000,
Bruno Guimar?es,70000000,
Javier Manquillo,2500000,
Tino Livramento,25000000,
Emil Krafth,3000000,
Dan Burn,10000000,
Matt Targett,13000000,
Kieran Trippier,11000000,
Jamal Lewis,6000000,
Lewis Hall,10000000,
Fabian Sch?r,10000000,
Jamaal Lascelles,4500000,
Martin D?bravka,1500000,
Paul Dummett,1000000,
Sven Botman,45000000,
Nick Pope,20000000,
Noni Madueke,30000000,
Mykhaylo Mudryk,50000000,
Raheem Sterling,55000000,
Mark Gillespie,300000,
Carney Chukwuemeka,15000000,
Enzo Fern?ndez,80000000,
Loris Karius,1200000,
Conor Gallagher,32000000,
Rom?o Lavia,32000000,
Ben Chilwell,35000000,
Reece James,65000000,
Marc Cucurella,35000000,
Thiago Silva,2000000,
Mois?s Caicedo,75000000,
Trevoh Chalobah,18000000,
Beno?t Badiashile,40000000,
Wesley Fofana,55000000,
Marcus Bettinelli,1500000,
Robert S?nchez,22000000,
Dominic Calvert-Lewin,25000000,
Arnaut Danjuma,25000000,
Dwight McNeil,20000000,
Jack Harrison,22000000,
Idrissa Gueye,5000000,
Nathan Patterson,16000000,
Abdoulaye Doucour?,12000000,
Amadou Onana,45000000,
Ashley Young,600000,
Vitaliy Mykolenko,25000000,
S?amus Coleman,1000000,
Ben Godfrey,13000000,
Michael Keane,10000000,
Jordan Pickford,22000000,
James Tarkowski,18000000,
Mikkel Damsgaard,13000000,
Andy Lonergan,150000,
Bryan Mbeumo,35000000,
Keane Lewis-Potter,12000000,
Yoane Wissa,18000000,
Kevin Schade,25000000,
Josh Dasilva,16000000,
Mathias Jensen,22000000,
Shandon Baptiste,3000000,
Frank Onyeka,8000000,
Fin Stevens,300000,
Vitaly Janelt,20000000,
Aaron Hickey,25000000,
Christian N?rgaard,16000000,
Saman Ghoddos,2000000,
Rico Henry,28000000,
Ben Mee,2000000,
Ethan Pinnock,14000000,
Mads Roerslev,6000000,
Nathan Collins,22000000,
Zanka,1500000,
Kristoffer Ajer,16000000,
Thomas Strakosha,3500000,
Danny Welbeck,7000000,
Jeremy Sarmiento,5000000,
Evan Ferguson,30000000,
Kaoru Mitoma,32000000,
Adam Lallana,1200000,
Solly March,22000000,
Facundo Buonanotte,12000000,
Julio Enciso,22000000,
Yasin Ayari,6000000,
Pascal Gro?,8000000,
Jakub Moder,10000000,
Billy Gilmour,12000000,
Jo?l Veltman,10000000,
Tariq Lamptey,12000000,
Lewis Dunk,16000000,
Jan Paul van Hecke,5000000,
Adam Webster,25000000,
Tom McGill,600000,
Jason Steele,4000000,
James Milner,1500000,
Emmanuel Dennis,8000000,
Taiwo Awoniyi,25000000,
Chris Wood,8000000,
Pervis Estupi??n,32000000,
Anthony Elanga,18000000,
Alex Mighten,600000,
Brennan Johnson,38000000,
Morgan Gibbs-White,40000000,
Harry Arter,400000,
Ryan Yates,11000000,
Danilo,28000000,
Cheikhou Kouyat?,2000000,
Orel Mangala,16000000,
Neco Williams,20000000,
Serge Aurier,8000000,
Remo Freuler,8000000,
Willy Boly,2500000,
Harry Toffolo,3500000,
Joe Worrall,12000000,
Scott McKenna,10000000,
Moussa Niakhat?,18000000,
Matt Turner,8000000,
Felipe,2000000,
Wayne Hennessey,400000,
Kieffer Moore,4000000,
Antoine Semenyo,9000000,
Dango Ouattara,25000000,
Dominic Solanke,20000000,
David Brooks,12000000,
Jaidon Anthony,9000000,
Hamed Junior Traor?,22000000,
Marcus Tavernier,17000000,
Lewis Cook,10000000,
Luis Sinisterra,22000000,
Ryan Christie,10000000,
Philip Billing,20000000,
Tyler Adams,18000000,
Joe Rothwell,4000000,
Adam Smith,1200000,
Ilya Zabarnyi,20000000,
Marcos Senesi,22000000,
Neto,2500000,
Lloyd Kelly,18000000,
Will Dennis,150000,
Ryan Fredericks,1500000,
Pablo Sarabia,14000000,
Matheus Cunha,25000000,
Mark Travers,2000000,
Pedro Neto,28000000,
Sasa Kalajdzic,15000000,
Chris Mepham,8000000,
Jo?o Gomes,18000000,
Hee-chan Hwang,12000000,
Joe Hodge,2000000,
Matheus Nunes,45000000,
Mario Lemina,10000000,
Boubacar Traor?,5000000,
Jonny Otto,13000000,
N?lson Semedo,15000000,
Rayan A?t-Nouri,22000000,
