Brenden Aaronson,8,8,2,0.86,35,58,-0.27,33.3,49.8
George Abbott,0,1,1,3.00,1,0,+89.84,0.3,0.0
Che Adams,13,5,1,0.71,18,41,-0.16,24.1,33.1
Tyler Adams,23,0,0,0.96,28,36,+1.23,30.2,33.1
Tosin Adarabioyo,23,2,13,1.44,36,39,-0.47,26.5,42.8
Nayef Aguerd,16,1,3,1.06,23,28,+0.11,24.2,28.6
Naouirou Ahamada,0,8,3,0.38,0,2,-1.73,1.1,1.8
Rayan A?t-Nouri,4,12,7,1.00,8,18,-0.18,11.6,18.7
Kristoffer Ajer,6,0,10,1.11,7,14,-1.47,9.4,11.1
Manuel Akanji,22,5,1,2.52,63,23,-0.09,51.6,21.1
Nathan Ak?,16,4,4,2.23,53,15,+0.49,44.8,16.2
Marc Albrighton,0,5,13,1.67,4,3,+0.89,4.9,4.3
Thiago Alc?ntara,9,4,0,1.72,22,23,-1.28,23.3,20.6
Carlos Alcaraz,2,5,2,0.72,15,25,+0.14,12.3,22.7
Trent Alexander-Arnold,23,3,1,1.78,70,44,+0.44,63.1,42.5
Alisson,37,0,0,1.78,71,43,+0.76,67.5,48.9
Dele Alli,0,2,1,0.00,1,1,+0.61,1.0,1.7
Miguel Almir?n,6,5,0,1.74,43,22,-0.60,45.7,27.6
Juli?n ?lvarez,8,18,6,2.42,37,16,-0.55,32.3,17.3
Daniel Amartey,16,2,15,0.80,20,27,+0.11,19.9,27.5
Samuel Amo-Ameyaw,0,1,0,1.00,0,0,+0.97,0.1,0.7
Joachim Andersen,30,0,0,1.31,35,37,+0.92,34.0,35.4
Elliot Anderson,0,19,12,1.82,8,7,-0.80,11.7,5.5
Jaidon Anthony,4,19,8,0.97,9,29,-0.85,13.6,26.0
Michail Antonio,2,12,1,1.09,23,29,+0.10,25.9,29.3
Antony,6,2,0,1.88,29,21,+0.01,32.5,25.2
Cameron Archer,0,6,8,1.17,0,1,-2.00,0.2,0.4
Alphonse Areola,2,3,30,0.80,5,7,-0.26,5.3,7.5
Joe Aribo,3,8,8,0.57,13,24,+0.26,13.5,16.6
Adam Armstrong,0,16,4,0.80,17,24,+0.82,13.8,24.0
Stuart Armstrong,0,18,3,0.56,12,34,-0.74,16.3,28.9
Kepa Arrizabalaga,28,0,7,1.14,27,33,+0.11,39.2,39.0
Pierre-Emerick Aubameyang,0,10,5,1.07,3,8,-0.69,6.0,8.5
Ludwig Augustinsson,0,2,9,1.67,1,0,+1.06,2.5,0.8
Serge Aurier,16,2,0,1.38,24,31,+1.08,22.7,32.7
Taiwo Awoniyi,0,10,2,0.93,19,29,+0.25,17.9,25.9
Yasin Ayari,0,2,12,2.00,2,2,-0.51,2.7,1.5
Andr? Ayew,0,12,5,0.69,5,10,-0.70,4.7,7.2
Jordan Ayew,17,7,0,1.18,32,41,-0.30,29.7,40.2
Luke Ayling,21,7,4,0.79,27,48,-0.33,27.6,43.3
C?sar Azpilicueta,12,9,6,1.12,17,21,0.00,22.5,27.0
Beno?t Badiashile,10,1,7,1.55,11,9,+0.59,14.0,12.3
