Alisson,0,0,51.1,0.33,+10.1,116,283,1256,210,26.9,193,31.3,397,23,89,19.8
Alphonse Areola,0,1,7.3,0.33,+0.3,14,37,61,14,33.4,30,33.0,47,2,1,10.3
Kepa Arrizabalaga,1,4,35.0,0.29,+5.0,68,213,864,151,26.3,182,31.5,332,15,52,16.9
Gavin Bazunu,1,7,35.4,0.28,-16.6,212,629,935,144,38.1,237,50.0,456,36,48,15.1
Asmir Begovi?,0,0,0.5,0.12,+0.5,4,13,22,5,34.9,8,46.8,23,1,0,5.0
Daniel Bentley,0,0,3.9,0.30,+0.9,10,29,57,14,32.9,23,32.2,37,5,1,8.0
Martin D?bravka,0,0,1.9,0.21,+1.9,6,10,39,14,20.7,15,35.3,30,1,0,12.4
Ederson,1,4,26.2,0.30,-4.8,117,263,1104,147,28.0,152,32.3,286,19,33,15.7
?ukasz Fabia?ski,0,3,45.9,0.28,-1.1,198,516,677,153,39.3,249,44.8,513,29,25,13.0
Fraser Forster,1,4,21.3,0.34,-2.7,36,124,269,71,30.2,93,37.6,193,5,16,15.2
David de Gea,2,6,41.3,0.27,-0.7,141,449,1032,128,32.3,179,47.1,526,15,32,14.8
Vicente Guaita,0,4,32.4,0.26,+0.4,115,320,635,140,32.3,206,37.4,410,26,26,13.1
Dean Henderson,1,5,26.9,0.28,-4.1,108,334,513,107,38.5,156,45.3,291,20,27,15.6
Wayne Hennessey,0,1,3.9,0.28,-1.1,23,58,72,13,43.2,25,54.5,35,1,2,17.0
Daniel Iversen,2,2,18.9,0.29,-2.1,38,194,261,49,37.2,114,46.2,203,16,6,10.3
Sam Johnstone,0,4,10.0,0.24,+1.0,30,99,233,41,31.8,46,42.8,104,2,11,15.4
Caoimh?n Kelleher,0,0,2.9,0.34,-1.1,2,2,22,7,24.3,2,20.5,3,0,0,9.0
Bernd Leno,1,8,58.0,0.27,+9.0,124,391,1153,190,30.0,242,36.0,464,35,46,14.9
Hugo Lloris,0,3,33.9,0.29,-4.1,77,218,539,109,31.4,186,25.8,322,20,29,13.7
Emiliano Mart?nez,1,6,36.6,0.24,+2.6,199,523,1171,135,33.0,212,40.7,483,60,73,16.6
Alex McCarthy,0,1,10.9,0.34,-5.1,22,113,194,29,36.5,52,31.0,92,6,7,13.5
Edouard Mendy,0,4,11.9,0.33,-2.1,27,77,226,47,27.6,63,34.4,128,9,11,13.7
Illan Meslier,1,7,53.6,0.32,-12.4,106,449,794,194,33.7,242,43.5,432,34,66,15.8
Keylor Navas,1,3,29.3,0.32,-2.7,106,320,378,65,41.3,151,48.1,295,14,9,9.0
Neto,0,8,39.7,0.26,+1.7,160,437,601,136,37.8,231,44.6,510,35,25,12.1
Robin Olsen,0,3,6.2,0.29,-1.8,15,62,101,18,37.6,28,46.8,45,5,3,14.2
Stefan Ortega,0,0,4.1,0.27,+3.1,11,24,155,16,23.9,12,20.3,26,1,7,21.1
Jordan Pickford,2,4,60.0,0.31,+3.0,270,801,992,151,43.0,315,52.7,566,22,52,16.2
Nick Pope,0,8,31.3,0.24,+0.3,120,368,683,232,33.0,207,50.7,411,34,74,18.2
Aaron Ramsdale,0,6,40.0,0.28,-2.0,109,429,956,174,33.3,153,49.2,381,22,43,16.1
David Raya,1,9,48.1,0.24,+5.1,347,882,1367,160,39.5,269,51.8,598,53,54,15.7
Joel Robles,0,0,10.5,0.32,-0.5,18,71,90,20,41.1,32,49.4,43,2,3,11.6
Marek Rod?k,0,0,2.0,0.51,0.0,16,47,46,3,46.0,15,60.0,26,1,2,14.0
Jos? S?,0,6,48.4,0.28,-5.6,120,435,935,182,30.9,260,46.2,540,43,28,12.6
Robert S?nchez,0,4,24.2,0.25,-2.8,60,205,645,103,28.9,131,35.1,229,17,13,12.3
Jason Steele,0,2,18.5,0.29,-1.5,34,74,483,48,24.2,55,13.9,126,10,19,15.7
Mark Travers,0,8,24.0,0.34,-6.0,71,154,250,54,31.9,118,43.8,229,5,5,10.5
Danny Ward,2,6,36.5,0.29,-5.5,94,303,750,154,30.4,190,35.1,355,20,42,15.9
Joseph Whitworth,0,0,2.3,0.23,-2.7,8,27,68,8,30.1,15,36.7,25,1,3,15.4
