https://fbref.com/en/players/33887998/Edouard-Mendy,120180025,Edouard Mendy,25,81,56,17,7,7,16,3,2,1,0,Edouard Mendy,1,4,21.9,0.24,-2.1,71,197,846,126,25.4,179,25.7,335,17,27,15.2
https://fbref.com/en/players/6b625ac2/Illan-Meslier,120180026,Illan Meslier,52,188,137,16,5,14,11,9,8,1,0,Illan Meslier,1,11,46.6,0.21,-3.4,100,305,1099,286,27.4,267,29.4,447,24,19,11.9
https://fbref.com/en/players/c73ada83/Will-Norris,120180027,Will Norris,4,6,2,0,0,2,0,0,0,0,0,Will Norris,0,2,0.9,0.15,-3.1,20,48,39,1,54.5,18,62.8,27,2,1,10.0
https://fbref.com/en/players/e7ee38c3/Robin-Olsen,120180028,Robin Olsen,9,30,21,2,3,2,2,1,1,0,0,Robin Olsen,0,0,9.5,0.29,+0.5,36,93,148,23,35.6,51,42.9,88,4,4,12.3
https://fbref.com/en/players/79b0d6a0/Rui-Patricio,120180029,Rui Patr?cio,51,148,99,12,9,16,10,8,7,1,0,Rui Patr?cio,1,8,45.3,0.26,-2.7,160,383,540,146,35.5,268,36.8,558,21,12,10.6
https://fbref.com/en/players/4879f8cb/Bailey-Peacock-Farrell,120180030,Bailey Peacock-Farrell,14,24,10,0,0,4,0,0,0,0,0,Bailey Peacock-Farrell,0,2,7.9,0.33,-6.1,43,94,83,6,49.8,29,64.8,50,0,4,22.8
https://fbref.com/en/players/4806ec67/Jordan-Pickford,120180031,Jordan Pickford,39,128,90,15,5,11,10,3,2,0,1,Jordan Pickford,1,5,37.9,0.28,-0.1,230,590,951,151,37.8,198,52.4,468,20,31,13.3
https://fbref.com/en/players/4b40d9ca/Nick-Pope,120180032,Nick Pope,37,149,113,10,9,13,11,3,3,0,0,Nick Pope,0,4,40.2,0.25,+4.2,254,699,724,136,46.3,251,58.9,523,32,73,18.1
https://fbref.com/en/players/466fb2c5/Aaron-Ramsdale,120180033,Aaron Ramsdale,63,206,145,7,2,29,5,4,3,0,1,Aaron Ramsdale,0,8,54.3,0.26,-5.7,263,817,866,128,45.5,281,64.5,578,33,34,12.8
https://fbref.com/en/players/6385ebfb/Darren-Randolph,120180034,Darren Randolph,3,9,6,2,0,1,1,0,0,0,0,Darren Randolph,0,3,1.2,0.13,-1.8,12,39,43,5,42.2,23,45.7,49,0,2,13.6
https://fbref.com/en/players/17acc2ed/Marek-Rodak,120180035,Marek Rod?k,5,9,4,0,0,2,0,1,1,0,0,Marek Rod?k,0,1,4.0,0.44,-1.0,6,13,40,6,30.2,7,30.1,17,1,2,14.0
https://fbref.com/en/players/da8b19e2/John-Ruddy,120180036,John Ruddy,1,4,3,0,0,1,0,0,0,0,0,John Ruddy,0,1,0.9,0.22,-0.1,1,6,19,10,33.2,5,31.0,19,3,0,8.7
https://fbref.com/en/players/4535e4bb/Mathew-Ryan,120180037,Mathew Ryan,2,10,8,1,1,1,1,1,1,0,0,Mathew Ryan,0,0,3.6,0.27,+1.6,3,7,59,21,21.9,9,29.9,28,6,4,14.3
https://fbref.com/en/players/4535e4bb/Mathew-Ryan,120180038,Mathew Ryan1,19,34,16,2,4,5,2,4,4,0,0,Mathew Ryan1,0,3,12.6,0.26,-5.4,42,111,355,61,28.8,56,32.7,136,6,4,10.6
https://fbref.com/en/players/6a713852/Robert-Sanchez,120180039,Robert S?nchez,27,91,65,7,10,10,10,3,2,0,1,Robert S?nchez,0,5,23.3,0.24,-2.7,151,411,925,118,33.6,177,41.1,340,22,29,14.5
https://fbref.com/en/players/53af52f3/Kasper-Schmeichel,120180040,Kasper Schmeichel,50,136,88,20,6,12,11,4,4,0,0,Kasper Schmeichel,0,9,42.2,0.29,-5.8,159,425,1038,181,33.2,210,37.9,484,20,19,13.6
https://fbref.com/en/players/42130443/Zack-Steffen,120180041,Zack Steffen,1,2,1,1,0,0,0,0,0,0,0,Zack Steffen,0,0,0.9,0.47,-0.1,0,4,22,4,27.0,8,12.3,14,0,0,0
https://fbref.com/en/players/728e9b2e/Joao-Virginia,120180042,Jo?o Virg?nia,0,3,3,0,0,0,0,0,0,0,0,Jo?o Virg?nia,0,0,0.3,0.10,+0.3,2,9,12,3,44.6,3,67.3,4,1,0,10.0
