,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
33,James McArthur,MF,29,33.0,"2,431",74,71.1,27.0,27.0,18.0,6.0,2.0,1.27,34.0,35.0,-1.0,-0.04,0.78,37.1,31.4,5.7,0.21,0.25,,,,,,,,,
34,Wayne Hennessey,GK,30,27.0,"2,430",90,71.1,27.0,27.0,27.0,0.0,9.0,1.11,29.0,41.0,-12.0,-0.44,-0.63,35.9,36.8,-0.9,-0.03,-0.59,,,,,,,,,
35,James Tomkins,DF,28,28.0,"2,387",85,69.8,26.5,27.0,25.0,1.0,6.0,1.39,40.0,32.0,8.0,0.3,1.87,39.4,30.4,9.0,0.34,0.67,,,,,,,,,
36,Patrick van,NED,DF,26.0,28,"2,184",78.0,63.9,24.3,25.0,21.0,3.0,8.0,1.21,31.0,38.0,-7.0,-0.29,-0.07,32.2,34.7,-2.5,-0.1,-0.66,,,,,,,,
37,Christian Benteke,FW,26,31.0,"2,240",72,65.5,24.9,24.0,21.0,7.0,0.0,1.23,27.0,36.0,-9.0,-0.36,-0.29,36.3,33.1,3.3,0.13,-0.02,,,,,,,,,
38,Ruben Loftus-Cheek,MF,21,24.0,"1,874",78,54.8,20.8,21.0,17.0,3.0,0.0,1.33,28.0,30.0,-2.0,-0.1,0.37,29.9,26.7,3.2,0.16,0.04,,,,,,,,,
39,Jeffrey Schlupp,"DF,MF",24,24.0,"1,745",73,51.0,19.4,21.0,15.0,3.0,3.0,1.25,22.0,30.0,-8.0,-0.41,-0.31,26.6,24.7,1.9,0.1,-0.08,,,,,,,,,
40,Joel Ward,DF,27,19.0,"1,613",85,47.2,17.9,19.0,16.0,0.0,4.0,1.05,16.0,25.0,-9.0,-0.5,-0.45,23.2,20.3,2.9,0.16,0.05,,,,,,,,,
41,Mamadou Sakho,DF,27,19.0,"1,600",84,46.8,17.8,18.0,17.0,1.0,2.0,1.47,24.0,23.0,1.0,0.06,0.6,26.0,22.0,4.1,0.23,0.17,,,,,,,,,
42,Timothy Fosu-Mensah,DF,19,21.0,"1,596",76,46.7,17.7,17.0,15.0,4.0,9.0,0.81,12.0,29.0,-17.0,-0.96,-1.3,26.4,24.6,1.8,0.1,-0.07,,,,,,,,,
