,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
34,Alex McCarthy,GK,28,25.0,"2,250",90,65.8,25.0,25.0,90.0,25.0,0.0,8.0,0.92,28.0,44.0,-16.0,-0.64,-0.33,30.7,36.8,-6.1,-0.24,-0.08,,,,,,,,
35,Oriol Romeu,MF,26,31.0,"2,136",69,62.5,23.7,25.0,81.0,15.0,6.0,19.0,2.0,1.13,29.0,37.0,-8.0,-0.34,0.5,28.2,35.0,-6.8,-0.29,-0.19,,,,,,,
36,Ryan Bertrand,DF,28,24.0,"2,160",90,63.2,24.0,24.0,90.0,24.0,0.0,1.0,0.96,26.0,42.0,-16.0,-0.67,-0.38,32.1,34.2,-2.1,-0.09,0.34,,,,,,,,
37,Jan Bednarek,DF,22,25.0,"2,151",86,62.9,23.9,24.0,88.0,23.0,1.0,35.0,1.0,1.2,32.0,37.0,-5.0,-0.21,0.85,28.8,34.1,-5.2,-0.22,-0.01,,,,,,,
38,Jannik Vestergaard,DF,25,23.0,"2,027",88,59.3,22.5,23.0,88.0,20.0,0.0,7.0,1.3,29.0,31.0,-2.0,-0.09,1.07,26.1,31.5,-5.4,-0.24,-0.06,,,,,,,,
39,Danny Ings,FW,26,24.0,"1,651",69,48.3,18.3,23.0,70.0,5.0,1.0,34.0,2.0,1.17,23.0,27.0,-4.0,-0.22,0.6,25.2,20.5,4.7,0.26,0.91,,,,,,,
40,James Ward-Prowse,"MF,DF",23,26.0,"1,945",75,56.9,21.6,21.0,89.0,19.0,5.0,15.0,9.0,1.04,28.0,41.0,-13.0,-0.6,-0.17,27.2,33.3,-6.0,-0.28,-0.15,,,,,,,
41,Yan Valery,DF,19,23.0,"1,712",74,50.1,19.0,20.0,83.0,14.0,3.0,19.0,1.0,1.35,27.0,29.0,-2.0,-0.11,0.84,22.2,25.9,-3.7,-0.19,0.04,,,,,,,
42,Jack Stephens,DF,24,24.0,"1,700",71,49.7,18.9,19.0,85.0,17.0,5.0,15.0,8.0,1.04,18.0,35.0,-17.0,-0.9,-0.74,21.7,28.4,-6.7,-0.35,-0.28,,,,,,,
43,Mario Lemina,MF,24,21.0,"1,613",77,47.2,17.9,18.0,85.0,13.0,3.0,27.0,2.0,0.62,16.0,37.0,-21.0,-1.17,-1.22,21.8,27.7,-5.9,-0.33,-0.22,,,,,,,
44,Maya Yoshida,DF,29,17.0,"1,518",89,44.4,16.9,17.0,89.0,15.0,0.0,12.0,1.29,26.0,29.0,-3.0,-0.18,0.63,23.1,22.0,1.1,0.06,0.5,,,,,,,,
45,Cédric Soares,DF,26,18.0,"1,495",83,43.7,16.6,16.0,88.0,15.0,2.0,44.0,0.0,0.89,15.0,31.0,-16.0,-0.96,-0.78,18.8,24.8,-6.0,-0.36,-0.26,,,,,,,
46,Stuart Armstrong,MF,26,29.0,"1,432",49,41.9,15.9,16.0,75.0,3.0,13.0,18.0,5.0,0.93,21.0,26.0,-5.0,-0.31,0.36,17.7,23.9,-6.2,-0.39,-0.3,,,,,,,
47,Matt Targett,DF,22,16.0,"1,186",74,34.7,13.2,13.0,83.0,11.0,3.0,36.0,12.0,1.19,18.0,25.0,-7.0,-0.53,-0.01,15.3,22.7,-7.4,-0.56,-0.53,,,,,,,
48,Wesley Hoedt,DF,24,13.0,"1,170",90,34.2,13.0,13.0,90.0,13.0,0.0,4.0,0.62,10.0,24.0,-14.0,-1.08,-0.84,16.8,19.4,-2.7,-0.2,0.02,,,,,,,,
49,Shane Long,"FW,MF",31,26.0,"1,272",49,37.2,14.1,12.0,76.0,2.0,14.0,26.0,2.0,1.12,16.0,24.0,-8.0,-0.57,-0.06,18.5,21.6,-3.1,-0.22,0.0,,,,,,,
50,Angus Gunn,GK,22,12.0,"1,080",90,31.6,12.0,12.0,90.0,12.0,0.0,26.0,1.33,17.0,18.0,-1.0,-0.08,0.65,15.7,16.4,-0.7,-0.06,0.23,,,,,,,,
51,Charlie Austin,FW,29,25.0,983,39,28.7,10.9,11.0,67.0,0.0,14.0,18.0,10.0,0.8,11.0,17.0,-6.0,-0.55,-0.03,12.5,17.0,-4.4,-0.41,-0.27,,,,,,,
52,Mohamed Elyounoussi,MF,23,16.0,793,50,23.2,8.8,8.0,81.0,3.0,8.0,18.0,8.0,0.5,8.0,10.0,-2.0,-0.23,0.39,12.2,9.3,2.9,0.33,0.71,,,,,,,
53,Manolo Gabbiadini,"FW,MF",26,12.0,476,40,13.9,5.3,4.0,84.0,2.0,8.0,18.0,0.0,0.5,3.0,12.0,-9.0,-1.7,-1.37,6.2,8.5,-2.2,-0.43,-0.24,,,,,,,
54,Josh Sims,MF,21,7.0,212,30,6.2,2.4,2.0,55.0,0.0,5.0,21.0,3.0,1.57,4.0,6.0,-2.0,-0.85,-0.34,4.2,2.8,1.3,0.57,0.84,,,,,,,
