,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
0,Vicente Guaita,GK,33,37.0,1081,654,423.0,108.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,610.0,4.0,0.0,,,,,,,,,,,,,
1,Cheikhou Kouyaté,DF,30,34.7,1287,1221,64.0,61.0,0.0,2.0,3.0,3.0,0.0,0.0,0.0,0.0,992.0,2.0,18.0,,,,,,,,,,,,,
2,Wilfried Zaha,FW,27,29.0,784,768,12.0,2.0,2.0,2.0,41.0,5.0,1.0,0.0,0.0,0.0,586.0,4.0,34.0,,,,,,,,,,,,,
3,Eberechi Eze,MF,22,28.4,1188,1046,134.0,36.0,1.0,4.0,86.0,6.0,63.0,26.0,13.0,9.0,945.0,8.0,25.0,,,,,,,,,,,,,
4,Luka Milivojević,MF,29,26.2,1341,1237,99.0,66.0,2.0,10.0,38.0,4.0,23.0,10.0,9.0,2.0,1091.0,5.0,16.0,,,,,,,,,,,,,
5,Andros Townsend,"MF,FW",29,25.1,871,761,103.0,36.0,2.0,3.0,155.0,6.0,56.0,29.0,5.0,12.0,578.0,7.0,36.0,,,,,,,,,,,,,
6,Joel Ward,DF,30,25.1,1104,837,264.0,9.0,0.0,3.0,27.0,255.0,0.0,0.0,0.0,0.0,793.0,3.0,35.0,,,,,,,,,,,,,
7,Jordan Ayew,"FW,MF",28,23.3,667,656,10.0,3.0,1.0,3.0,31.0,2.0,0.0,0.0,0.0,0.0,519.0,1.0,30.0,,,,,,,,,,,,,
8,Christian Benteke,FW,29,20.2,583,567,12.0,1.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,339.0,4.0,9.0,,,,,,,,,,,,,
9,Gary Cahill,DF,34,20.0,748,720,27.0,26.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,615.0,1.0,3.0,,,,,,,,,,,,,
10,Jaïro Riedewald,MF,23,20.2,636,627,7.0,3.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,541.0,2.0,8.0,,,,,,,,,,,,,
11,Tyrick Mitchell,DF,20,19.0,809,620,187.0,6.0,0.0,0.0,27.0,181.0,0.0,0.0,0.0,0.0,556.0,2.0,37.0,,,,,,,,,,,,,
12,James McArthur,MF,32,16.3,795,738,54.0,17.0,0.0,3.0,10.0,10.0,0.0,0.0,0.0,0.0,643.0,3.0,22.0,,,,,,,,,,,,,
13,Jeffrey Schlupp,MF,27,15.9,436,420,13.0,4.0,0.0,2.0,30.0,5.0,0.0,0.0,0.0,0.0,304.0,3.0,13.0,,,,,,,,,,,,,
14,Scott Dann,DF,33,15.0,644,608,35.0,32.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,521.0,1.0,2.0,,,,,,,,,,,,,
15,Nathaniel Clyne,DF,29,12.7,593,466,125.0,0.0,0.0,1.0,23.0,125.0,0.0,0.0,0.0,0.0,448.0,2.0,21.0,,,,,,,,,,,,,
16,James McCarthy,MF,29,9.1,342,329,13.0,7.0,0.0,3.0,11.0,0.0,6.0,2.0,0.0,4.0,258.0,0.0,4.0,,,,,,,,,,,,,
17,Michy Batshuayi,FW,26,8.1,174,160,14.0,1.0,0.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0,122.0,0.0,9.0,,,,,,,,,,,,,
18,James Tomkins,DF,31,6.1,182,174,8.0,8.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,140.0,0.0,1.0,,,,,,,,,,,,,
19,Mamadou Sakho,DF,30,3.1,94,78,16.0,14.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,83.0,0.0,0.0,,,,,,,,,,,,,
20,Jean-Philippe Mateta,FW,23,2.5,49,47,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,29.0,1.0,2.0,,,,,,,,,,,,,
21,Jack Butland,GK,27,1.0,22,11,10.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,,,,,,,,,,,,,
22,Martin Kelly,DF,30,0.0,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,,,,,,,,,,,,,
23,Squad Total,15597,13707,1823.0,473,8,47.0,533.0,772.0,151.0,67.0,29.0,27.0,11627.0,67.0,,,,,,,,,,,,,,,,,
24,Opponent Total,23089,21282,1761.0,440,19,246.0,795.0,815.0,230.0,99.0,91.0,9.0,19019.0,46.0,,,,,,,,,,,,,,,,,
