Patrick van Aanholt,0,18,10,3,0,0,0,162,6,5
Rolando Aarons,0,1,3,1,0,0,0,9,1,3
Tammy Abraham,0,15,27,9,0,0,0,41,39,58
Charlie Adam,0,8,8,0,0,0,0,40,7,4
Adri?n,0,1,3,0,0,0,0,20,2,1
Ibrahim Afellay,0,1,0,0,0,0,0,15,0,0
Benik Afobe,0,9,13,4,1,0,0,17,22,38
Sergio Ag?ero,0,10,17,16,0,0,0,59,10,19
Nathan Ak?,0,27,19,2,0,0,0,178,104,89
Marc Albrighton,0,20,26,2,0,1,0,172,11,15
Toby Alderweireld,0,8,1,0,0,0,0,57,14,29
Trent Alexander-Arnold,0,12,1,3,0,0,0,133,5,17
Joe Allen,0,49,49,0,0,0,0,244,36,59
Dele Alli,0,43,84,5,1,0,0,181,28,49
Marcos Alonso,0,26,31,8,0,0,0,193,59,52
Daniel Amartey,1,5,7,0,0,0,0,30,10,7
Ethan Ampadu,0,0,0,0,0,0,0,0,1,2
Nordin Amrabat,0,6,2,2,0,0,0,8,3,6
Michail Antonio,0,17,30,7,1,0,0,71,43,53
Scott Arfield,0,21,14,1,0,0,0,83,11,30
Marko Arnautovi?,0,35,29,43,0,0,0,103,22,39
Harry Arter,0,9,15,0,0,0,0,66,6,2
Christian Atsu,0,10,26,6,0,0,0,107,13,68
Pierre-Emerick Aubameyang,0,1,8,10,0,0,0,29,8,28
Serge Aurier,1,21,16,2,0,1,0,89,48,29
Charlie Austin,0,16,16,14,0,0,0,29,38,71
Andr? Ayew,0,6,17,3,0,0,0,52,17,50
Andr? Ayew1,0,18,19,3,1,0,0,41,28,48
Jordan Ayew,0,63,87,8,0,0,0,141,50,120
C?sar Azpilicueta,0,25,13,1,0,0,1,207,80,53
Eric Bailly,0,10,9,0,0,0,1,58,17,8
Leighton Baines,0,7,17,1,0,0,0,87,14,20
Tiemou? Bakayoko,1,50,24,2,0,0,0,169,40,34
Sam Baldock,0,0,0,0,0,0,0,1,0,0
Beni Baningime,0,4,1,0,0,0,0,9,1,2
Phil Bardsley,0,22,19,0,0,1,0,61,26,27
Ross Barkley,0,1,1,0,0,0,0,3,2,2
Ashley Barnes,0,53,71,26,0,0,0,87,81,218
Harvey Barnes,0,1,0,0,0,0,0,0,1,0
Gareth Barry,0,28,29,1,0,0,0,148,32,36
Kyle Bartley,0,5,1,0,0,0,0,3,14,3
Michy Batshuayi,0,4,3,6,0,0,1,9,7,14
Moritz Bauer,0,19,20,1,0,0,0,54,18,22
Jan Bednarek,0,3,1,0,0,0,0,28,7,17
Asmir Begovi?,0,2,7,0,0,1,0,23,8,2
H?ctor Beller?n,0,36,7,4,0,2,0,175,35,57
Yohan Benalouane,0,1,1,1,0,0,0,5,2,2
Christian Benteke,0,48,27,12,2,0,0,50,236,179
Saido Berahino,0,6,4,4,1,0,0,13,4,19
J?hann Berg Gu?mundsson,0,18,33,2,0,0,0,179,39,49
Ryan Bertrand,0,32,33,1,0,0,0,146,43,51
Muhamed Be?i?,0,1,2,0,0,0,0,3,2,1
Philip Billing,0,14,6,1,0,1,0,73,25,12
Mame Biram Diouf,0,38,39,23,0,0,0,75,142,158
Daley Blind,0,4,4,0,0,0,0,23,8,6
Jeremie Boga,0,1,0,0,0,0,0,0,0,0
Yannick Bolasie,0,12,11,4,0,0,0,55,11,9
Ga?tan Bong,0,16,13,0,0,0,1,140,29,28
Wilfried Bony,0,7,11,2,0,0,0,15,43,58
Sofiane Boufal,0,27,28,2,0,0,0,81,6,12
Robbie Brady,0,20,11,3,0,0,0,74,9,12
Claudio Bravo,0,0,1,0,0,0,0,4,1,0
