link,Player_id,Name,nationality,position,team,age,games,games_starts,minutes,minutes_90s,goals,assists,pens_made,pens_att,cards_yellow,cards_red,xg,npxg,xg_assist,progressive_carries,progressive_passes,progressive_passes_received,shots,shots_on_target,average_shot_distance,xg_net,sca,sca_passes_live,sca_passes_dead,sca_take_ons,sca_shots,sca_fouled,sca_defense,gca,gca_passes_live,gca_passes_dead,gca_take_ons,gca_shots,gca_fouled,gca_defense,passes_completed,passes,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_completed_medium,passes_medium,passes_completed_long,passes_long,pass_xa,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_switches,crosses,throw_ins,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_completed,passes_offsides,passes_blocked,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,take_ons,take_ons_won,take_ons_tackled,carries,carries_distance,carries_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,passes_received,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenge_tackles,challenges,challenges_lost,blocked_shots,blocked_passes,interceptions,clearances,errors,games_complete,games_subs,unused_subs,points_per_game,on_goals_for,on_goals_against,plus_minus_wowy,on_xg_for,on_xg_against,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,gk_goals_against,gk_shots_on_target_against,gk_saves,gk_wins,gk_ties,gk_losses,gk_clean_sheets,gk_pens_att,gk_pens_allowed,gk_pens_saved,gk_pens_missed,gk_free_kick_goals_against,gk_corner_kick_goals_against,gk_psxg,gk_psnpxg_per_shot_on_target_against,gk_psxg_net,gk_passes_completed_launched,gk_passes_launched,gk_passes,gk_passes_throws,gk_passes_length_avg,gk_goal_kicks,gk_goal_kick_length_avg,gk_crosses,gk_crosses_stopped,gk_def_actions_outside_pen_area,gk_avg_distance_def_actions,value_millions
https://fbref.com/en/players/980522ec/Christian-Eriksen,120180144,Christian Eriksen,DEN,MF,Tottenham,25,37,37,3218,35.8,10,10,0,0,0,0,7,7,11.6,83,333,237,97,39,23,3,181,129,33,6,11,2,0,15,10,4,0,1,0,0,1919,2509,35000,9566,820,947,838,1042,226,398,10.7,95,264,66,8,2221,270,105,24,28,222,11,125,48,48,6,1919,18,57,19,189,1472,1225,93,2863,53,29,24,1604,8387,3836,103,11,75,72,2081,51,29,16,30,5,17,59,42,1,37,31,21,0,29,0,0,2.05,71,33,1.06,62.2,31.8,0,14,21,1,0,0,0,227,17,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80
https://fbref.com/en/players/b66315ae/Gabriel-Jesus,120180230,Gabriel Jesus,BRA,FW,Manchester City,20,29,19,1668,18.5,13,3,0,2,6,0,13.8,12.2,2.1,28,49,181,54,30,12,-0.8,61,41,1,4,11,2,2,14,6,1,2,3,2,0,474,596,5662,806,302,364,100,126,12,16,2.2,18,17,19,0,569,27,2,7,1,2,3,0,0,0,0,474,0,16,3,47,312,439,121,788,37,24,13,443,1865,800,21,14,43,26,607,23,15,6,10,7,3,22,19,0,16,8,6,0,5,10,3,2.69,54,12,0.37,41.5,10.2,0,28,18,15,0,0,0,53,21,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80
https://fbref.com/en/players/4c370d81/Roberto-Firmino,120180156,Roberto Firmino,BRA,FW,Liverpool,25,37,32,2763,30.7,15,7,1,1,1,0,10.7,9.9,6.5,91,136,305,83,36,17.1,4.3,133,95,1,17,13,3,4,13,10,0,1,2,0,0,869,1233,11802,3204,501,658,272,366,33,53,5.6,57,68,45,0,1180,48,5,17,0,43,16,1,1,0,0,869,5,52,11,71,696,829,183,1575,73,49,24,936,5044,2271,55,40,80,71,1203,65,50,9,36,20,8,58,50,2,38,18,10,0,12,5,1,2,73,32,0.65,61.2,28.5,0,57,18,13,1,0,0,139,46,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80
https://fbref.com/en/players/4d034881/Sergio-Aguero,120180008,Sergio Ag?ero,ARG,FW,Manchester City,29,25,22,1963,21.8,21,6,4,4,2,0,16.2,13.1,5.6,89,49,214,90,38,13.9,4.8,80,57,0,14,5,3,1,12,8,0,3,0,0,1,529,650,6018,1087,360,405,107,140,11,13,3.8,40,25,24,0,620,27,0,4,0,16,3,1,0,0,0,529,3,20,6,41,308,561,152,890,84,56,28,610,4166,1866,48,36,56,43,747,9,6,2,6,1,2,17,15,1,11,6,3,0,13,3,4,2.52,63,12,0.61,45.8,13.1,0,10,17,16,0,0,0,59,10,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80
https://fbref.com/en/players/d5dd5f1f/Pierre-Emerick-Aubameyang,120180024,Pierre-Emerick Aubameyang,GAB,FW,Arsenal,28,13,12,1057,11.7,10,4,1,2,0,0,8.4,6.8,1.1,31,9,85,29,17,14.6,1.6,30,21,0,4,4,1,0,8,5,0,1,1,1,0,225,337,2707,423,157,192,47,82,5,20,1.3,13,10,5,2,312,24,0,1,1,16,3,0,0,0,0,225,1,14,10,42,179,206,62,418,14,11,3,264,1571,836,17,12,12,12,314,5,4,3,2,0,1,7,6,1,13,3,7,0,10,1,0,1.62,26,15,0.48,19.5,15.6,0,1,8,10,0,0,0,29,8,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75
https://fbref.com/en/players/2c0f8e9e/Alexis-Sanchez,120180427,Alexis S?nchez,CHI,FW,Arsenal,28,31,29,2546,28.3,9,6,1,2,5,0,10.8,9.1,7.3,79,219,320,86,30,36.7,-1.8,171,109,10,20,18,13,1,23,12,1,3,5,2,0,1094,1564,17165,5384,572,689,332,485,112,199,9.9,76,108,104,7,1460,92,30,29,17,97,1,54,33,9,0,1094,12,57,11,111,656,1158,156,1903,120,84,36,1362,8365,3190,90,32,96,83,1568,41,26,19,8,14,11,59,48,2,11,23,1,0,18,2,1,3.97,48,32,-0.78,44.6,30.5,0,31,75,26,1,0,0,109,20,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70
https://fbref.com/en/players/7ba6d84e/David-de-Gea,120180173,David de Gea,ESP,GK,Manchester Utd,26,37,37,3330,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,3,0,0,0,0,3,1,2,0,0,0,0,686,1092,23707,20013,74,75,287,289,321,721,0,1,13,0,0,698,391,101,0,1,0,0,0,0,0,0,686,3,0,1048,1156,2,0,0,1158,1,1,0,450,3332,2520,0,0,0,0,427,0,0,0,0,0,0,1,1,0,1,0,9,3,37,0,0,2.11,67,28,0.05,55.3,40.1,0,0,4,0,0,0,0,39,1,1,28,140,114,24,6,7,18,1,1,0,0,1,5,38.5,0.28,12.5,232,613,799,147,39.6,290,55.8,483,16,21,12.8,70
https://fbref.com/en/players/c691bfe2/Sadio-Mane,120180296,Sadio Man?,SEN,FW,Liverpool,25,29,28,2190,24.3,10,7,0,0,3,1,10.6,10.6,5.4,112,120,270,70,26,15.4,-0.6,105,79,0,13,6,6,1,14,10,0,3,1,0,0,787,1005,11585,2403,440,528,276,327,38,61,4.9,48,55,56,5,991,11,2,10,3,32,8,1,0,0,0,787,3,29,10,76,514,702,133,1274,86,55,31,911,6119,2959,77,46,69,48,1077,28,20,8,11,9,3,23,20,0,20,9,8,0,9,1,3,1.97,53,20,0.4,49.4,17.4,0,24,50,12,0,0,0,111,27,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70
https://fbref.com/en/players/129af0db/Alvaro-Morata,120180337,?lvaro Morata,ESP,FW,Chelsea,24,31,24,2061,22.9,11,6,0,0,7,0,13,13,3.1,54,46,228,79,34,13.6,-2,83,59,2,6,8,8,0,8,7,0,0,0,1,0,423,600,5650,924,236,300,95,146,32,46,2.4,35,30,9,0,555,40,1,3,6,19,0,0,0,0,0,423,5,21,25,36,362,489,147,873,59,32,27,570,3210,1311,35,37,75,62,750,13,8,0,7,6,1,21,20,4,13,6,20,0,12,7,0,1.94,38,19,0.5,34.8,19.2,0,41,44,29,0,0,0,58,54,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65
https://fbref.com/en/players/8b788c01/Anthony-Martial,120180303,Anthony Martial,FRA,FW,Manchester Utd,21,30,18,1582,17.6,9,5,1,1,1,0,6.3,5.5,5.1,107,52,182,48,15,17.3,2.7,76,58,1,9,4,4,0,13,11,0,1,0,1,0,613,789,7580,1899,374,431,155,193,18,43,4.6,33,35,27,2,767,20,6,4,0,48,8,6,5,0,0,613,2,35,11,75,366,579,120,1005,83,43,40,740,5334,3146,79,45,54,55,858,15,13,9,2,4,3,12,9,1,4,3,7,0,5,12,4,2.03,34,13,0.26,27,22.1,0,17,27,8,0,0,0,79,14,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65
