Adri?n,1,6,27.8,0.29,-0.2,154,445,383,47,47.7,184,59.3,316,13,31,16
Asmir Begovi?,2,7,54.8,0.31,-5.2,223,647,832,215,38.9,328,55.5,611,35,18,10.2
Claudio Bravo,0,0,1.6,0.31,0.6,4,9,61,16,25.3,10,39.5,21,2,3,15.4
Jack Butland,0,8,61.7,0.29,2.7,377,969,934,103,48.4,338,62.4,609,25,39,13.7
Willy Caballero,0,0,3.5,0.36,-0.5,16,38,85,12,29.2,15,51.7,33,1,5,17.7
Petr ?ech,0,6,45.9,0.3,-2.1,149,414,809,223,34.4,225,47.2,426,33,52,14.4
Thibaut Courtois,0,2,31.6,0.29,-0.4,153,430,949,214,33.8,248,45.3,446,26,24,13.2
Karl Darlow,0,0,15.8,0.28,2.8,78,232,247,37,43.2,87,57.9,159,11,4,11.7
Martin D?bravka,0,0,14.2,0.36,3.2,61,198,255,32,38.5,93,56,184,13,13,12.9
Ederson,1,1,23.9,0.28,-0.1,110,230,935,167,26.2,160,46.1,265,19,87,18.8
Rob Elliot,0,3,18.8,0.27,-1.2,154,371,378,46,44.1,159,55.8,258,15,15,13.2
?ukasz Fabia?ski,1,5,59.5,0.28,5.5,315,812,914,159,42.2,358,59.9,615,42,22,11.4
Fraser Forster,1,2,25.8,0.26,-4.2,101,343,360,62,43.4,146,59.1,258,10,14,14.1
Ben Foster,2,7,45.7,0.3,-7.3,346,904,811,70,48.5,338,65.7,592,37,27,12.8
Paulo Gazzaniga,0,0,0.7,0.25,0.7,3,7,17,3,32.9,8,30.9,10,2,1,12.3
David de Gea,1,5,38.5,0.28,12.5,232,613,799,147,39.6,290,55.8,483,16,21,12.8
Heurelho Gomes,1,7,36,0.34,-3,199,483,566,115,42.3,179,56.5,342,15,18,12.2
Lee Grant,0,1,4.8,0.32,-2.2,25,60,69,14,42.9,23,58,39,1,4,18.6
Ben Hamer,0,0,6.4,0.43,-0.6,18,47,66,15,39.1,20,56.3,39,0,4,14.3
Joe Hart,0,4,32.8,0.32,-6.2,175,469,441,52,49.1,155,67,284,4,11,13
Tom Heaton,0,1,4.8,0.41,0.8,31,77,84,22,47.2,32,60.7,62,2,2,11.2
Wayne Hennessey,1,7,38.2,0.3,-0.8,226,587,554,92,47.3,227,65.2,435,31,22,13.4
Eldin Jakupovi?,0,0,4.6,0.39,-0.4,16,36,41,12,45.4,14,61.8,24,0,8,20.1
Loris Karius,0,2,13.3,0.23,-0.7,66,227,524,106,32.6,103,45.8,199,10,33,17.5
Orestis Karnezis,0,2,19.8,0.31,-4.2,121,321,323,31,48.2,81,58,182,10,9,13.4
Hugo Lloris,1,7,33.7,0.27,-1.3,154,386,938,169,33.4,227,41.5,428,17,75,15.6
Jonas L?ssl,0,6,51.7,0.3,-5.3,360,891,1083,103,45.2,304,57.9,493,31,55,14.4
Alex McCarthy,0,4,20.5,0.3,-5.5,99,340,304,56,44.2,158,59.5,311,19,10,10.9
Simon Mignolet,0,3,23,0.34,-1,64,208,499,102,32,101,39.7,194,15,34,17.4
Boaz Myhill,0,0,0.3,0.12,-0.7,7,16,12,0,50.2,7,53.4,22,3,0,7.5
David Ospina,0,0,2.5,0.21,-0.5,15,46,116,27,29.3,28,47.5,82,6,7,13.1
Jordan Pickford,0,6,56.1,0.3,-1.9,322,945,984,162,47.8,340,67.2,591,27,51,14.9
Nick Pope,0,3,42.5,0.27,8.5,351,997,920,118,52.1,297,66.7,600,57,38,12.5
Sergio Romero,0,0,0.9,0.31,0.9,6,14,18,5,37.4,7,58.3,18,1,0,4
Mathew Ryan,1,15,48.8,0.28,-0.2,345,875,823,122,44.5,352,57.9,623,38,17,10.2
Kasper Schmeichel,3,11,39.5,0.27,-6.5,304,792,866,107,43.8,273,63.9,500,28,54,16.3
Juli?n Speroni,0,4,13.3,0.29,-0.7,86,239,223,18,45.2,89,56.9,177,6,10,13.7
Michel Vorm,0,0,0.5,0.13,0.5,2,4,17,2,26.5,9,32.4,14,0,2,17
