Bruno,949,1220,16949,6723,446,492,371,460,116,215,1,10,54,12,6
Chris Brunt,733,1082,15546,6796,284,328,274,370,160,339,4.5,37,98,24,10
Oliver Burke,114,151,1509,284,76,91,28,39,5,9,0.4,4,4,3,2
Jack Butland,643,1283,28682,25851,35,36,163,173,444,1062,0.1,1,54,0,0
Sam Byram,73,123,1293,676,29,40,37,53,6,25,0.4,2,12,5,3
Willy Caballero,73,100,1939,1484,17,18,32,33,23,46,0,0,0,0,0
Yohan Cabaye,1118,1438,18909,7090,539,603,416,493,117,266,3.8,42,124,18,0
Gary Cahill,1194,1347,21241,8087,458,492,615,673,91,133,0.2,3,71,1,0
Dominic Calvert-Lewin,311,519,3729,901,198,302,63,112,11,24,1.3,20,13,12,6
Geoff Cameron,404,581,7362,3256,166,191,187,244,44,120,0.3,6,39,3,0
Tyrese Campbell,10,20,129,47,6,12,4,6,0,0,0,0,1,3,0
Emre Can,1338,1571,23098,5472,600,662,591,668,117,179,2.4,25,136,23,2
?tienne Capoue,723,883,12866,3380,342,390,271,320,91,135,1.2,8,75,9,1
Michael Carrick,84,99,1602,837,40,41,29,29,14,25,0.2,1,17,0,0
Andr? Carrillo,561,772,8091,2148,339,396,145,221,47,77,2.4,20,40,24,8
Guido Carrillo,81,124,936,171,54,74,17,27,2,3,0.5,4,3,3,0
Andy Carroll,158,262,2741,519,74,114,64,100,14,29,0.3,7,13,6,3
Tom Carroll,1235,1577,21581,7289,575,640,472,566,147,283,4.1,47,161,31,8
Craig Cathcart,143,186,3103,1225,43,48,75,88,24,45,0,0,8,1,0
Petr ?ech,749,1039,22106,16596,74,75,398,400,276,556,0,0,11,1,0
Nacer Chadli,54,77,617,122,32,40,15,21,1,5,0.1,2,3,2,0
Nathaniel Chalobah,132,184,2235,836,61,76,51,67,12,28,0.1,1,18,1,0
Calum Chambers,521,630,9649,3313,203,228,257,298,54,84,0.2,2,30,6,1
Ben Chilwell,852,1199,13076,4494,446,533,306,429,60,136,2.4,21,59,26,16
Hamza Choudhury,139,169,2428,830,65,72,53,60,16,27,0,1,21,0,0
Andreas Christensen,1263,1357,24630,8441,387,409,719,752,134,157,0.9,4,62,2,0
Lee Chung-yong,58,77,711,152,37,39,15,24,2,6,0.1,2,1,1,0
Ciaran Clark,511,715,10211,4380,171,199,251,308,71,176,0.4,4,43,3,0
Tom Cleverley,964,1238,15750,4846,481,542,346,419,89,181,1.8,29,132,17,2
Sam Clucas,689,872,11783,2786,327,375,274,333,68,117,1.1,15,46,3,1
Nathaniel Clyne,108,141,1751,558,58,65,37,52,9,13,0.1,1,7,2,1
S?amus Coleman,369,516,5449,2296,217,252,121,178,18,55,0.5,7,30,7,1
James Collins,283,389,6304,2774,74,82,148,185,61,118,0.2,2,20,2,0
Lewis Cook,989,1263,19152,6531,394,486,428,494,147,229,2.2,28,176,27,5
Steve Cook,1029,1400,22531,9824,246,313,610,742,163,315,0.5,5,65,4,0
Francis Coquelin,79,96,1304,405,41,47,24,29,11,14,0,1,8,1,0
Jack Cork,1281,1608,21883,5582,583,680,499,597,136,208,1,19,127,11,1
Thibaut Courtois,903,1202,25829,17424,105,106,514,519,279,564,0,0,14,0,0
Philippe Coutinho,566,758,10208,3685,246,287,231,288,73,134,4.7,40,99,44,7
Martin Cranie,72,91,1561,536,16,19,45,51,11,20,0,0,5,0,0
Aaron Cresswell,1204,1723,22518,9345,531,593,488,642,163,408,2.4,34,135,21,10
Peter Crouch,375,643,4463,1102,282,447,68,122,9,16,1.9,21,40,7,0
Josh Cullen,3,4,21,7,1,2,0,0,0,0,0,0,0,0,0
Charlie Daniels,1510,2024,25113,9646,778,915,604,780,109,253,1.7,30,124,30,7
Danilo,1106,1255,17501,4137,581,613,437,484,62,102,0.8,5,79,14,1
Scott Dann,454,574,9072,3668,154,175,221,254,70,127,0.3,5,30,2,0
Karl Darlow,174,334,6615,5845,19,19,56,58,99,257,0,0,6,0,0
Matteo Darmian,208,255,3066,995,107,117,68,82,15,28,0,1,12,0,0
Ben Davies,1305,1735,22704,8393,612,701,560,706,116,247,3.8,46,125,37,14
Tom Davies,547,715,8064,2003,298,347,174,223,33,67,1,10,45,13,1
Steven Davis,886,1092,14571,4068,424,472,349,403,78,134,1.9,18,101,20,3
Craig Dawson,765,1114,14860,7328,314,385,318,420,117,253,1.1,10,79,19,14
Kevin De Bruyne,2351,3008,39772,11181,1154,1322,885,1090,221,376,11.7,105,258,119,11
Troy Deeney,309,552,4094,1303,207,330,69,127,15,29,2,26,46,21,1
Jermain Defoe,98,138,1340,208,65,87,25,34,6,6,1,13,3,4,0
Steven Defour,865,1062,15646,4797,365,412,389,443,93,161,1.5,19,89,25,10
Damien Delaney,30,38,517,401,15,15,10,13,3,7,0,0,1,0,0
Fabian Delph,1662,1801,24788,6068,977,1012,567,609,79,112,1.4,11,129,15,3
Mousa Demb?l?,1316,1429,21995,7009,625,668,592,630,81,97,1.1,18,177,4,1
Laurent Depoitre,275,486,3620,526,146,247,85,150,11,17,0.4,14,20,0,0
Mike van der Hoorn,669,882,13736,5320,215,250,340,400,106,210,0.2,5,42,4,3
Gerard Deulofeu,110,160,1602,455,60,80,31,42,9,14,0.4,11,12,5,1
Fousseni Diabat?,182,237,2441,602,105,127,58,75,7,11,0.6,7,9,7,3
Mohamed Diam?,666,825,10938,3060,333,388,237,282,60,91,0.5,13,64,7,1
Brahim D?az,25,29,326,45,16,17,8,10,0,0,0,0,0,0,0
Eric Dier,1949,2285,38485,13081,670,747,1003,1107,251,358,2.7,15,221,25,4
Abdoulaye Doucour?,1885,2278,30698,7812,907,1054,787,897,132,193,2.9,40,152,30,3
Aleksandar Dragovi?,301,361,6498,2286,81,95,160,184,54,72,0,0,18,0,0
Danny Drinkwater,331,389,5287,1189,173,192,119,133,28,36,0.8,5,39,3,0
Martin D?bravka,203,348,6648,5297,24,24,93,94,86,230,0,0,7,0,0
Shane Duffy,1045,1368,23174,7843,271,328,544,624,213,373,0.9,8,35,3,2
Paul Dummett,535,779,8906,4389,252,304,223,305,43,119,0.6,6,50,7,3
Lewis Dunk,1189,1529,26092,8945,377,423,545,612,242,436,0.4,11,65,5,1
Nathan Dyer,426,553,5556,976,273,313,113,155,9,24,1.1,10,19,15,1
Ederson,955,1098,23400,15983,200,201,530,536,224,357,0,1,9,0,0
Tom Edwards,151,217,2619,1196,73,79,55,71,17,51,0.3,1,9,3,2
Rob Elliot,308,537,12289,10903,23,23,102,105,183,408,0.1,0,9,0,0
Mohamed Elneny,789,852,12227,3138,430,454,296,313,42,53,1,10,73,6,0
Christian Eriksen,1919,2509,35000,9566,820,947,838,1042,226,398,10.7,95,264,66,8
Jonny Evans,785,983,15261,6008,293,334,366,430,114,193,0.4,8,58,5,2
Patrice Evra,84,120,1311,617,49,57,27,42,7,12,0,0,8,0,0
?ukasz Fabia?ski,752,1276,28523,23783,70,70,257,262,423,936,0.1,1,16,0,0
Cesc F?bregas,1873,2351,33048,13012,845,949,722,853,235,401,7.6,89,249,74,8
Marouane Fellaini,336,398,4620,1237,185,212,101,120,17,27,0.2,5,25,0,0
Kiko Femen?a,807,1004,11700,4042,502,558,237,294,41,91,2.1,17,43,27,11
Leroy Fer,515,643,9132,1993,234,278,199,235,65,98,0.8,10,52,9,1
Edimilson Fernandes,222,288,3671,867,96,119,82,99,23,35,0.3,7,17,6,1
Federico Fern?ndez,1001,1218,21296,9597,272,293,557,646,165,254,1,6,60,4,1
Fernandinho,2686,2999,42640,13288,1335,1407,1083,1190,167,235,5,20,318,31,0
Sam Field,128,177,2253,806,65,83,47,57,13,25,0.2,4,13,8,1
Roberto Firmino,869,1233,11802,3204,501,658,272,366,33,53,5.6,57,68,45,0
Darren Fletcher,843,1105,16453,5280,309,374,362,420,138,241,1.9,23,77,18,3
Phil Foden,41,48,461,52,29,30,8,11,0,1,0.2,2,2,0,0
Jos? Fonte,287,355,6155,2312,75,85,161,182,48,80,0.4,4,32,4,2
Fraser Forster,253,510,9072,7775,28,28,106,107,119,370,0,0,8,0,0
Ben Foster,565,1155,25634,23629,39,41,135,140,390,966,0.1,2,45,1,0
Timothy Fosu-Mensah,536,746,9128,4060,254,294,220,290,47,132,0.4,6,53,9,4
Simon Francis,1347,1864,26343,11347,512,612,632,807,184,383,2.4,27,109,25,18
Ryan Fraser,694,1005,11573,4056,349,436,281,393,54,137,2.8,42,61,35,15
Christian Fuchs,842,1226,14611,6387,406,480,313,429,103,248,0.9,18,77,15,9
Jay Fulton,5,8,83,10,1,2,4,6,0,0,0,0,0,0,0
Ramiro Funes Mori,43,55,807,304,17,19,19,20,7,14,0,0,4,0,0
Manolo Gabbiadini,158,228,1799,178,106,129,34,50,2,10,0.5,7,3,5,0
Jes?s G?mez,47,61,730,420,21,22,18,22,5,11,0.1,4,5,3,1
Idrissa Gana Gueye,1338,1593,21000,5702,706,793,479,558,93,132,1,16,152,12,3
Dwight Gayle,319,444,3885,609,213,277,73,100,8,25,1.2,21,17,3,0
Paulo Gazzaniga,20,25,545,379,3,3,10,10,7,12,0,0,0,0,0
David de Gea,686,1092,23707,20013,74,75,287,289,321,721,0,1,13,0,0
Kieran Gibbs,1000,1391,15562,6257,533,618,378,546,64,165,2.2,22,66,23,16
Olivier Giroud,96,140,920,160,68,92,11,17,1,3,0.8,7,4,4,1
Olivier Giroud1,155,240,1625,328,80,121,28,51,6,14,1.3,13,8,4,0
Connor Goldson,63,86,1270,512,21,25,29,37,12,21,0,0,6,0,0
Heurelho Gomes,446,754,17194,14524,26,26,161,163,259,556,0,0,10,0,0
Joe Gomez,1315,1625,23165,8373,542,605,648,774,107,205,1.4,17,137,16,8
Dan Gosling,825,1074,14011,4628,387,476,345,427,75,120,1.6,17,104,14,1
Lee Grant,57,93,2162,1870,7,7,18,18,32,67,0,0,4,0,0
Andre Gray,217,310,2738,463,134,185,48,64,10,12,1.2,18,17,6,1
Demarai Gray,465,656,7329,1498,237,275,149,204,43,97,2.7,27,32,15,6
Pascal Gro?,1001,1470,16478,5349,516,607,258,378,142,307,6.1,82,86,39,16
Marko Gruji?,11,14,189,75,4,6,7,7,0,1,0,1,0,0,0
?lkay G?ndo?an,1291,1414,18213,4535,754,803,402,428,61,82,2.1,20,122,29,0
Florent Hadergjonaj,595,927,10632,4759,283,335,224,352,75,191,1.4,26,41,28,20
Massadio Ha?dara,2,2,17,0,2,2,0,0,0,0,0,0,0,0,0
Ben Hamer,55,86,1849,1564,4,4,26,26,24,55,0,0,4,0,0
Rekeem Harper,4,5,82,30,1,1,2,3,1,1,0,2,0,0,0
Joe Hart,293,600,13288,11839,16,16,67,70,210,509,0.1,2,24,1,0
Isaac Hayden,405,550,6070,1768,226,279,142,183,20,41,1.2,11,37,12,5
Eden Hazard,1168,1440,18699,5183,631,748,312,371,148,171,7.4,83,122,79,4
Tom Heaton,70,120,2857,2413,3,3,26,26,41,87,0,0,6,0,0
Michael Hefele,8,10,116,30,6,6,2,3,0,0,0,0,1,0,0
Ahmed Hegazi,872,1205,19108,9451,252,307,423,530,180,326,1.4,7,56,8,3
Tomer Hemed,146,237,1717,278,96,136,35,65,2,4,0.1,3,8,1,0
Jordan Henderson,1769,2117,33580,9305,709,771,814,949,216,334,2.4,25,245,29,3
Jeff Hendrick,656,827,10332,2034,314,378,273,319,33,60,1.6,26,62,16,4
Wayne Hennessey,409,787,17667,16033,34,34,119,122,256,625,0.3,1,27,1,0
Javier Hern?ndez,282,395,4661,798,146,194,96,130,27,42,1.3,21,21,14,6
Ander Herrera,917,1064,13708,3978,471,513,307,342,66,118,1.6,11,89,12,1
Son Heung-min,792,980,10977,2123,472,549,260,307,25,46,4.3,39,52,26,3
Wesley Hoedt,1053,1352,22333,9239,350,394,515,608,179,319,0.3,9,118,5,1
Jonathan Hogg,1206,1423,20877,5948,530,596,534,598,105,154,0.9,9,110,8,1
Rob Holding,517,612,9871,3314,176,204,271,295,58,91,0.1,2,33,0,0
Jos? Holebas,901,1521,16066,8079,422,516,329,548,128,362,3.7,39,61,18,13
Mason Holgate,361,543,7516,3316,131,162,162,214,65,148,0.4,7,42,5,1
Callum Hudson-Odoi,12,18,222,30,5,6,5,7,1,3,0,0,2,1,0
Will Hughes,322,416,4055,1197,208,241,78,103,8,21,1.8,17,35,14,1
Jordan Hugill,3,9,37,0,2,4,1,5,0,0,0,0,0,0,0
Uwe H?nemeier,1,4,38,0,0,0,0,0,1,3,0,0,0,0,0
Emerson Hyndman,21,24,392,67,12,13,6,7,3,4,0,1,1,0,0
Pierre H?jbjerg,952,1132,15556,3430,465,530,361,411,82,115,1,13,68,10,3
Jordon Ibe,596,815,9636,2795,301,374,214,271,58,107,4.4,36,64,20,4
Vicente Iborra,698,860,11864,3247,320,393,271,317,70,94,1.1,8,54,5,0
Zlatan Ibrahimovi?,59,78,829,217,37,48,14,20,4,6,0.3,2,5,3,0
Kelechi Iheanacho,197,255,2707,585,118,143,53,63,13,25,2.1,11,15,12,0
Tom Ince,572,763,8640,1728,317,361,198,235,34,96,1.2,18,27,14,7
Danny Ings,47,79,719,124,25,35,13,21,5,7,0.1,3,3,3,0
Stephen Ireland,57,70,788,200,37,40,13,14,3,7,0,1,5,0,0
Alex Iwobi,997,1171,14645,3786,587,636,321,379,53,78,3.6,36,93,31,0
Jos? Izquierdo,415,550,5081,1389,259,317,104,142,9,24,1.7,21,21,15,5
Phil Jagielka,737,983,16406,5143,219,246,362,430,150,285,0.3,1,62,6,0
Eldin Jakupovi?,35,56,1424,1247,0,0,13,13,22,42,0,0,1,0,0
Matty James,363,448,5314,1297,188,218,134,160,17,32,0.3,2,27,2,0
