s,s,valu_millions
Kasper Schmeichel,10000000,10
Kelechi Iheanacho,15000000,15
Kenedy,10000000,10
Kepa Arrizabalaga,20000000,20
Kevin De Bruyne,150000000,150
Kieran Trippier,20000000,20
Konstantinos Mavropanos,3000000,3
Kurt Zouma,15000000,15
Kyle Walker,50000000,50
Kyle Walker-Peters,3000000,3
Laurent Depoitre,4500000,4.5
Laurent Koscielny,15000000,15
Lee Grant,1000000,1
Leighton Baines,8000000,8
Leon Balogun,2000000,2
Leonardo Ulloa,5000000,5
Leroy San?,90000000,90
Lewis Cook,20000000,20
Lewis Dunk,10000000,10
Lucas Digne,15000000,15
Lucas Moura,28000000,28
Lucas P?rez,7500000,7.5
Lucas Torreira,30000000,30
Luka Milivojevic,15000000,15
Lukasz Fabianski,5000000,5
Luke Brattan,600000,0.6
Luke Garbutt,1000000,1
Luke Shaw,15000000,15
Lys Mousset,4000000,4
Maarten Stekelenburg,1000000,1
Mamadou Sakho,15000000,15
Manuel Lanzini,20000000,20
Marc Albrighton,10000000,10
Marc Pugh,1500000,1.5
Marco van Ginkel,12000000,12
Marcos Alonso,40000000,40
Marcos Rojo,18000000,18
Marcus Rashford,65000000,65
Mario Lemina,15000000,15
Mark Noble,7000000,7
Marko Arnautovic,25000000,25
Markus Suttner,2500000,2.5
Marlos Moreno,500000,0.5
Marouane Fellaini,12000000,12
Mart?n Montoya,8000000,8
Martin D?bravka,4000000,4
Martin Kelly,3000000,3
Mason Holgate,7000000,7
Mateo Kovacic,30000000,30
Mathew Ryan,8000000,8
Matt Macey,500000,0.5
Matt Ritchie,12000000,12
Matt Targett,7000000,7
Matt?o Guendouzi,2500000,2.5
Matteo Darmian,10000000,10
Matty James,1500000,1.5
Max Meyer,18000000,18
Maya Yoshida,7000000,7
Mesut ?zil,50000000,50
Michael Keane,20000000,20
Michail Antonio,15000000,15
Michel Vorm,2500000,2.5
Miguel Almir?n,10000000,10
Mix Diskerud,900000,0.9
Mohamed Diam?,5000000,5
Mohamed Elneny,10000000,10
Mohamed Elyounoussi,15000000,15
Mohamed Salah,150000000,150
Morgan Schneiderlin,20000000,20
Mousa Demb?l?,18000000,18
Moussa Sissoko,18000000,18
Naby Ke?ta,65000000,65
Nacho Monreal,13000000,13
Nampalys Mendy,5000000,5
Nathan,1000000,1
Nathan Ak?,15000000,15
Nathan Redmond,18000000,18
Nathaniel Clyne,20000000,20
Nemanja Mati?,40000000,40
N'Golo Kant?,60000000,60
Nicol?s Otamendi,35000000,35
Nikola Vlasic,8000000,8
Oleksandr Zinchenko,7000000,7
Olivier Giroud,18000000,18
Oriol Romeu,12000000,12
Pablo Mar?,750000,0.75
Pablo Zabaleta,5000000,5
Pape Souar?,3500000,3.5
Pascal Gro?,10000000,10
Patrick van Aanholt,9000000,9
Paul Dummett,3500000,3.5
Paul Pogba,90000000,90
Paulo Gazzaniga,1000000,1
Pedro,25000000,25
Pedro Obiang,8000000,8
Percy Tau,2000000,2
Petr Cech,3000000,3
Phil Foden,7000000,7
Phil Jagielka,1500000,1.5
Phil Jones,20000000,20
Philip Billing,2500000,2.5
Philippe Sandler,2500000,2.5
Pierre-Emerick Aubameyang,75000000,75
Pierre-Emile H?jbjerg,10000000,10
Rachid Ghezzal,4000000,4
Raheem Sterling,90000000,90
Rajiv van La Parra,4000000,4
Ramadan Sobhi,7000000,7
Reece Oxford,5000000,5
Ricardo Pereira,20000000,20
Richarlison,25000000,25
Riyad Mahrez,50000000,50
Rob Elliot,1500000,1.5
Rob Green,250000,0.25
Rob Holding,7000000,7
Roberto Firmino,80000000,80
Rolando Aarons,700000,0.7
Romelu Lukaku,90000000,90
Ross Barkley,25000000,25
Ruben Loftus-Cheek,15000000,15
Ryan Bertrand,20000000,20
Ryan Fraser,6000000,6
Ryan Schofield,100000,0.1
Sadio Man?,70000000,70
Salom?n Rond?n,13000000,13
Sam Byram,4000000,4
Sam McQueen,1000000,1
Scott Dann,5000000,5
Scott McTominay,7000000,7
Sead Kolasinac,18000000,18
Seamus Coleman,12000000,12
Serge Aurier,20000000,20
Sergio Ag?ero,80000000,80
Sergio Romero,5000000,5
Shane Duffy,12000000,12
Shane Long,7000000,7
