Player,Pos,Age,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att,Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist
Emiliano Martínez,GK,29,34.9,38,4,1,6,4,36.6,0.24,+2.6,+0.07,199,523,38.0,1171,135,35.5,33.0,212,50.5,40.7,483,60,12.4,73,2.09,16.6
Robin Olsen,GK,32,3.1,8,1,0,3,0,6.2,0.29,-1.8,-0.57,15,62,24.2,101,18,44.6,37.6,28,60.7,46.8,45,5,11.1,3,0.96,14.2
Squad Total,46,5,1,9,4,42.8,0.25,+0.8,+0.02,214,585,36.6,1247,153,37.0,265,46.8,38.3,528,65,12.3,76
Opponent Total,51,3,2,6,2,44.1,0.28,-4.9,-0.13,134,355,37.7,811,173,30.2,32.3,243,45.3,37.7,439,27,6.2,41,1.08
