Player,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
Morgan Sanson,MF,27,2,0,11,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Lamare Bogarde,MF,18,0,0
Tim Iroegbunam,MF,19,0,0
Filip Marshall,GK,19,0,0
Marvelous Nakamba,MF,28,0,0
Tommi O'Reilly,MF,18,0,0
Travis Patterson,MF,16,0,0
Seb Revan,DF,19,0,0
Viljami Sinisalo,GK,20,0,0
Sil Swinkels,DF,18,0,0
James Wright,GK,17,0,0
Kadan Young,MF,16,0,0
Oliwier Zych,GK,18,0,0
Squad Total,418,"3,420",38.0,49,35,84,46,3,4,80,1,50.2,47.2,38.8,86.0,637,1242,1227,1.29,0.92,2.21,1.21,2.13,1.32,1.02,2.34,1.24
Opponent Total,418,"3,420",38.0,42,25,67,37,5,6,85,3,52.5,47.9,36.1,84.0,607,1323,1306,1.11,0.66,1.76,0.97,1.63,1.38,0.95,2.33,1.26
