,Player,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,xG.1,xAG.1,xG+xAG,npxG.1,npxG+xAG.1,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp.1,Att.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive.1,PassDead.1,TO.1,Sh.1,Fld.1,Def.1,90s,Tkl,TklW,Def,Mid,Att,Tkl.1,Att.1,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,90s,Touches,Def,Def.1,Mid,Att,Att.1,Live,Att.2,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off.1,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%.1,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att.1,Thr,Launch%,AvgLen,Att.2,Launch%.1,AvgLen.1,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist
10,Boubacar Kamara,MF,22,24.0,21,"1,777",19.7,0.0,1.0,1.0,0.0,0.0,0.0,4.0,0.0,0.2,0.2,0.8,1.0,16.0,84.0,8.0,0.0,0.05,0.05,0.0,0.05,0.01,0.04,0.05,0.01,0.05,19.7,0.0,4.0,1.0,25.0,0.2,0.05,0.0,0.0,29.7,0.0,0.0,0.0,0.2,0.2,0.05,-0.2,-0.2,19.7,798.0,941.0,84.8,13161.0,3895.0,395.0,441.0,89.6,303.0,334.0,90.7,67.0,95.0,70.5,1.0,0.8,0.7,0.2,7.0,61.0,6.0,0.0,84.0,19.7,941.0,907.0,34.0,32.0,2.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,798.0,0.0,20.0,19.7,23.0,1.17,19.0,0.0,1.0,0.0,3.0,0.0,4.0,0.2,2.0,0.0,1.0,0.0,1.0,0.0,19.7,58.0,25.0,25.0,23.0,10.0,27.0,56.0,48.2,29.0,38.0,12.0,26.0,19.0,77.0,24.0,3.0,19.7,1145.0,65.0,362.0,662.0,132.0,10.0,1145.0,35.0,16.0,45.7,12.0,34.3,622.0,2571.0,1173.0,16.0,11.0,1.0,20.0,14.0,713.0,8.0,24,"1,777",74,52.0,19.7,21.0,83.0,14.0,3.0,14.0,0.0,1.63,28.0,30.0,-2.0,-0.1,-0.48,24.2,33.1,-8.9,-0.45,-0.81,19.7,4.0,0.0,0.0,34.0,31.0,0.0,1.0,19.0,25.0,0.0,0.0,0.0,126.0,22.0,17.0,56.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Matty Cash,DF,24,26.0,20,"1,820",20.2,0.0,1.0,1.0,0.0,0.0,0.0,4.0,0.0,0.2,0.2,0.7,0.9,42.0,75.0,57.0,0.0,0.05,0.05,0.0,0.05,0.01,0.04,0.05,0.01,0.05,20.2,0.0,7.0,1.0,14.3,0.35,0.05,0.0,0.0,26.9,0.0,0.0,0.0,0.2,0.2,0.03,-0.2,-0.2,20.2,777.0,1006.0,77.2,13672.0,4595.0,345.0,384.0,89.8,361.0,441.0,81.9,61.0,139.0,43.9,1.0,0.7,0.9,0.3,8.0,57.0,15.0,9.0,75.0,20.2,1006.0,809.0,194.0,18.0,2.0,6.0,46.0,176.0,0.0,0.0,0.0,0.0,777.0,3.0,24.0,20.2,28.0,1.38,25.0,0.0,1.0,0.0,1.0,1.0,3.0,0.15,2.0,0.0,0.0,0.0,0.0,1.0,20.2,55.0,32.0,36.0,15.0,4.0,26.0,37.0,70.3,11.0,20.0,5.0,15.0,26.0,81.0,43.0,0.0,20.2,1215.0,76.0,423.0,545.0,258.0,11.0,1215.0,33.0,16.0,48.5,9.0,27.3,610.0,3143.0,1677.0,42.0,33.0,4.0,24.0,7.0,652.0,57.0,26,"1,820",70,53.2,20.2,20.0,85.0,15.0,6.0,21.0,1.0,1.46,28.0,29.0,-1.0,-0.05,-0.39,28.7,27.4,1.3,0.06,0.26,20.2,4.0,0.0,0.0,21.0,15.0,2.0,46.0,26.0,32.0,0.0,1.0,0.0,108.0,12.0,13.0,48.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Lucas Digne,DF,29,28.0,18,"1,502",16.7,1.0,0.0,1.0,1.0,0.0,0.0,5.0,0.0,0.4,0.4,1.9,2.3,29.0,57.0,89.0,0.06,0.0,0.06,0.06,0.06,0.02,0.11,0.14,0.02,0.14,16.7,1.0,8.0,3.0,37.5,0.48,0.18,0.13,0.33,20.5,4.0,0.0,0.0,0.4,0.4,0.05,0.6,0.6,16.7,696.0,927.0,75.1,11016.0,4245.0,387.0,432.0,89.6,247.0,337.0,73.3,49.0,105.0,46.7,0.0,1.9,1.9,-1.9,18.0,40.0,23.0,14.0,57.0,16.7,927.0,749.0,177.0,23.0,0.0,4.0,77.0,142.0,12.0,5.0,4.0,0.0,696.0,1.0,23.0,16.7,29.0,1.74,24.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.7,30.0,12.0,20.0,9.0,1.0,20.0,33.0,60.6,13.0,18.0,5.0,13.0,18.0,48.0,45.0,0.0,16.7,1096.0,64.0,365.0,396.0,342.0,24.0,1096.0,18.0,3.0,16.7,11.0,61.1,552.0,2363.0,1262.0,29.0,14.0,2.0,16.0,12.0,625.0,89.0,28,"1,502",54,43.9,16.7,18.0,75.0,10.0,10.0,15.0,4.0,1.46,22.0,25.0,-3.0,-0.18,-0.56,19.9,25.7,-5.8,-0.35,-0.52,16.7,5.0,0.0,0.0,19.0,23.0,2.0,77.0,18.0,12.0,0.0,1.0,1.0,86.0,26.0,17.0,60.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Álex Moreno,DF,29,19.0,14,"1,329",14.8,0.0,3.0,3.0,0.0,0.0,0.0,3.0,0.0,0.6,0.6,3.0,3.7,65.0,37.0,122.0,0.0,0.2,0.2,0.0,0.2,0.04,0.21,0.25,0.04,0.25,14.8,0.0,13.0,3.0,23.1,0.88,0.2,0.0,0.0,18.4,0.0,0.0,0.0,0.6,0.6,0.05,-0.6,-0.6,14.8,581.0,745.0,78.0,8535.0,2588.0,319.0,373.0,85.5,217.0,267.0,81.3,24.0,42.0,57.1,3.0,3.0,2.6,0.0,22.0,15.0,30.0,14.0,37.0,14.8,745.0,609.0,134.0,18.0,1.0,0.0,48.0,116.0,0.0,0.0,0.0,0.0,581.0,2.0,32.0,14.8,34.0,2.3,31.0,0.0,2.0,1.0,0.0,0.0,3.0,0.2,3.0,0.0,0.0,0.0,0.0,0.0,14.8,23.0,14.0,15.0,5.0,3.0,13.0,36.0,36.1,23.0,18.0,3.0,15.0,7.0,30.0,37.0,2.0,14.8,949.0,60.0,327.0,337.0,293.0,43.0,949.0,57.0,23.0,40.4,27.0,47.4,510.0,3260.0,1642.0,65.0,29.0,16.0,38.0,15.0,570.0,122.0,19,"1,329",70,38.9,14.8,14.0,81.0,5.0,5.0,40.0,0.0,1.89,23.0,10.0,13.0,0.88,1.22,19.7,18.6,1.1,0.07,0.21,14.8,3.0,0.0,0.0,17.0,11.0,0.0,48.0,7.0,14.0,0.0,0.0,0.0,69.0,9.0,12.0,42.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Danny Ings,FW,30,18.0,8,824,9.2,6.0,0.0,6.0,4.0,2.0,2.0,3.0,0.0,5.3,3.8,1.2,5.0,15.0,12.0,46.0,0.66,0.0,0.66,0.44,0.44,0.59,0.13,0.71,0.41,0.54,9.2,6.0,25.0,12.0,48.0,2.73,1.31,0.16,0.33,15.5,0.0,2.0,2.0,5.3,3.8,0.15,0.7,0.2,9.2,114.0,162.0,70.4,1371.0,289.0,76.0,97.0,78.4,27.0,34.0,79.4,3.0,12.0,25.0,0.0,1.2,0.6,-1.2,9.0,7.0,4.0,0.0,12.0,9.2,162.0,152.0,10.0,0.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,114.0,0.0,6.0,9.2,16.0,1.75,12.0,0.0,2.0,2.0,0.0,0.0,1.0,0.11,0.0,0.0,1.0,0.0,0.0,0.0,9.2,10.0,5.0,1.0,6.0,3.0,1.0,6.0,16.7,5.0,12.0,1.0,11.0,1.0,11.0,11.0,0.0,9.2,267.0,12.0,26.0,106.0,139.0,49.0,265.0,16.0,10.0,62.5,6.0,37.5,163.0,718.0,260.0,15.0,6.0,9.0,20.0,17.0,186.0,46.0,18,824,46,24.1,9.2,8.0,80.0,3.0,10.0,19.0,1.0,1.33,9.0,13.0,-4.0,-0.44,-0.75,13.6,12.6,1.0,0.11,0.22,9.2,3.0,0.0,0.0,8.0,5.0,9.0,4.0,1.0,5.0,0.0,0.0,0.0,19.0,16.0,12.0,57.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Philippe Coutinho,"MF,FW",30,20.0,7,788,8.8,1.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,1.4,1.4,0.5,1.8,18.0,48.0,68.0,0.11,0.0,0.11,0.11,0.11,0.16,0.05,0.21,0.16,0.21,8.8,1.0,21.0,8.0,38.1,2.4,0.91,0.05,0.13,21.6,2.0,0.0,0.0,1.4,1.4,0.07,-0.4,-0.4,8.8,288.0,384.0,75.0,4081.0,976.0,180.0,210.0,85.7,82.0,112.0,73.2,17.0,36.0,47.2,0.0,0.5,0.8,-0.5,8.0,30.0,8.0,2.0,48.0,8.8,384.0,352.0,30.0,13.0,5.0,1.0,19.0,5.0,6.0,3.0,1.0,0.0,288.0,2.0,7.0,8.8,24.0,2.74,19.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.8,19.0,14.0,8.0,8.0,3.0,9.0,15.0,60.0,6.0,11.0,1.0,10.0,4.0,23.0,2.0,0.0,8.8,500.0,2.0,34.0,259.0,213.0,24.0,500.0,34.0,14.0,41.2,15.0,44.1,309.0,1747.0,739.0,18.0,28.0,5.0,23.0,17.0,369.0,68.0,20,788,39,23.0,8.8,7.0,72.0,1.0,13.0,22.0,2.0,1.1,9.0,9.0,0.0,0.0,-0.17,9.3,8.3,0.9,0.1,0.21,8.8,3.0,0.0,0.0,16.0,14.0,2.0,19.0,4.0,14.0,0.0,0.0,0.0,41.0,3.0,13.0,18.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Leander Dendoncker,MF,27,20.0,7,697,7.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.5,0.5,1.0,18.0,2.0,0.0,0.0,0.0,0.0,0.0,0.01,0.06,0.07,0.01,0.07,7.7,0.0,2.0,0.0,0.0,0.26,0.0,0.0,26.9,0.0,0.0,0.0,0.1,0.1,0.03,-0.1,-0.1,,7.7,248.0,284.0,87.3,3948.0,809.0,119.0,128.0,93.0,111.0,121.0,91.7,11.0,18.0,61.1,0.0,0.5,0.1,-0.5,5.0,17.0,0.0,0.0,18.0,7.7,284.0,278.0,5.0,4.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,248.0,1.0,5.0,7.7,8.0,1.03,6.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.7,19.0,9.0,11.0,6.0,2.0,11.0,21.0,52.4,10.0,19.0,4.0,15.0,10.0,29.0,12.0,0.0,7.7,365.0,21.0,102.0,219.0,46.0,7.0,365.0,5.0,3.0,60.0,2.0,40.0,171.0,852.0,271.0,1.0,6.0,1.0,8.0,3.0,207.0,2.0,20,697,35,20.4,7.7,7.0,75.0,2.0,13.0,13.0,7.0,1.55,13.0,11.0,2.0,0.26,0.16,10.7,11.0,-0.4,-0.05,0.02,7.7,0.0,0.0,0.0,1.0,1.0,0.0,2.0,10.0,9.0,0.0,0.0,0.0,36.0,10.0,8.0,55.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Calum Chambers,"DF,MF",27,14.0,2,353,3.9,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.1,0.1,0.3,0.4,6.0,16.0,2.0,0.0,0.0,0.0,0.0,0.0,0.03,0.07,0.1,0.03,0.1,3.9,0.0,2.0,0.0,0.0,0.51,0.0,0.0,21.6,0.0,0.0,0.0,0.1,0.1,0.06,-0.1,-0.1,,3.9,157.0,207.0,75.8,2924.0,1310.0,66.0,76.0,86.8,77.0,94.0,81.9,14.0,31.0,45.2,0.0,0.3,0.2,-0.3,2.0,9.0,2.0,1.0,16.0,3.9,207.0,191.0,13.0,4.0,0.0,1.0,4.0,9.0,0.0,0.0,0.0,0.0,157.0,3.0,1.0,3.9,6.0,1.53,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9,9.0,6.0,7.0,2.0,0.0,6.0,8.0,75.0,2.0,5.0,4.0,1.0,7.0,16.0,10.0,1.0,3.9,245.0,30.0,119.0,96.0,32.0,2.0,245.0,0.0,0.0,0.0,139.0,794.0,540.0,6.0,4.0,0.0,2.0,1.0,149.0,2.0,,,14,353,25,10.3,3.9,2.0,90.0,2.0,12.0,14.0,22.0,2.07,4.0,4.0,0.0,0.0,-0.15,3.5,5.6,-2.1,-0.53,-0.53,3.9,2.0,0.0,0.0,7.0,2.0,0.0,4.0,7.0,6.0,0.0,0.0,0.0,23.0,3.0,6.0,33.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Robin Olsen,GK,32,4.0,2,281,3.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,3.1,74.0,131.0,56.5,2049.0,1522.0,17.0,18.0,94.4,30.0,30.0,100.0,27.0,80.0,33.8,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.1,131.0,89.0,40.0,12.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0,2.0,1.0,3.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.1,141.0,119.0,139.0,2.0,0.0,0.0,141.0,0.0,0.0,0.0,80.0,405.0,198.0,0.0,0.0,0.0,1.0,0.0,57.0,0.0,,,4,281,70,8.2,3.1,2.0,90.0,2.0,2.0,51.0,30.0,1.0,4.0,8.0,-4.0,-1.28,-1.54,3.7,8.6,-4.9,-1.56,-1.64,3.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Diego Carlos,DF,29,3.0,2,205,2.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.0,0.4,1.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.02,0.18,0.16,0.18,2.3,0.0,4.0,0.0,0.0,1.76,0.0,0.0,15.7,0.0,0.0,0.0,0.4,0.4,0.09,-0.4,-0.4,,2.3,112.0,142.0,78.9,2338.0,881.0,35.0,41.0,85.4,60.0,71.0,84.5,17.0,28.0,60.7,0.0,0.0,0.1,0.0,1.0,9.0,1.0,0.0,11.0,2.3,142.0,136.0,5.0,4.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,112.0,1.0,1.0,2.3,3.0,1.32,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,2.0,2.0,0.0,1.0,2.0,2.0,0.0,2.3,156.0,11.0,54.0,94.0,11.0,4.0,156.0,0.0,0.0,0.0,100.0,348.0,193.0,1.0,3.0,0.0,2.0,0.0,111.0,0.0,,,3,205,68,6.0,2.3,2.0,90.0,1.0,1.0,26.0,11.0,1.0,2.0,3.0,-1.0,-0.44,-0.61,3.6,1.9,1.7,0.74,0.85,2.3,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,14.0,6.0,3.0,66.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Bertrand Traoré,"FW,MF",26,8.0,1,233,2.6,2.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,0.7,0.7,0.1,0.8,9.0,9.0,28.0,0.77,0.0,0.77,0.77,0.77,0.28,0.03,0.3,0.28,0.3,2.6,2.0,9.0,3.0,33.3,3.48,1.16,0.22,0.67,16.4,0.0,0.0,0.0,0.7,0.7,0.08,1.3,1.3,2.6,59.0,75.0,78.7,868.0,258.0,36.0,40.0,90.0,18.0,21.0,85.7,3.0,5.0,60.0,0.0,0.1,0.1,-0.1,1.0,1.0,5.0,3.0,9.0,2.6,75.0,72.0,2.0,0.0,0.0,2.0,5.0,1.0,1.0,1.0,0.0,0.0,59.0,1.0,5.0,2.6,4.0,1.55,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6,1.0,1.0,1.0,0.0,0.0,1.0,4.0,25.0,3.0,5.0,0.0,5.0,2.0,3.0,0.0,0.0,2.6,114.0,0.0,8.0,41.0,66.0,13.0,114.0,4.0,1.0,25.0,3.0,75.0,81.0,462.0,246.0,9.0,3.0,5.0,8.0,7.0,89.0,28.0,8,233,29,6.8,2.6,1.0,45.0,0.0,7.0,27.0,8.0,1.75,6.0,1.0,5.0,1.93,1.93,5.8,1.8,4.0,1.55,1.72,2.6,1.0,0.0,0.0,2.0,8.0,3.0,5.0,2.0,1.0,0.0,0.0,0.0,8.0,2.0,4.0,33.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Jan Bednarek,DF,26,3.0,1,100,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,1.1,60.0,66.0,90.9,1249.0,418.0,16.0,17.0,94.1,33.0,35.0,94.3,10.0,12.0,83.3,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,5.0,1.1,66.0,64.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,1.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1,3.0,3.0,0.0,3.0,0.0,1.0,1.0,100.0,0.0,3.0,1.0,2.0,2.0,5.0,5.0,0.0,1.1,79.0,9.0,39.0,40.0,1.0,0.0,79.0,0.0,0.0,0.0,47.0,291.0,177.0,1.0,0.0,0.0,0.0,0.0,53.0,0.0,,,3,100,33,2.9,1.1,1.0,45.0,0.0,2.0,28.0,10.0,1.33,0.0,1.0,-1.0,-0.9,-1.06,2.4,1.1,1.3,1.17,1.27,1.1,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,4.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Ludwig Augustinsson,DF,28,3.0,1,77,0.9,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.0,0.1,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.1,0.1,0.9,0.0,2.0,1.0,50.0,2.34,1.17,0.0,0.0,12.7,0.0,0.0,0.0,0.1,0.1,0.04,-0.1,-0.1,0.9,26.0,43.0,60.5,421.0,176.0,13.0,16.0,81.3,10.0,16.0,62.5,2.0,8.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,43.0,34.0,9.0,1.0,0.0,0.0,5.0,8.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,,0.9,51.0,3.0,19.0,15.0,17.0,2.0,51.0,1.0,0.0,0.0,1.0,100.0,29.0,180.0,27.0,0.0,2.0,0.0,0.0,0.0,21.0,3.0,3,77,26,2.3,0.9,1.0,44.0,0.0,2.0,17.0,9.0,1.67,1.0,0.0,1.0,1.17,1.06,2.5,0.8,1.6,1.92,2.02,0.9,1.0,0.0,0.0,1.0,3.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,9.0,4.0,1.0,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Jhon Durán,"FW,MF",18,12.0,0,136,1.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.6,0.6,0.0,0.6,4.0,4.0,13.0,0.0,0.0,0.0,0.0,0.0,0.37,0.02,0.39,0.37,0.39,1.5,0.0,7.0,2.0,28.6,4.63,1.32,0.0,0.0,19.8,0.0,0.0,0.0,0.6,0.6,0.08,-0.6,-0.6,1.5,16.0,29.0,55.2,264.0,47.0,8.0,12.0,66.7,7.0,12.0,58.3,1.0,2.0,50.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,4.0,1.5,29.0,26.0,3.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,16.0,0.0,1.0,1.5,5.0,3.31,3.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,2.0,2.0,0.0,1.0,1.0,1.0,4.0,25.0,3.0,0.0,0.0,0.0,2.0,4.0,2.0,0.0,1.5,57.0,3.0,3.0,26.0,29.0,6.0,57.0,2.0,1.0,50.0,1.0,50.0,33.0,205.0,123.0,4.0,5.0,1.0,8.0,3.0,41.0,13.0,12,136,11,4.0,1.5,0.0,0.0,12.0,11.0,5.0,1.42,3.0,4.0,-1.0,-0.66,-0.83,1.7,3.8,-2.2,-1.45,-1.45,,1.5,1.0,0.0,0.0,9.0,3.0,3.0,2.0,2.0,2.0,0.0,0.0,0.0,5.0,7.0,10.0,41.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Cameron Archer,"FW,MF",21,6.0,0,49,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.5,8.0,12.0,66.7,108.0,44.0,5.0,5.0,100.0,3.0,5.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,,0.5,12.0,11.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.5,15.0,0.0,1.0,8.0,7.0,3.0,15.0,1.0,1.0,100.0,0.0,0.0,15.0,114.0,72.0,3.0,1.0,1.0,2.0,3.0,13.0,3.0,6,49,8,1.4,0.5,0.0,0.0,6.0,8.0,8.0,1.17,0.0,1.0,-1.0,-1.84,-2.0,0.2,0.4,-0.1,-0.25,-0.19,,0.5,0.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Morgan Sanson,MF,27,2.0,0,11,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.1,5.0,7.0,71.4,55.0,12.0,3.0,4.0,75.0,1.0,2.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,0.1,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,2.0,1.0,1.0,1.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.1,9.0,1.0,1.0,4.0,4.0,0.0,9.0,0.0,0.0,0.0,5.0,11.0,9.0,0.0,0.0,0.0,1.0,0.0,5.0,0.0,,,2,11,6,0.3,0.1,0.0,0.0,2.0,6.0,11.0,3.0,0.0,1.0,-1.0,-8.18,-8.34,0.0,0.4,-0.4,-3.44,-3.39,,0.1,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Lamare Bogarde,"DF,MF",18,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
