,0,1,2018,2019,2020,2021,2022,2023
55,Eric Dier,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/175722,40,40,20,22,28,18
56,Davinson S?≠nchez,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/341429,40,55,48,32,28,15
57,Son Heung-min,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/91845,50,80,64,85,75,50
58,Ben Davies,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/192765,25,25,17.5,16,20,15
59,Kieran Trippier,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/95810,20,35,,,,11
60,Mousa Demb??l??,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/19368,18,,,,,
61,Serge Aurier,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/127032,20,18,16,20,,8
62,Moussa Sissoko,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/46001,18,25,20,10,4.5,
63,Toby Alderweireld,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/42710,40,40,24,11,,
64,Danny Rose,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/50174,30,25,,3,2.2,
65,Harry Winks,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/249126,15,25,28,20,15,
66,Victor Wanyama,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/77760,30,20,,,,
67,??rik Lamela,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/111630,20,18,20,16,,
68,Lucas Moura,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/77100,,40,32,25,20,6
69,Kyle Walker-Peters,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/341051,3,3.5,8,18,22,25
70,Fernando Llorente,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/35564,7,3.5,,,,
71,Juan Foyth,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/480763,5,15,13.5,,,
72,Mohamed Salah,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/148455,150,150,120,100,80,65
73,Roberto Firmino,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/131789,80,80,72,50,32,18
74,Sadio Man??,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/200512,70,120,120,85,70,
75,Georginio Wijnaldum,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/49499,30,50,40,30,,
76,Jordan Henderson,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/61651,25,35,28,20,15,10
77,Dejan Lovren,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/37838,20,20,16,,,
78,Emre Can,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/119296,30,,,,,
79,Jo?Æl Matip,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/82105,25,30,32,18,18,12
80,Andrew Robertson,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/234803,25,60,64,65,65,40
81,Joe Gomez,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/256178,22,35,40,30,18,22
82,Loris Karius,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/85864,12,,,,,
83,Simon Mignolet,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/50219,10,8,,,,
84,Trent Alexander-Arnold,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/314353,25,80,110,75,80,65
85,James Milner,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/3333,15,15,6.5,3,2,1.5
86,Ragnar Klavan,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/26669,3.5,,,,,
87,Alex Oxlade-Chamberlain,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/143424,40,35,28,18,16,7
88,Alberto Moreno,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/207917,10,9,,,,
89,Virgil van Dijk,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/139208,50,90,80,55,55,35
90,Philippe Coutinho,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/80444,,,,,,10
91,Dominic Solanke,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/258889,10,18,12,12,16,20
92,Daniel Sturridge,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/47082,,15,,,,
93,Danny Ings,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/134294,8,15,20,22,20,12
94,Nathaniel Clyne,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/85177,20,12,8,3,2,2
95,Adam Lallana,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/43530,25,15,9.5,4,2,1.2
