,Player,Pos,Age,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att.1,Thr,Launch%,AvgLen,Att.2,Launch%.1,AvgLen.1,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,MP,Starts,Min,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKsv,PKm,Save%.1,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,Recov,Won,Lost,Won%,Mn/MP,Min%,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off.1,Touches,Def,Def.1,Mid,Live,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Tkl,Tkl.1,Tkl%,Blocks,Sh,Pass,Tkl+Int,Clr,Err,SCA,SCA90,PassLive,PassDead,TO,GCA,GCA90,PassLive.1,PassDead.1,TO.1,Sh.1,Fld.1,Dead,TB,Sw,TI,In,Out,Str,Cmp.1,Cmp%.1,Cmp.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,Ast,xAG,xA,A-xAG,KP,PPA,CrsPA,PrgP,Gls,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,PK,xG,npxG,npxG/Sh,G-xG,np:G-xG,G+A,G-PK,npxG+xAG,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,xG.1,xAG.1,xG+xAG,npxG.1,npxG+xAG.1
40,Boubacar Kamara,MF,22,19.7,,,,,,,,,,,,,,,,,,,,,,,,,,24.0,21.0,"1,777",,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.0,52.0,83.0,14.0,3.0,14.0,0.0,1.63,28.0,30.0,-2.0,-0.1,-0.48,24.2,33.1,-8.9,-0.45,-0.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,Matty Cash,DF,24,20.2,,,,,,,,,,,,,,,,,,,,,,,,,,26.0,20.0,"1,820",,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.0,53.2,85.0,15.0,6.0,21.0,1.0,1.46,28.0,29.0,-1.0,-0.05,-0.39,28.7,27.4,1.3,0.06,0.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,Lucas Digne,DF,29,16.7,,,,,,,,,,,,,,,,,,,,,,,,,,28.0,18.0,"1,502",,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.0,43.9,75.0,10.0,10.0,15.0,4.0,1.46,22.0,25.0,-3.0,-0.18,-0.56,19.9,25.7,-5.8,-0.35,-0.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,Álex Moreno,DF,29,14.8,,,,,,,,,,,,,,,,,,,,,,,,,,19.0,14.0,"1,329",,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.0,38.9,81.0,5.0,5.0,40.0,0.0,1.89,23.0,10.0,13.0,0.88,1.22,19.7,18.6,1.1,0.07,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,Danny Ings,FW,30,9.2,,,,,,,,,,,,,,,,,,,,,,,,,,18.0,8.0,824,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.0,24.1,80.0,3.0,10.0,19.0,1.0,1.33,9.0,13.0,-4.0,-0.44,-0.75,13.6,12.6,1.0,0.11,0.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,Philippe Coutinho,"MF,FW",30,8.8,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,7.0,788,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.0,23.0,72.0,1.0,13.0,22.0,2.0,1.1,9.0,9.0,0.0,0.0,-0.17,9.3,8.3,0.9,0.1,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,Leander Dendoncker,MF,27,7.7,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,7.0,697,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.0,20.4,75.0,2.0,13.0,13.0,7.0,1.55,13.0,11.0,2.0,0.26,0.16,10.7,11.0,-0.4,-0.05,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,Calum Chambers,"DF,MF",27,3.9,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,2.0,353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.0,10.3,90.0,2.0,12.0,14.0,22.0,2.07,4.0,4.0,0.0,0.0,-0.15,3.5,5.6,-2.1,-0.53,-0.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,Robin Olsen,GK,32,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,2.0,281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.0,8.2,90.0,2.0,2.0,51.0,30.0,1.0,4.0,8.0,-4.0,-1.28,-1.54,3.7,8.6,-4.9,-1.56,-1.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,Diego Carlos,DF,29,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,2.0,205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.0,6.0,90.0,1.0,1.0,26.0,11.0,1.0,2.0,3.0,-1.0,-0.44,-0.61,3.6,1.9,1.7,0.74,0.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,Bertrand Traoré,"FW,MF",26,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,1.0,233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.0,6.8,45.0,0.0,7.0,27.0,8.0,1.75,6.0,1.0,5.0,1.93,1.93,5.8,1.8,4.0,1.55,1.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,Jan Bednarek,DF,26,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,1.0,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.0,2.9,45.0,0.0,2.0,28.0,10.0,1.33,0.0,1.0,-1.0,-0.9,-1.06,2.4,1.1,1.3,1.17,1.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,Ludwig Augustinsson,DF,28,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,1.0,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.0,2.3,44.0,0.0,2.0,17.0,9.0,1.67,1.0,0.0,1.0,1.17,1.06,2.5,0.8,1.6,1.92,2.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,Jhon Durán,"FW,MF",18,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,0.0,136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,4.0,0.0,12.0,11.0,5.0,1.42,3.0,4.0,-1.0,-0.66,-0.83,1.7,3.8,-2.2,-1.45,-1.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,Cameron Archer,"FW,MF",21,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,0.0,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,1.4,0.0,6.0,8.0,8.0,1.17,0.0,1.0,-1.0,-1.84,-2.0,0.2,0.4,-0.1,-0.25,-0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,Morgan Sanson,MF,27,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,0.3,0.0,2.0,6.0,11.0,3.0,0.0,1.0,-1.0,-8.18,-8.34,0.0,0.4,-0.4,-3.44,-3.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,Lamare Bogarde,"DF,MF",18,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,Tim Iroegbunam,MF,19,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,Filip Marshall,GK,19,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,Marvelous Nakamba,MF,28,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,Tommi O'Reilly,MF,18,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,Travis Patterson,MF,16,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,Seb Revan,DF,19,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,Viljami Sinisalo,GK,20,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,Sil Swinkels,DF,18,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,James Wright,GK,17,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,Kadan Young,MF,16,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,Oliwier Zych,GK,18,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,Ezri Konsa,DF,24,36.9,,,,,,,,,,,70.0,,22.0,,,,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2192.0,349.0,1280.0,850.0,2192.0,5.0,33.3,3.0,20.0,1375.0,6226.0,3596.0,7.0,9.0,0.0,15.0,5.0,1533.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,Emiliano Martínez,GK,29,34.9,,,,,,,,,,,0.0,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1479.0,1218.0,1463.0,17.0,1479.0,0.0,0.0,851.0,4474.0,2627.0,0.0,0.0,0.0,2.0,0.0,707.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,Ollie Watkins,FW,26,34.7,,,,,,,,,,,488.0,,164.0,,,,65.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,927.0,47.0,86.0,365.0,925.0,18.0,27.7,36.0,55.4,475.0,2519.0,1164.0,50.0,24.0,32.0,82.0,39.0,684.0,196.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,Tyrone Mings,DF,29,35.0,,,,,,,,,,,81.0,,21.0,,,,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2228.0,384.0,1276.0,877.0,2228.0,6.0,50.0,3.0,25.0,1379.0,7995.0,4556.0,20.0,21.0,3.0,8.0,7.0,1486.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,Douglas Luiz,MF,24,32.5,,,,,,,,,,,443.0,,19.0,,,,44.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2118.0,75.0,534.0,1161.0,2117.0,24.0,54.5,14.0,31.8,1142.0,6297.0,2922.0,48.0,39.0,4.0,36.0,33.0,1326.0,35.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,Jacob Ramsey,"MF,FW",21,29.3,,,,,,,,,,,422.0,,85.0,,,,77.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1245.0,57.0,238.0,609.0,1245.0,31.0,40.3,31.0,40.3,752.0,5322.0,2656.0,94.0,62.0,21.0,62.0,37.0,819.0,119.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,John McGinn,"MF,FW",27,29.9,,,,,,,,,,,388.0,,45.0,,,,70.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1348.0,37.0,218.0,756.0,1348.0,45.0,64.3,14.0,20.0,804.0,4072.0,1799.0,34.0,35.0,8.0,58.0,35.0,888.0,66.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,Emi Buendía,"MF,FW",25,26.8,,,,,,,,,,,516.0,,93.0,,,,59.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1336.0,38.0,202.0,634.0,1336.0,27.0,45.8,26.0,44.1,829.0,3957.0,1970.0,60.0,46.0,19.0,63.0,58.0,955.0,137.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,Leon Bailey,"FW,MF",24,21.9,,,,,,,,,,,456.0,,89.0,,,,111.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,813.0,16.0,91.0,283.0,813.0,40.0,36.0,55.0,49.5,520.0,4022.0,1703.0,85.0,33.0,38.0,48.0,53.0,561.0,182.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,Ashley Young,DF,37,22.6,,,,,,,,,,,252.0,,10.0,,,,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1411.0,86.0,502.0,675.0,1411.0,8.0,36.4,10.0,45.5,701.0,3235.0,1554.0,29.0,20.0,4.0,18.0,5.0,767.0,33.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,Boubacar Kamara,MF,22,19.7,,,,,,,,,,,132.0,,10.0,,,,35.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1145.0,65.0,362.0,662.0,1145.0,16.0,45.7,12.0,34.3,622.0,2571.0,1173.0,16.0,11.0,1.0,20.0,14.0,713.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,Matty Cash,DF,24,20.2,,,,,,,,,,,258.0,,11.0,,,,33.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1215.0,76.0,423.0,545.0,1215.0,16.0,48.5,9.0,27.3,610.0,3143.0,1677.0,42.0,33.0,4.0,24.0,7.0,652.0,57.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,Lucas Digne,DF,29,16.7,,,,,,,,,,,342.0,,24.0,,,,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1096.0,64.0,365.0,396.0,1096.0,3.0,16.7,11.0,61.1,552.0,2363.0,1262.0,29.0,14.0,2.0,16.0,12.0,625.0,89.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,Álex Moreno,DF,29,14.8,,,,,,,,,,,293.0,,43.0,,,,57.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,949.0,60.0,327.0,337.0,949.0,23.0,40.4,27.0,47.4,510.0,3260.0,1642.0,65.0,29.0,16.0,38.0,15.0,570.0,122.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,Danny Ings,FW,30,9.2,,,,,,,,,,,139.0,,49.0,,,,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,267.0,12.0,26.0,106.0,265.0,10.0,62.5,6.0,37.5,163.0,718.0,260.0,15.0,6.0,9.0,20.0,17.0,186.0,46.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,Philippe Coutinho,"MF,FW",30,8.8,,,,,,,,,,,213.0,,24.0,,,,34.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500.0,2.0,34.0,259.0,500.0,14.0,41.2,15.0,44.1,309.0,1747.0,739.0,18.0,28.0,5.0,23.0,17.0,369.0,68.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,Leander Dendoncker,MF,27,7.7,,,,,,,,,,,46.0,,7.0,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,365.0,21.0,102.0,219.0,365.0,3.0,60.0,2.0,40.0,171.0,852.0,271.0,1.0,6.0,1.0,8.0,3.0,207.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,Calum Chambers,"DF,MF",27,3.9,,,,,,,,,,,32.0,,2.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,245.0,30.0,119.0,96.0,245.0,0.0,0.0,139.0,794.0,540.0,6.0,4.0,0.0,2.0,1.0,149.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,Robin Olsen,GK,32,3.1,,,,,,,,,,,0.0,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,141.0,119.0,139.0,2.0,141.0,0.0,0.0,80.0,405.0,198.0,0.0,0.0,0.0,1.0,0.0,57.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,Diego Carlos,DF,29,2.3,,,,,,,,,,,11.0,,4.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,156.0,11.0,54.0,94.0,156.0,0.0,0.0,100.0,348.0,193.0,1.0,3.0,0.0,2.0,0.0,111.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,Bertrand Traoré,"FW,MF",26,2.6,,,,,,,,,,,66.0,,13.0,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114.0,0.0,8.0,41.0,114.0,1.0,25.0,3.0,75.0,81.0,462.0,246.0,9.0,3.0,5.0,8.0,7.0,89.0,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,Jan Bednarek,DF,26,1.1,,,,,,,,,,,1.0,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.0,9.0,39.0,40.0,79.0,0.0,0.0,47.0,291.0,177.0,1.0,0.0,0.0,0.0,0.0,53.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,Ludwig Augustinsson,DF,28,0.9,,,,,,,,,,,17.0,,2.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.0,3.0,19.0,15.0,51.0,0.0,0.0,1.0,100.0,29.0,180.0,27.0,0.0,2.0,0.0,0.0,0.0,21.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,Jhon Durán,"FW,MF",18,1.5,,,,,,,,,,,29.0,,6.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.0,3.0,3.0,26.0,57.0,1.0,50.0,1.0,50.0,33.0,205.0,123.0,4.0,5.0,1.0,8.0,3.0,41.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,Cameron Archer,"FW,MF",21,0.5,,,,,,,,,,,7.0,,3.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,0.0,1.0,8.0,15.0,1.0,100.0,0.0,0.0,15.0,114.0,72.0,3.0,1.0,1.0,2.0,3.0,13.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,Morgan Sanson,MF,27,0.1,,,,,,,,,,,4.0,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,1.0,1.0,4.0,9.0,0.0,0.0,5.0,11.0,9.0,0.0,0.0,0.0,1.0,0.0,5.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,Ezri Konsa,DF,24,36.9,,,,,,,,,,,2.0,,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.0,20.0,,,,,8.0,,,,,,,,,,,,,,,,,,,,,25.0,,15.0,,,,,,,,,,,,,,,,42.0,18.0,69.2,41.0,23.0,18.0,68.0,120.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
