Patrick van Aanholt,48,24,35,11,2,24,40,16,9,24,40,91,2
Sergio Ag?ero,17,9,1,10,6,5,9,4,1,14,9,3,0
Nathan Ak?,66,35,42,21,3,22,35,13,35,16,32,241,0
Marc Albrighton,35,22,18,14,3,13,31,18,3,23,23,30,0
Toby Alderweireld,37,23,25,10,2,12,22,10,22,19,24,175,0
Trent Alexander-Arnold,61,39,31,22,8,36,68,32,3,16,35,68,0
Alisson,2,1,2,0,0,2,2,0,0,0,1,14,6
Dele Alli,33,19,6,14,13,5,24,19,5,28,19,20,0
Miguel Almir?n,20,12,7,10,3,4,10,6,1,13,8,5,0
Marcos Alonso,73,46,44,22,7,33,58,25,2,23,39,101,0
Daniel Amartey,18,12,11,6,1,10,15,5,4,2,17,28,1
Luke Amos,1,0,0,1,0,0,0,0,0,0,0,0,0
Felipe Anderson,89,49,33,44,12,31,101,70,0,71,41,18,1
Florin Andone,10,2,3,4,3,1,6,5,1,8,3,12,0
Michail Antonio,23,14,12,6,5,6,12,6,3,35,18,26,1
Stuart Armstrong,28,20,14,6,8,8,42,34,0,14,12,12,0
Marko Arnautovi?,9,5,4,3,2,1,7,6,2,2,3,6,0
Kepa Arrizabalaga,1,1,1,0,0,1,2,1,0,1,0,4,2
Harry Arter,62,37,27,26,9,16,46,30,5,28,21,21,2
Christian Atsu,24,15,9,11,4,5,16,11,3,10,7,16,0
Pierre-Emerick Aubameyang,21,17,6,9,6,8,28,20,0,26,8,22,0
Serge Aurier,20,12,12,4,4,8,15,7,2,6,7,20,0
Charlie Austin,13,7,3,6,4,6,11,5,2,10,2,13,0
Jordan Ayew,38,23,12,19,7,6,20,14,0,16,7,6,0
Floyd Ayit?,4,4,2,1,1,2,6,4,1,7,7,5,0
C?sar Azpilicueta,105,60,52,40,13,38,67,29,16,47,43,91,3
Ryan Babel,8,4,1,5,2,3,9,6,0,12,6,13,1
Juninho Bacuna,46,29,22,19,5,22,54,32,1,20,24,12,1
Leandro Bacuna,15,10,5,7,3,8,22,14,2,3,15,9,0
Eric Bailly,15,9,14,1,0,8,10,2,4,5,13,39,1
Leighton Baines,8,6,4,3,1,4,6,2,0,2,2,8,0
Fabi?n Balbuena,40,20,34,6,0,16,42,26,15,8,53,175,0
Leon Balogun,12,6,11,1,0,8,9,1,3,2,17,32,1
Sol Bamba,74,42,44,30,0,31,55,24,32,40,82,181,3
Phil Bardsley,32,19,15,14,3,12,21,9,12,13,31,68,1
Ross Barkley,15,10,5,7,3,4,14,10,1,7,9,17,2
Ashley Barnes,28,17,4,17,7,6,29,23,8,21,2,25,0
Harvey Barnes,10,6,5,4,1,4,6,2,1,6,3,7,0
Antonio Barreca,0,0,0,0,0,0,0,0,0,0,0,0,0
Michy Batshuayi,2,1,1,1,0,1,2,1,3,5,3,0,0
Jan Bednarek,41,25,25,16,0,21,37,16,27,17,71,171,0
Asmir Begovi?,0,0,0,0,0,0,3,3,0,1,1,15,7
H?ctor Beller?n,15,12,8,4,3,6,13,7,5,12,20,37,3
Joe Bennett,50,29,34,16,0,22,38,16,8,22,60,93,0
Ryan Bennett,58,32,41,16,1,25,41,16,21,21,43,131,1
Christian Benteke,5,1,0,4,1,1,4,3,2,5,0,14,0
J?hann Berg Gu?mundsson,27,11,14,10,3,16,34,18,4,21,33,34,0
Bernard,49,30,19,22,8,15,55,40,2,35,27,14,1
Bernardo,62,43,43,13,6,31,45,14,13,19,34,82,0
Ryan Bertrand,46,27,22,20,4,16,31,15,5,22,28,51,0
Marcus Bettinelli,0,0,0,0,0,0,0,0,0,0,0,5,0
Philip Billing,73,44,26,39,8,19,42,23,16,41,53,43,0
Yves Bissouma,62,30,33,27,2,20,38,18,5,16,33,29,2
Willy Boly,85,52,49,34,2,34,56,22,32,23,72,177,6
L?o Bonatini,1,1,0,0,1,1,5,4,0,1,0,0,0
Ga?tan Bong,16,10,7,6,3,6,10,4,6,10,25,57,2
Artur Boruc,1,0,1,0,0,1,3,2,0,0,0,1,0
Robbie Brady,15,7,5,5,5,6,17,11,1,6,7,18,1
Miguel Britos,4,2,4,0,0,2,4,2,1,0,3,11,1
David Brooks,37,26,12,19,6,19,44,25,7,29,24,28,0
Bruno,25,16,20,3,2,14,18,4,2,5,11,30,1
Joe Bryan,61,41,35,21,5,24,42,18,12,22,31,82,1
David Button,0,0,0,0,0,0,0,0,0,0,0,2,0
Willy Caballero,0,0,0,0,0,0,0,0,0,0,0,1,0
Gary Cahill,0,0,0,0,0,0,0,0,0,0,0,1,0
Tom Cairney,37,21,9,22,6,12,16,4,5,16,10,13,1
Dominic Calvert-Lewin,13,7,3,3,7,7,15,8,3,13,7,19,0
Rafael Camacho,1,0,1,0,0,1,1,0,0,0,0,0,0
V?ctor Camarasa,28,15,8,15,5,6,31,25,2,15,33,28,1
?tienne Capoue,91,56,36,48,7,33,87,54,13,37,85,96,1
Andy Carroll,4,2,1,3,0,1,4,3,2,1,1,8,0
Jonny Castro,79,43,42,33,4,31,60,29,8,37,60,64,2
Craig Cathcart,50,31,36,11,3,21,37,16,30,12,38,184,4
