Patrick van Aanholt,33,0,2,1.19,44,46,-0.06,44.1,46.3
Sergio Ag?ero,8,2,1,2.61,72,15,+0.68,58.9,17.7
Nathan Ak?,37,0,0,1.18,56,70,-0.37,53.3,57.1
Marc Albrighton,8,9,2,1.37,17,17,-0.15,19.9,23.1
Toby Alderweireld,30,1,3,1.91,56,31,+0.23,46.7,37.0
Trent Alexander-Arnold,20,2,4,2.69,67,14,+0.62,58.8,21.2
Alisson,38,0,0,2.55,89,22,0,73.7,28.8
Dele Alli,10,3,0,1.72,32,21,-0.42,28.7,22.1
Miguel Almir?n,4,1,0,1.70,11,11,+0.20,11.3,9.2
Marcos Alonso,29,0,1,1.97,52,28,+0.78,48.4,29.3
Daniel Amartey,6,2,1,1.44,10,9,+0.08,7.0,8.2
Luke Amos,0,1,1,3.00,0,0,-0.74,0.0,0.0
Felipe Anderson,25,0,0,1.36,48,49,+0.45,43.5,54.6
Florin Andone,0,15,5,0.78,7,14,-0.08,8.2,14.4
Michail Antonio,15,11,2,1.30,29,30,+0.09,29.2,41.6
Stuart Armstrong,3,13,5,0.93,21,26,+0.36,17.7,23.9
Marko Arnautovi?,10,4,0,1.43,28,33,-0.35,27.4,33.4
Kepa Arrizabalaga,36,0,2,1.89,61,39,-0.39,56.4,35.4
Harry Arter,12,1,2,0.88,20,39,+0.16,24.8,30.6
Christian Atsu,8,13,5,1.14,19,18,+0.39,14.5,24.0
Pierre-Emerick Aubameyang,19,6,0,1.86,58,42,-0.25,50.4,44.3
Serge Aurier,4,2,11,2.25,12,9,-0.31,9.8,7.5
Charlie Austin,0,14,10,0.80,11,17,-0.03,12.5,17.0
Jordan Ayew,3,6,16,1.40,15,13,+0.31,14.0,15.5
Floyd Ayit?,1,13,11,0.69,3,13,-0.76,5.1,10.3
C?sar Azpilicueta,37,0,0,1.89,63,39,+0.63,58.5,36.1
Ryan Babel,5,1,0,0.75,14,26,+0.59,17.6,25.5
Juninho Bacuna,9,5,5,0.38,9,37,-0.62,11.2,28.4
Leandro Bacuna,4,7,3,1.36,7,14,-0.24,8.1,9.4
Eric Bailly,5,4,9,2.17,14,13,-0.18,10.0,10.4
Leighton Baines,3,1,25,1.50,8,6,+0.30,4.9,6.2
Fabi?n Balbuena,22,0,4,1.35,33,32,+0.30,30.0,33.9
Leon Balogun,5,3,18,1.25,7,10,+0.25,5.9,8.7
Sol Bamba,27,0,1,0.89,25,52,-0.22,30.2,42.7
Phil Bardsley,17,0,12,1.26,22,27,+0.66,23.8,28.0
Ross Barkley,3,14,9,2.00,28,13,+0.71,23.8,10.9
Ashley Barnes,16,11,1,1.00,35,41,+1.26,34.9,39.2
Harvey Barnes,3,5,1,1.25,19,16,+0.27,21.0,11.2
Antonio Barreca,0,1,2,0.00,0,0,+0.16,0.0,0.2
Michy Batshuayi,1,2,3,2.00,18,11,+1.14,12.4,9.6
Jan Bednarek,23,1,1,1.20,32,37,+0.85,28.8,34.1
Asmir Begovi?,24,0,12,1.13,32,47,-0.70,32.4,35.7
H?ctor Beller?n,15,1,0,1.95,36,21,+0.55,24.7,20.4
Joe Bennett,28,0,7,0.83,25,50,+0.30,32.7,49.1
Ryan Bennett,34,0,2,1.65,44,38,+1.43,49.5,36.5
Christian Benteke,3,7,4,1.25,11,13,-0.22,12.5,15.1
J?hann Berg Gu?mundsson,13,10,2,1.00,24,39,-0.34,23.8,33.9
Bernard,4,9,1,1.44,29,19,+0.56,28.9,26.6
Bernardo,18,3,12,1.09,17,29,+0.09,16.5,23.6
Ryan Bertrand,24,0,1,0.96,26,42,-0.38,32.1,34.2
Marcus Bettinelli,7,0,15,0.71,10,20,-0.24,7.6,15.4
Philip Billing,19,2,1,0.52,15,43,+0.75,17.5,34.2
Yves Bissouma,11,11,6,0.93,16,32,-0.32,16.9,30.8
Willy Boly,34,0,0,1.42,40,41,-0.74,47.9,38.0
L?o Bonatini,0,7,12,1.43,4,0,+2.75,5.1,0.8
Ga?tan Bong,19,3,16,0.77,18,34,-0.29,19.8,38.2
Artur Boruc,12,0,26,1.25,20,18,+0.78,17.5,17.9
Robbie Brady,2,10,5,0.69,8,17,-0.66,11.1,13.2
Miguel Britos,1,1,9,0.33,2,5,-1.35,1.6,4.5
David Brooks,10,1,3,1.37,41,41,+1.09,36.0,35.2
Bruno,9,0,9,1.14,10,17,+0.15,11.2,19.1
Joe Bryan,21,1,4,0.75,22,53,+0.15,28.3,46.4
David Button,4,0,25,1.00,4,5,+0.46,2.9,5.9
Willy Caballero,2,0,36,2.00,2,0,+0.39,2.1,1.0
Gary Cahill,0,2,8,2.00,0,0,-0.64,0.5,0.3
Tom Cairney,13,7,1,0.68,22,51,+0.13,24.7,40.5
Dominic Calvert-Lewin,13,16,2,1.40,29,26,-0.12,27.5,21.7
Rafael Camacho,0,1,7,3.00,0,1,-91.79,0.0,0.1
V?ctor Camarasa,20,1,1,0.88,25,53,-0.24,28.0,46.3
?tienne Capoue,30,0,0,1.36,44,48,+0.44,39.9,49.3
Andy Carroll,1,9,4,1.42,4,7,-0.59,5.9,9.8
Jonny Castro,22,1,1,1.45,37,39,-0.48,39.1,34.3
Craig Cathcart,31,1,1,1.36,49,54,+0.41,44.4,52.9
Ivan Cavaleiro,0,17,9,1.48,10,11,-0.20,11.4,9.0
Petr ?ech,6,0,29,2.14,12,9,-0.14,8.4,7.6
Nathaniel Chalobah,1,6,11,1.22,1,7,-1.97,3.0,5.5
