Patrick van Aanholt,0,12,14,10,0,0,0,216,10,12
Sergio Ag?ero,0,21,25,26,0,0,0,70,17,22
Nathan Ak?,0,28,21,2,1,1,0,182,86,66
Marc Albrighton,0,10,20,2,0,0,0,141,15,18
Toby Alderweireld,0,10,1,1,0,0,1,193,54,47
Trent Alexander-Arnold,0,14,7,4,0,0,0,169,9,23
Alisson,0,0,1,0,0,0,0,70,11,1
Dele Alli,0,23,20,3,0,0,0,124,20,20
Miguel Almir?n,0,6,17,4,0,0,0,61,1,9
Marcos Alonso,0,28,37,2,2,1,0,212,66,54
Daniel Amartey,0,6,1,1,0,1,0,58,14,9
Luke Amos,0,0,0,0,0,0,0,0,1,1
Felipe Anderson,0,27,52,5,0,1,0,227,9,26
Florin Andone,0,28,20,4,0,0,0,42,36,73
Michail Antonio,0,34,44,10,2,0,0,114,79,103
Stuart Armstrong,0,20,21,3,0,1,0,79,17,22
Marko Arnautovi?,0,30,12,21,0,1,0,48,22,24
Kepa Arrizabalaga,0,0,4,0,0,0,0,57,7,0
Harry Arter,0,25,14,2,0,0,0,128,6,14
Christian Atsu,0,13,25,4,0,0,0,86,10,58
Pierre-Emerick Aubameyang,0,13,23,23,1,0,0,66,32,83
Serge Aurier,0,17,2,1,0,0,0,31,12,13
Charlie Austin,0,14,18,9,0,0,0,28,42,80
Jordan Ayew,0,31,25,9,0,0,0,41,32,89
Floyd Ayit?,0,6,7,4,0,0,0,37,6,7
C?sar Azpilicueta,0,39,16,2,1,1,0,201,68,50
Ryan Babel,0,14,16,9,0,0,0,48,15,19
Juninho Bacuna,0,33,22,1,0,1,0,121,17,21
Leandro Bacuna,0,13,3,0,0,0,0,39,7,10
Eric Bailly,0,5,5,0,0,1,0,42,13,4
Leighton Baines,0,2,1,1,0,2,0,15,2,3
Fabi?n Balbuena,0,19,4,0,0,1,0,102,69,60
Leon Balogun,0,5,2,1,0,1,0,27,13,10
Sol Bamba,0,35,12,3,0,2,0,175,93,43
Phil Bardsley,0,22,11,0,0,0,1,70,32,28
Ross Barkley,0,14,27,0,0,0,0,89,19,8
Ashley Barnes,0,54,65,22,1,0,1,77,119,223
Harvey Barnes,0,7,7,2,0,0,0,41,7,8
Antonio Barreca,0,0,0,0,0,0,0,0,0,0
Michy Batshuayi,0,7,2,12,0,0,0,30,12,31
Jan Bednarek,0,22,6,0,0,0,0,129,79,60
Asmir Begovi?,0,0,3,0,0,0,0,20,11,1
H?ctor Beller?n,0,16,6,1,0,0,1,79,21,24
Joe Bennett,0,20,35,1,0,0,0,129,34,17
Ryan Bennett,0,37,11,1,0,2,0,133,119,93
Christian Benteke,0,18,9,10,0,0,0,18,89,60
J?hann Berg Gu?mundsson,0,10,22,2,0,0,0,117,30,33
Bernard,0,17,27,2,0,0,0,180,3,13
Bernardo,0,17,23,2,0,0,0,120,44,29
Ryan Bertrand,0,26,22,0,0,0,0,76,37,43
Marcus Bettinelli,0,0,1,0,0,0,0,4,2,0
Philip Billing,0,37,30,2,0,1,0,174,86,28
Yves Bissouma,0,40,25,2,0,0,0,116,27,31
Willy Boly,0,29,14,3,0,0,0,213,136,62
L?o Bonatini,0,0,0,0,0,0,0,11,1,3
