Patrick van Aanholt,906,1164,13287,5990,545,613,284,361,51,105,1.7,11,71,20,4
Tammy Abraham,149,211,1714,297,85,111,33,46,4,8,0.2,9,14,1,0
Che Adams,431,622,6240,1416,228,308,125,162,34,49,3.0,37,35,23,1
Tosin Adarabioyo,1647,1918,33255,12650,484,551,949,1008,196,318,0.4,5,71,5,0
Adri?n,78,100,1796,1138,24,24,33,34,20,40,0.0,0,0,0,0
Sergio Ag?ero,140,173,1625,219,86,99,34,38,2,2,0.9,7,12,5,1
Ola Aina,1352,1769,22797,9159,642,717,565,704,112,257,1.2,15,92,15,9
Rayan A?t-Nouri,662,805,9828,2664,362,392,248,296,25,57,0.8,14,35,16,6
Semi Ajayi,719,999,13941,6401,264,316,374,460,76,188,0.3,7,68,4,0
Nathan Ak?,709,763,11178,3225,348,363,319,336,26,35,0.2,1,55,2,0
Marc Albrighton,627,933,10197,3898,345,408,193,262,67,157,3.9,38,54,37,14
Thiago Alc?ntara,1545,1735,26781,7745,704,746,597,658,177,221,2.2,30,205,24,0
Toby Alderweireld,1199,1453,24372,8025,365,398,658,713,157,303,0.8,8,64,5,1
R?nar Alex R?narsson,7,11,100,32,3,3,4,4,0,4,0.0,0,0,0,0
Trent Alexander-Arnold,2245,3015,40719,15754,1064,1184,897,1145,256,545,7.5,77,193,101,29
Ezgjan Alioski,1321,1670,20073,7163,703,788,521,619,58,147,2.3,28,87,29,12
Alisson,1000,1157,22600,14023,223,225,578,590,191,330,0.0,0,4,1,0
Allan,908,1068,14950,4370,430,468,354,405,82,116,0.8,17,88,16,1
Dele Alli,275,345,3878,882,151,177,99,109,9,20,0.9,9,15,7,1
Miguel Almir?n,708,895,10715,2430,369,422,245,289,51,92,2.2,31,64,23,7
Marcos Alonso,493,610,7494,2506,278,306,184,221,24,49,1.0,15,29,8,1
Steven Alzate,403,449,6190,1326,216,235,142,150,30,35,0.3,11,37,6,1
Daniel Amartey,414,493,7047,2296,178,195,203,233,26,43,0.1,0,15,2,0
Ethan Ampadu,870,1087,15680,5536,370,424,378,446,102,158,1.1,11,76,14,2
Joachim Andersen,1609,1993,34882,12812,427,491,912,1007,252,442,0.9,8,130,6,1
Elliot Anderson,1,1,13,0,1,1,0,0,0,0,0.0,0,0,0,0
Felipe Anderson,3,5,45,23,1,2,2,3,0,0,0.0,0,0,0,0
Michail Antonio,316,494,4273,796,192,266,78,122,18,30,1.8,27,24,13,2
Alphonse Areola,746,1014,18222,12486,272,274,254,256,204,465,0.0,0,12,1,0
Stuart Armstrong,1021,1298,15050,4362,563,653,360,420,51,78,1.8,35,80,40,7
Kepa Arrizabalaga,202,246,4701,2827,45,46,103,104,52,94,0.0,0,2,0,0
Pierre-Emerick Aubameyang,499,674,6849,1366,319,380,137,197,24,38,3.0,22,29,22,4
Serge Aurier,772,980,10939,4252,449,499,255,333,33,59,1.9,18,31,18,9
Charlie Austin,23,34,297,111,17,20,4,7,1,2,0.0,0,2,0,0
Jordan Ayew,519,667,6434,1218,323,368,136,177,13,25,1.4,13,23,12,2
Luke Ayling,2161,2770,39595,16160,910,1029,956,1148,248,451,3.2,27,179,32,12
C?sar Azpilicueta,1787,2081,27154,9701,935,1012,739,822,62,134,2.4,27,123,22,3
Eric Bailly,497,564,9002,3349,185,200,268,299,37,49,0.1,0,26,0,0
Fabi?n Balbuena,362,488,7770,3294,105,127,199,225,55,119,0.1,0,30,1,0
George Baldock,888,1153,11908,3743,582,647,229,305,36,98,1.8,18,47,23,7
Gareth Bale,285,416,5015,1496,142,173,87,126,41,72,1.2,21,24,17,3
Patrick Bamford,394,516,4378,832,238,290,85,111,6,10,1.7,30,18,11,1
Phil Bardsley,104,162,1713,640,50,56,41,63,11,30,0.1,0,6,4,2
Ross Barkley,640,795,10363,2800,330,383,214,255,65,97,2.4,39,46,25,0
Ross Barkley1,23,27,437,98,11,14,7,8,5,5,0.0,1,1,1,0
Ashley Barnes,189,315,2362,506,124,170,38,63,8,22,0.8,18,15,6,1
Harvey Barnes,459,637,6331,1534,272,343,135,171,20,37,2.4,26,38,17,1
Kyle Bartley,647,842,12274,4688,223,266,345,412,64,131,0.9,7,47,4,0
Chris Basham,939,1153,14844,4412,493,557,364,426,62,116,0.9,11,50,14,6
Michy Batshuayi,122,174,1523,293,81,99,30,37,3,5,1.0,9,8,5,0
Jan Bednarek,1734,2115,29051,11094,792,885,795,893,108,269,1.0,5,77,3,0
Donny van de Beek,237,275,3308,739,146,163,74,80,8,12,0.8,3,12,1,0
H?ctor Beller?n,1080,1324,15904,4280,603,676,416,497,31,54,2.6,20,69,26,9
Sa?d Benrahma,411,536,5618,1648,251,279,120,161,17,46,3.2,27,43,20,8
Josh Benson,62,85,738,273,37,38,15,24,2,7,0.1,0,7,0,0
Christian Benteke,339,583,4059,800,229,359,63,124,14,19,1.0,15,27,11,1
Gaetano Berardi,50,63,785,388,24,27,23,28,2,5,0.0,0,2,1,0
J?hann Berg Gu?mundsson,355,473,5201,1224,206,243,100,131,28,61,0.8,9,25,12,4
Sander Berge,378,464,5944,1357,198,229,138,154,28,45,0.8,13,28,4,2
Steven Bergwijn,350,430,4248,714,228,254,90,117,4,17,0.8,13,15,8,0
Bernard,219,270,3230,813,116,129,81,96,11,18,0.8,10,17,11,3
Bernardo,61,85,878,251,38,45,17,22,2,4,0.1,2,3,3,1
Ryan Bertrand,1186,1569,17245,6420,675,773,417,537,45,141,2.0,14,64,22,6
Yves Bissouma,1476,1697,25694,5672,637,693,661,725,135,189,1.4,16,145,16,1
Jayden Bogle,296,387,3834,1410,189,214,71,96,8,28,0.4,4,14,9,1
Willy Boly,855,1037,14746,5591,339,389,430,479,58,125,0.3,3,49,1,0
Jarrod Bowen,493,752,8489,1874,237,301,162,226,63,128,4.1,29,22,21,6
Robbie Brady,257,403,4172,1284,151,182,68,109,30,74,0.6,7,23,6,4
Rhian Brewster,157,225,2231,556,98,125,37,54,12,22,0.6,11,15,4,3
Nathan Broadhead,2,2,14,2,1,1,0,0,0,0,0.0,0,0,0,0
Josh Brownhill,927,1198,12848,3119,561,644,252,330,57,113,1.4,18,64,16,2
Joe Bryan,298,430,4684,1996,160,188,112,147,18,62,0.4,5,27,5,3
Kean Bryan,333,486,5901,2652,151,179,140,183,32,94,0.1,4,24,3,2
Oliver Burke,178,262,1997,309,114,150,31,45,4,8,1.5,15,5,10,0
Dan Burn,954,1280,14625,4510,508,616,365,461,53,126,1.0,10,75,14,7
Jack Butland,6,22,215,178,1,1,2,2,3,18,0.0,0,1,0,0
David Button,18,37,693,571,2,2,5,5,11,30,0.0,0,1,0,0
Oskar Buur,14,15,204,40,5,5,8,8,0,1,0.0,0,0,0,0
Willy Caballero,24,26,449,362,9,9,12,12,3,5,0.0,0,0,0,0
Gary Cahill,615,748,11797,4658,230,272,310,340,64,116,1.0,8,35,2,0
Tom Cairney,560,632,9963,2060,247,258,226,246,69,96,1.1,17,51,10,6
Dominic Calvert-Lewin,469,691,6095,1186,287,388,112,167,21,28,2.1,18,36,12,1
Jo?o Cancelo,1815,2128,27535,7458,1038,1117,603,711,117,180,5.6,42,142,68,8
Andy Carroll,85,139,1186,322,57,83,20,27,6,11,0.2,2,11,3,0
Scott Carson,15,16,270,190,3,3,11,11,0,1,0.0,0,0,0,0
Fabio Carvalho,67,89,883,100,43,50,17,22,3,4,0.3,2,2,2,0
Matty Cash,959,1320,16255,6050,478,542,361,480,101,244,1.7,21,73,23,19
Kiko Casilla,87,98,1824,1175,27,27,43,45,16,25,0.0,0,0,0,0
Timothy Castagne,1284,1545,18542,6211,754,838,443,524,54,101,1.3,22,96,22,7
Jonny Castro,185,243,2425,803,123,141,49,64,6,17,0.1,2,6,0,0
Ivan Cavaleiro,589,857,8802,2103,317,395,179,257,46,100,2.4,43,26,32,12
Edinson Cavani,264,343,3854,561,141,178,84,102,17,20,1.6,14,16,9,1
Dani Ceballos,1126,1310,19849,5172,504,559,476,521,118,165,2.1,27,125,18,4
Calum Chambers,466,593,7510,2180,238,275,195,240,29,61,0.9,11,29,12,6
Ben Chilwell,1431,1839,21008,6743,823,900,448,592,92,199,2.6,30,90,26,10
Hamza Choudhury,192,239,3094,528,94,113,78,93,11,18,0.0,0,7,0,0
Andreas Christensen,1046,1149,19614,6590,363,395,573,603,90,114,0.3,6,50,2,0
Carney Chukwuemeka,6,9,88,13,5,6,0,1,1,1,0.1,0,0,0,0
Ciaran Clark,657,808,11712,4531,269,307,316,365,57,107,0.2,2,36,3,0
Nathaniel Clyne,448,593,6376,2615,272,302,142,191,19,54,0.3,4,24,13,5
Conor Coady,1638,1865,37496,16459,390,414,892,933,343,486,0.2,3,81,1,0
S?amus Coleman,620,765,9779,3467,350,385,205,254,48,84,1.6,19,32,14,3
Aaron Connolly,72,94,844,176,51,65,14,16,0,1,0.1,6,3,1,0
Liam Cooper,1415,1662,28083,9127,404,441,862,921,133,248,0.7,0,63,3,0
Theo Corbeanu,3,3,52,23,2,2,0,0,1,1,0.0,1,0,1,1
Jack Cork,424,511,5856,1296,229,258,133,155,23,36,0.6,8,43,4,1
H?lder Costa,242,331,3063,741,152,178,68,88,5,21,0.6,8,4,10,2
Vladim?r Coufal,1196,1746,18589,9100,654,749,414,619,93,236,3.9,45,90,37,23
Aaron Cresswell,1586,2141,28632,13845,754,847,606,755,198,429,5.0,58,174,26,18
Patrick Cutrone,0,2,0,0,0,1,0,0,0,0,0.0,0,0,0,0
Stuart Dallas,1830,2235,27976,8737,1011,1113,654,783,109,206,2.2,26,154,38,8
Scott Dann,521,644,9263,4633,226,248,238,267,46,104,0.2,1,25,0,0
Karl Darlow,376,728,14566,12022,24,25,134,136,217,558,0.0,0,11,0,0
Ben Davies,627,817,10059,4000,317,356,252,302,41,110,0.6,8,46,8,4
Tom Davies,572,706,9594,2599,276,321,237,269,46,68,1.0,6,42,5,1
Keinan Davis,55,77,689,133,38,41,11,20,2,5,0.4,6,2,3,0
Leif Davis,17,19,336,162,6,6,9,10,2,3,0.0,0,0,1,0
Craig Dawson,611,767,12760,4408,171,193,336,368,96,185,0.1,2,37,0,0
Kevin De Bruyne,1078,1429,18890,5626,509,593,402,498,131,222,6.2,77,125,76,10
Liam Delap,5,6,42,0,4,4,0,1,0,0,0.0,0,0,0,0
Fabian Delph,204,233,2997,716,112,114,72,79,11,23,0.1,2,13,1,0
Leander Dendoncker,1032,1212,17020,4193,476,541,442,492,74,97,0.9,17,68,8,1
Mbaye Diagne,149,241,1909,382,98,131,24,57,10,15,0.9,9,10,3,2
Amad Diallo,52,64,662,174,29,34,15,17,2,3,0.2,2,5,2,0
Ibrahima Diallo,503,600,7940,2034,253,286,193,217,32,60,0.4,9,46,5,1
Grady Diangana,260,360,3328,806,176,212,62,87,10,22,0.2,5,13,8,1
R?ben Dias,2531,2722,48311,16407,792,839,1499,1554,210,275,0.4,3,161,5,1
