Lewis Bate,1000000,
Tino Livramento,5000000,
Marcelo Flores,600000,
Dynel Simeu,1000000,
Reece Hannam,200000,
Jakub Stolarczyk,200000,
Kristoffer Klaesson,2000000,
Brandon Austin,250000,
Sepp van den Berg,2500000,
Adam Armstrong,18000000,
Asmir Begovic,1200000,
Emiliano Buend?a,35000000,
Craig Dawson,3000000,
Michael Olise,15000000,
Will Hughes,7000000,
Scott Carson,300000,
Chiquinho,250000,
Jonjoe Kenny,5800000,
Odsonne Edouard,17000000,
Abdallah Sima,11000000,
Leo Fuhr Hjelde,300000,
Toti,700000,
Connor Ronan,450000,
Junior Firpo,8000000,
Kenedy,10000000,
Philippe Coutinho,30000000,
Sa?l ??guez,40000000,
Marc Cucurella,20000000,
Trinc?o,22000000,
Bryan Gil,30000000,
Emerson Royal,25000000,
Demarai Gray,8000000,
Leon Bailey,35000000,
Sead Kolasinac,6500000,
Hee-chan Hwang,11000000,
Ibrahima Konat?,35000000,
Loris Karius,2000000,
Ryan Sessegnon,18000000,
Ian Poveda,1500000,
Leif Davis,800000,
Michael Obafemi,3000000,
Conor Hourihane,3500000,
Jake Clarke-Salter,2000000,
Matt Clarke,3000000,
Morgan Gibbs-White,7000000,
Sheyi Ojo,3000000,
Ben Davies,3000000,
Rhys Williams,5000000,
Michal Karbownik,5000000,
Miguel Almir?n,16000000,
Emiliano Mart?nez,30000000,
Joe Gelhardt,1300000,
Rodrigo,18000000,
Patrick Bamford,22000000,
H?lder Costa,10000000,
Jack Harrison,15000000,
Raphinha,30000000,
Jamie Shackleton,2500000,
Adam Forshaw,2000000,
Pascal Struijk,9000000,
Stuart Dallas,4000000,
Luke Ayling,5000000,
Illan Meslier,20000000,
Florin Andone,2000000,
Dan N'Lundulu,1500000,
Shane Long,1200000,
Christian Pulisic,50000000,
Charly Musonda Jr.,1000000,
Tammy Abraham,38000000,
Danny Ings,22000000,
Nathan Broadhead,500000,
Keinan Davis,3000000,
Richarlison,55000000,
Hakim Ziyech,38000000,
Gylfi Sigurdsson,13000000,
Dwight Gayle,4000000,
Wesley Moraes,13000000,
Dele Alli,30000000,
Tom Davies,18000000,
Abdoulaye Doucour?,25000000,
Jean-Philippe Gbamin,15000000,
Alex Iwobi,22000000,
Allan,22000000,
Andros Townsend,7000000,
Niels Nkounkou,3000000,
Seamus Coleman,5000000,
Andr? Gomes,20000000,
Mason Holgate,20000000,
Yerry Mina,20000000,
Michael Keane,25000000,
Callum Wilson,22000000,
Jacob Murphy,4000000,
Fabian Delph,3500000,
Jarrad Branthwaite,3000000,
Allan Saint-Maximin,30000000,
Joelinton,17000000,
Matty Longstaff,5000000,
Jeff Hendrick,9000000,
Jonjo Shelvey,13000000,
Sean Longstaff,15000000,
Andy Lonergan,250000,
Isaac Hayden,10000000,
Jamal Lewis,15000000,
Federico Fern?ndez,3000000,
