FName,LName,TMID
Joe,Gelhardt,503980
,Rodrigo,131505
Crysencio,Summerville,474701
Ian,Poveda,392763
Patrick,Bamford,183334
H?lder,Costa,173900
Stuart,McKinstry,592474
Jack,Harrison,417346
Archie,Gray,922693
,Raphinha,411295
Tyler,Roberts,296986
Jamie,Shackleton,534700
Daniel,James,319301
Mateusz,Klich,92738
Jack,Jenkins,734375
Kalvin,Phillips,351749
Cody,Drameh,531957
Liam,McCarron,614082
Adam,Forshaw,121257
Leif,Davis,596446
Sam,Greenwood,532178
Pascal,Struijk,410708
Kris,Moore,746067
Stuart,Dallas,158764
Leo Fuhr,Hjelde,661208
Liam,Cooper,75067
Robin,Koch,328784
Charlie,Cresswell,597659
Luke,Ayling,67420
Illan,Meslier,542586
Nohan,Kenneh,581677
Kristoffer,Klaesson,418561
Diego,Llorente,246291
Lewis,Bate,587003
Junior,Firpo,374139
Florin,Andone,177065
J?rgen,Locadia,166240
Andi,Zeqiri,345468
Sonny,Perkins,670877
Folarin,Balogun,503770
Dan,N'Lundulu,346482
Evan,Ferguson,648046
Adam,Armstrong,250426
Jude,Soonsup-Bell,670857
Shane,Long,37304
Timo,Werner,170527
Michael,Obafemi,444208
Christian,Pulisic,315779
Charly,Musonda Jr.,177862
Mika,Biereth,565821
,Kenedy,281404
Tammy,Abraham,331726
Cameron,Archer,533662
Danny,Ings,134294
Romelu,Lukaku,96341
Ellis,Simms,511550
Nathan,Broadhead,344009
Keinan,Davis,412660
Salom?n,Rond?n,80197
Cenk,Tosun,45671
Dominic,Calvert-Lewin,306024
,Richarlison,378710
Moise,Kean,364135
Hakim,Ziyech,217111
Charlie,Whitaker,726992
Anthony,Gordon,503733
Gylfi,Sigurdsson,90466
Demarai,Gray,292417
Dwight,Gayle,196522
Isaac,Price,612749
,Wesley Moraes,381362
Dele,Alli,207929
Tom,Davies,314210
Caleb,Chukwuemeka,742746
Abdoulaye,Doucour?,127187
Jean-Philippe,Gbamin,182894
Alex,Iwobi,242631
,Allan,126422
Jonjoe,Kenny,258883
Andros,Townsend,61842
Tyler,Onyango,663225
Nathan,Patterson,424015
Niels,Nkounkou,591193
Seamus,Coleman,68390
Ryan,Astley,511552
Andr?,Gomes,221025
Mason,Holgate,348623
Ben,Godfrey,343475
Yerry,Mina,289446
Harry,Tyrer,574448
Michael,Keane,118534
Donny,van de Beek,288255
Asmir,Begovic,33873
Callum,Wilson,123682
Jacob,Murphy,199527
Fabian,Delph,50362
Jordan,Pickford,130164
Jarrad,Branthwaite,661053
Ryan,Fraser,146795
Allan,Saint-Maximin,272642
,Joelinton,333241
Reece,Welch,655986
Lucas,De Bolle,626291
Matty,Longstaff,484387
Jeff,Hendrick,148262
Jonjo,Shelvey,71292
Vitaliy,Mykolenko,404842
Sean,Longstaff,346707
Andy,Lonergan,14044
Isaac,Hayden,206225
