link,Player_id,Name,nationality,position,team,age,games,games_starts,minutes,minutes_90s,goals,assists,pens_made,pens_att,cards_yellow,cards_red,xg,npxg,xg_assist,progressive_carries,progressive_passes,progressive_passes_received,shots,shots_on_target,average_shot_distance,xg_net,sca,sca_passes_live,sca_passes_dead,sca_take_ons,sca_shots,sca_fouled,sca_defense,gca,gca_passes_live,gca_passes_dead,gca_take_ons,gca_shots,gca_fouled,gca_defense,passes_completed,passes,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_completed_medium,passes_medium,passes_completed_long,passes_long,pass_xa,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_switches,crosses,throw_ins,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_completed,passes_offsides,passes_blocked,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,take_ons,take_ons_won,take_ons_tackled,carries,carries_distance,carries_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,passes_received,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenge_tackles,challenges,challenges_lost,blocked_shots,blocked_passes,interceptions,clearances,errors,games_complete,games_subs,unused_subs,points_per_game,on_goals_for,on_goals_against,plus_minus_wowy,on_xg_for,on_xg_against,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,gk_goals_against,gk_shots_on_target_against,gk_saves,gk_wins,gk_ties,gk_losses,gk_clean_sheets,gk_pens_att,gk_pens_allowed,gk_pens_saved,gk_pens_missed,gk_free_kick_goals_against,gk_corner_kick_goals_against,gk_psxg,gk_psnpxg_per_shot_on_target_against,gk_psxg_net,gk_passes_completed_launched,gk_passes_launched,gk_passes,gk_passes_throws,gk_passes_length_avg,gk_goal_kicks,gk_goal_kick_length_avg,gk_crosses,gk_crosses_stopped,gk_def_actions_outside_pen_area,gk_avg_distance_def_actions,value_millions
https://fbref.com/en/players/21a66f6a/Harry-Kane,120210233,Harry Kane,ENG,FW,Tottenham,27,35,35,3082,34.2,23,14,4,4,1,0,20.1,16.9,7.1,75,132,185,133,47,18.3,2.9,127,75,3,19,15,13,2,26,15,1,6,1,3,0,652,965,10806,3448,312,423,196,273,86,140,3.6,49,100,38,5,926,32,12,6,22,38,12,0,0,0,0,652,7,31,51,128,685,595,159,1389,100,52,48,809,4648,2270,50,30,63,54,1072,22,12,1,17,4,8,26,18,11,17,11,40,0,30,0,0,1.69,65,39,1.56,50.6,43.6,0,26,60,13,2,0,0,89,75,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120
https://fbref.com/en/players/e46012d4/Kevin-De-Bruyne,120210119,Kevin De Bruyne,BEL,MF,Manchester City,29,25,23,1997,22.2,6,12,2,3,1,0,9.3,6.9,8,102,213,186,77,24,21,-3.3,148,102,23,10,5,5,3,18,15,0,2,0,1,0,1078,1429,18890,5626,509,593,402,498,131,222,6.2,77,125,76,10,1278,139,42,13,12,146,6,87,28,33,3,1078,12,39,13,105,715,890,92,1683,67,48,19,1029,5855,3560,88,25,45,33,1285,34,21,6,18,10,13,48,35,1,25,9,10,0,17,2,4,2.24,45,17,-0.19,40.4,18.8,0,27,31,1,2,0,0,116,4,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
https://fbref.com/en/players/e342ad68/Mohamed-Salah,120210422,Mohamed Salah,EGY,FW,Liverpool,28,37,34,3078,34.2,22,5,6,6,0,0,19.3,14.6,6.2,111,136,396,120,46,16.4,2.7,134,104,1,7,13,7,2,16,12,0,0,2,2,0,1067,1302,13390,3013,718,796,246,316,36,54,7,55,59,72,5,1266,32,3,10,4,29,6,0,0,0,0,1067,4,40,11,65,569,1073,275,1689,84,36,48,1185,6086,3034,71,72,116,82,1420,18,9,4,4,10,7,16,9,0,10,1,10,1,27,3,0,1.78,59,41,-1.58,60.5,38.2,0,22,22,13,2,0,0,93,18,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
https://fbref.com/en/players/507c7bdf/Bruno-Fernandes,120210148,Bruno Fernandes,POR,MF,Manchester Utd,25,37,35,3099,34.4,18,12,9,10,6,0,16.1,8.2,11.4,80,285,263,111,40,22.9,1.9,184,136,21,3,14,9,1,25,22,1,0,2,0,0,1733,2338,29646,8587,871,1008,560,728,218,366,9.7,95,193,90,8,2097,220,63,12,43,166,40,59,27,21,2,1733,21,68,40,284,1165,1279,124,2700,45,23,22,1496,6475,3529,76,10,56,37,2063,57,30,16,29,12,26,100,74,0,38,26,29,0,23,2,0,1.92,68,36,1.77,55.6,35,0,43,52,3,0,1,0,162,15,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90
https://fbref.com/en/players/b400bde0/Raheem-Sterling,120210456,Raheem Sterling,ENG,FW,Manchester City,25,31,28,2536,28.2,10,7,0,1,4,0,11,10.2,5.7,129,67,351,69,28,14.5,-1,107,76,0,14,8,9,0,15,9,0,3,2,1,0,966,1141,11107,1934,689,748,187,222,17,30,5.3,37,45,27,1,1120,19,8,0,2,20,6,0,0,0,0,966,2,37,4,65,568,831,213,1448,122,66,56,1037,6339,3294,73,81,62,83,1237,21,10,5,12,4,5,12,7,0,15,15,4,0,25,3,5,2.19,58,23,-0.39,53.9,23.2,0,36,41,9,2,0,0,99,9,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90
https://fbref.com/en/players/c691bfe2/Sadio-Mane,120210292,Sadio Man?,SEN,FW,Liverpool,28,35,31,2810,31.2,11,7,0,0,3,0,14.1,14.1,7,142,112,366,94,34,13.7,-3.1,141,95,1,15,9,18,3,16,9,0,0,3,2,2,812,1082,11380,2510,499,589,218,289,48,70,5.3,61,41,66,7,1063,15,3,2,3,60,10,2,0,0,0,812,4,39,16,86,535,912,244,1512,144,82,61,1061,7394,3501,88,62,101,61,1266,48,30,6,22,20,12,33,21,0,30,15,11,0,25,4,0,1.89,54,28,0.83,56.6,32.7,0,53,78,31,1,0,0,117,35,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85
https://fbref.com/en/players/a1d5bd30/Marcus-Rashford,120210390,Marcus Rashford,ENG,FW,Manchester Utd,22,37,33,2920,32.4,11,9,0,0,4,0,8.9,8.9,3.8,134,117,330,79,36,18.9,2.1,116,87,0,17,5,7,0,20,16,0,3,0,1,0,1001,1248,14132,2775,579,663,303,367,54,84,3.1,43,44,54,5,1216,28,3,1,13,36,19,1,0,1,0,1001,4,37,18,105,548,988,165,1614,163,82,79,1008,6984,3560,100,78,77,50,1341,18,9,2,8,8,7,27,20,2,20,8,10,0,22,4,1,1.92,57,39,-1.43,47.8,34.4,0,25,42,27,2,0,0,111,25,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85
https://fbref.com/en/players/ed1e53f3/Phil-Foden,120210155,Phil Foden,ENG,FW,Manchester City,20,28,17,1616,18,9,5,0,0,0,0,5,5,3.6,81,69,213,45,20,15,4,66,45,8,7,4,2,0,12,8,0,1,3,0,0,689,845,9142,1889,447,488,175,212,24,62,2.6,30,36,21,2,778,63,3,2,2,74,5,49,9,28,1,689,4,17,14,93,373,615,121,1065,67,38,29,673,3812,2138,40,42,47,15,833,22,11,12,8,2,9,23,14,0,9,11,11,0,10,11,10,2.14,46,16,0.62,32.1,16,0,12,34,3,0,0,0,72,16,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80
https://fbref.com/en/players/cd1acf9d/Trent-Alexander-Arnold,120210015,Trent Alexander-Arnold,ENG,DF,Liverpool,21,36,34,3031,33.7,2,7,0,0,2,0,2.6,2.6,8.6,98,251,249,55,12,24.9,-0.6,131,84,34,6,7,0,0,13,8,2,1,2,0,0,2245,3015,40719,15754,1064,1184,897,1145,256,545,7.5,77,193,101,29,2516,488,56,6,55,297,326,106,16,61,2,2245,11,52,73,699,1494,1151,81,3318,61,32,29,1992,9462,5442,95,24,31,22,2202,56,33,31,18,7,36,56,20,3,21,49,50,3,30,2,0,1.81,60,40,-0.79,61.2,37.5,0,21,9,5,0,1,0,258,8,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75
https://fbref.com/en/players/31c69ef1/Ruben-Dias,120210127,R?ben Dias,POR,DF,Manchester City,23,32,32,2843,31.6,1,0,0,0,4,0,1.9,1.9,0.1,38,154,5,14,6,8.3,-0.9,22,20,0,0,1,1,0,2,1,0,0,1,0,0,2531,2722,48311,16407,792,839,1499,1554,210,275,0.4,3,161,5,1,2665,52,46,1,5,2,2,0,0,0,0,2531,5,10,245,1046,1846,74,29,2954,8,6,2,2087,11819,7375,19,0,10,4,2369,24,13,13,8,3,4,16,12,23,8,35,92,0,30,0,4,2.31,68,21,0.86,57.8,22.9,0,21,20,1,0,2,1,135,61,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75
