Patrick van Aanholt,61,420,612,329,37,1353,22,10,12,728,3406,1622,29,9,24,6,800
Tammy Abraham,20,35,171,154,61,358,18,6,12,154,694,266,5,8,33,7,239
Che Adams,24,98,403,439,97,926,50,28,22,516,2336,900,28,13,88,44,713
Tosin Adarabioyo,398,1310,900,67,35,2272,14,11,3,1337,5844,3132,5,0,12,5,1522
Adri?n,99,110,0,0,0,110,0,0,0,52,259,79,0,0,0,0,47
Sergio Ag?ero,0,5,99,131,45,232,13,8,5,155,769,330,10,3,15,11,191
Ola Aina,105,781,957,330,17,2052,33,21,12,1070,5595,3024,40,5,27,10,1254
Rayan A?t-Nouri,42,267,430,309,26,996,54,26,28,573,2959,1702,34,9,30,19,622
Semi Ajayi,223,691,559,86,43,1325,18,10,8,536,3098,1537,10,2,24,5,652
Nathan Ak?,40,182,570,67,6,819,1,0,1,569,2748,1678,22,0,2,1,658
Marc Albrighton,37,246,462,476,37,1163,66,37,29,615,3494,1576,33,7,33,29,725
Thiago Alc?ntara,31,296,1226,438,16,1946,48,33,15,1252,5861,2930,58,4,23,18,1475
Toby Alderweireld,267,932,726,35,14,1687,4,4,0,987,4485,2370,5,0,2,2,1114
R?nar Alex R?narsson,10,12,1,0,0,13,0,0,0,5,26,12,0,0,0,0,6
Trent Alexander-Arnold,73,699,1494,1151,81,3318,61,32,29,1992,9462,5442,95,24,31,22,2202
Ezgjan Alioski,75,560,902,503,41,1951,26,11,15,1007,5508,3290,43,5,37,15,1197
Alisson,931,1224,16,1,1,1239,2,2,0,709,2807,1763,0,0,0,0,669
Allan,68,382,816,136,3,1310,49,31,18,721,4220,2314,31,2,21,18,831
Dele Alli,7,64,241,146,23,444,25,11,14,276,1588,641,18,5,13,16,303
Miguel Almir?n,33,230,557,421,40,1179,73,39,34,773,5516,2516,48,14,48,34,792
Marcos Alonso,32,199,300,238,38,729,17,9,8,362,1815,1095,18,4,13,9,450
Steven Alzate,17,105,308,128,12,536,16,8,8,323,1638,807,8,1,13,9,393
Daniel Amartey,61,286,256,33,6,572,3,1,2,301,1291,682,4,0,5,3,344
Ethan Ampadu,138,516,670,202,6,1374,15,13,2,678,4063,2384,28,0,16,5,765
